,Frequency,Signal Run 0,Background Run 0,Signal Run 1,Background Run 1,Signal Run 2,Background Run 2,Signal Run 3,Background Run 3,Signal Run 4,Background Run 4,Signal Run 5,Background Run 5,Signal Run 6,Background Run 6,Signal Run 7,Background Run 7,Signal Run 8,Background Run 8,Signal Run 9,Background Run 9,Signal Run 10,Background Run 10,Signal Run 11,Background Run 11,Signal Run 12,Background Run 12,Signal Run 13,Background Run 13
0,3.5,3.6421434758524076,3.6443585885171115,3.568455384253155,3.569921193128486,3.603662298248897,3.603741007488441,3.559830761784443,3.562877321476987,3.569334017234626,3.5702363670573236,3.5676870293506555,3.566671613292978,3.528806690699781,3.5308209680343863,3.5271637906731432,3.5292349137768366,3.4255953560411063,3.427926345662756,3.3635947247070344,3.3600353036454917,3.350009836436485,3.3520890802849306,3.271222526906602,3.2702196052978256,3.3350412754104837,3.3338681299943382,3.2450188207303308,3.245446101354111
1,3.502,3.6388304835060405,3.640930343043093,3.568172716131566,3.571165554203633,3.628956180674114,3.6276640319062894,3.637674202796745,3.638304191452423,3.5995856434976403,3.5985433658778274,3.5364530750945344,3.539071105392347,3.6113236754333946,3.6160656153963675,3.487380166216926,3.487844927814436,3.5173619469741433,3.5170795917857802,3.5158171346414866,3.5172095442303246,3.394077816307732,3.392077906726233,3.205937063202509,3.205314883080362,3.2968758965080043,3.2960663134716595,3.269723307069441,3.2671149598380533
2,3.504,3.6079778969379466,3.6071742473972135,3.591232128161908,3.5887796377675207,3.659625743047621,3.666920747177707,3.579571551103596,3.5759790204798656,3.5779077197063835,3.5781344766384007,3.547318740254817,3.5431593140315245,3.5027285280705693,3.4978700876634146,3.4860842798160663,3.485631699069715,3.495284229292075,3.49399988890458,3.470044071755886,3.4638054029301775,3.3825952671490307,3.379741109231701,3.303937897608859,3.3011758796006117,3.216505044867266,3.2186661211255823,3.291563945011817,3.2959538763503025
3,3.5060000000000002,3.541504233304757,3.543972340230439,3.61393077962556,3.612057053842096,3.6489587221339863,3.649385378600149,3.591611612786864,3.5877554680816552,3.6152079376428783,3.616581607200375,3.5630884527483127,3.5639861164924245,3.563567653190333,3.561653634843287,3.4621290863798584,3.45862432532185,3.4895831065547034,3.4888250593277252,3.4560484560627693,3.4520298964796474,3.346512567964647,3.3481589086223282,3.3494482699631876,3.346471675273356,3.307206210006171,3.310075984195911,3.2286356815050956,3.227617454971249
4,3.508,3.5947400064167687,3.595290973568838,3.6715658675235927,3.6722945550094965,3.646277285378762,3.644081850415505,3.6087874867525485,3.6095083669596417,3.597072869399129,3.594452652423984,3.5859770100873476,3.5833286830506674,3.538218421358981,3.5399525304648467,3.507368647202387,3.5057413585302384,3.4786031275004143,3.4731949690170536,3.470499781876146,3.465738165986751,3.32566141026982,3.3238782647386405,3.339204445851585,3.336725095513353,3.3059968310601313,3.3039366412257376,3.2789729186531544,3.2752414000804264
5,3.51,3.6202100490102556,3.622013809828092,3.6696446750602454,3.669841136578954,3.622169981162728,3.626533676909622,3.6014431298371004,3.606902825401875,3.6534164301015153,3.645679777730697,3.533422136665855,3.53590679762344,3.4274747260591747,3.4238568987461235,3.473052214630673,3.474915632307618,3.4554849979146067,3.456579748020179,3.50432209837262,3.5010581496113433,3.380192753186387,3.3788990429353287,3.302883439569726,3.305073876809119,3.385698674847954,3.387901293267548,3.3633788980697386,3.3616185524933644
6,3.512,3.6075003243303683,3.608022556455508,3.6404412274752054,3.643758898485391,3.6538521467835032,3.65094364047607,3.596874539942143,3.5967817754694935,3.577629738028827,3.5723755628004517,3.6158422950735396,3.6118437246783412,3.550963121717708,3.5510568228720705,3.416690556753767,3.416996336471403,3.4240477117324866,3.4273731900109556,3.4110156546513606,3.410729864395721,3.3568325763200173,3.3572764102393147,3.350800361341673,3.3529501940854556,3.2550861403503255,3.2557901536371654,3.282078507336665,3.281163352858949
7,3.5140000000000002,3.579577172249222,3.578844735862447,3.6443751362758317,3.6424679913442772,3.6913906831436627,3.6925004255084017,3.6363470728893796,3.6368696175999338,3.56093081001728,3.5681180549939353,3.5519188801746306,3.55411712552733,3.5487964206005715,3.556473413865218,3.4811661683440827,3.4815900132116924,3.466129205403257,3.4682121976430005,3.4328506839591917,3.434029140970425,3.3526800252168867,3.3498630352040855,3.2915861162291993,3.296824360223076,3.3266321636425773,3.325605817087333,3.246430278099643,3.247820812988808
8,3.516,3.572949323858048,3.5688973424911894,3.6118712230745222,3.6090248726802905,3.6840775610069576,3.68422404796454,3.6169654676511573,3.6130434182783584,3.4594064334564814,3.461915455575436,3.645671347784536,3.646704254986987,3.5544225912852982,3.550598618666557,3.4698260699827217,3.470378599060896,3.422421051505865,3.4212447809556883,3.403527943687952,3.4084404192474596,3.354271705727611,3.35213936505915,3.339127313538532,3.339288481941742,3.3911902276574217,3.3937945138376313,3.315479148026121,3.3169640094754973
9,3.518,3.6272355138034063,3.6255263920090073,3.5510343347345157,3.5487542560696994,3.6233412602435204,3.6222287063624408,3.55913048699217,3.5637078239090583,3.6295693065609167,3.6322622983409936,3.56063252635588,3.5602302329606292,3.478140537895533,3.4788329950214396,3.4873932870567734,3.4837732718536913,3.449218524024449,3.45080677089124,3.378974944996713,3.3818259792104732,3.3672931335245337,3.362883213378089,3.3257598014032745,3.3267749048513786,3.3358308696412813,3.3382661804982936,3.256038774830802,3.2576438872949045
10,3.52,3.6198196212936984,3.6177972224725554,3.63075463258041,3.629816052657452,3.6096454743227406,3.6074790867793363,3.6214319220705975,3.624036209285112,3.6291676374152457,3.6306437545816115,3.5516024997359885,3.5509931268583723,3.5319531974226837,3.5331069802014317,3.494107336168878,3.492348552123065,3.488240971808529,3.490051291518077,3.461808932170785,3.457688862043185,3.3435450298526392,3.344385222122738,3.4214321791245585,3.42286644117596,3.3074720172972576,3.313160653866543,3.2590875421814274,3.259692857152305
11,3.5220000000000002,3.5677213837466724,3.5686740197209885,3.6615850527308074,3.6607579773431342,3.6888038860187624,3.6896359585789367,3.6034830185169238,3.6073650872758627,3.571015321588549,3.5671810410103553,3.507893686038066,3.503671791970761,3.4446458772649757,3.4419738133025435,3.4609421885487355,3.458743006546528,3.5152823859824465,3.5172657424138585,3.3855068925418537,3.384060761456833,3.400375504761195,3.403937423343411,3.3000002541291935,3.298039074283597,3.3363927708696495,3.332558804314697,3.267520994122668,3.2662866291912787
12,3.524,3.640369380981987,3.641739302077136,3.5775201054867383,3.5756198307618825,3.6102826447925507,3.6119371076500735,3.587780462535321,3.590698026209923,3.6150514510621488,3.6203203082504087,3.546382346360619,3.5446235623205253,3.516051995046274,3.514524654971681,3.4820866429280546,3.479621659093943,3.4375320382141785,3.437607624660278,3.446977799764111,3.4478960782235215,3.336480233762547,3.3359720579968766,3.298001578288464,3.29350014256953,3.306986011529322,3.3080866949690604,3.32739333472173,3.3293498291949617
