,Frequency,Signal Run 0,Background Run 0,Signal Run 1,Background Run 1
0,3.5,1.2001181527277223,1.2343204829093024,1.2318348891254614,1.1806806996783539
1,3.502,1.2154021385179652,1.1551676454597113,1.2070327059631791,1.217425767952917
2,3.504,1.2355326685040473,1.1961805102274257,1.26253995599697,1.2351350460891535
3,3.5060000000000002,1.2010782854764015,1.1816389515990826,1.2167832983111249,1.2012335286557694
4,3.508,1.234143992579286,1.2592819501360217,1.2209052068597006,1.2068462315456576
5,3.51,1.1701008614923984,1.2030738050238912,1.2623706533699515,1.2490859724617014
6,3.512,1.1800516556042793,1.2251424199821677,1.2173964164809772,1.2763806112624483
7,3.5140000000000002,1.1516763220448476,1.2084529066684393,1.2216398388207887,1.237228671933302
8,3.516,1.1903575696931048,1.1971740520033802,1.140816606738711,1.219917925430328
9,3.518,1.202919524258768,1.2434170351057514,1.1829229812047155,1.2257979948245752
10,3.52,1.1582307401691567,1.1688639940477579,1.2235991445445693,1.2114588544253744
11,3.5220000000000002,1.1933697586655454,1.2170316020529883,1.260800849186672,1.230902247531025
12,3.524,1.2305124461569867,1.1871517272998058,1.2358778013611564,1.2614064736003687
13,3.526,1.2349654551646663,1.2258286179650484,1.2554398739948076,1.1986732751616582
14,3.528,1.2239842505430607,1.1857458915317232,1.222236097924566,1.2189025153236457
15,3.5300000000000002,1.2580179155530844,1.2233414767421362,1.1881718248928625,1.1894780313257947
16,3.532,1.2336595731601052,1.267185061438542,1.1484101970463387,1.1740416362429738
17,3.534,1.2183368514152708,1.1834248982124183,1.2564327983768362,1.257925460612967
18,3.536,1.2127094542518477,1.2519847805338773,1.2100592688146716,1.2224703476423135
19,3.5380000000000003,1.2081749247757723,1.239865424852869,1.2286883834389872,1.2112702034119684
20,3.54,1.2149023972409325,1.2179723807530636,1.1819762776899,1.2331320262737118
21,3.542,1.2201887284823938,1.193534682104905,1.240417633165257,1.2268580838436132
22,3.544,1.2233086833229372,1.184797956353727,1.2575647213296706,1.2346381224077192
23,3.5460000000000003,1.2463377019671238,1.2353611800849615,1.2124505306885638,1.1976872195180985
24,3.548,1.2291784637123364,1.2117899264313023,1.176038717439022,1.1734928453358973
25,3.55,1.1964169458984864,1.1815118379348057,1.1901270657351446,1.2012503788412574
26,3.552,1.2338288616769335,1.2435144825595854,1.2449603005071515,1.216772366342787
