,Duration,Signal Run 0,Background Run 0,Signal Run 1,Background Run 1
0,1e-08,3.843673771970114,3.837976694374011,1.6593734433712384,1.6943731844702754
1,1.59e-08,3.8329152173800805,3.8335099127114236,1.7177173602041267,1.7333667690603092
2,2.18e-08,3.7441052127311467,3.7474210098386407,1.7493903980735896,1.7409597521407045
3,2.77e-08,3.7656331996005066,3.766583962083789,1.7122626827867473,1.683143336761225
4,3.3599999999999996e-08,3.674746130875009,3.6781003466896056,1.667195654210248,1.7108937160250997
5,3.95e-08,3.7167039411463207,3.720334265688783,1.8128857638303293,1.7891801639783944
6,4.5399999999999996e-08,3.783258841145415,3.7852059694391826,1.7164824107360472,1.687212515440044
7,5.13e-08,3.74849824097613,3.752699521250361,1.7018949273785426,1.7118644544022286
8,5.7199999999999996e-08,3.8081382656484406,3.8102593653832244,1.6909774288214439,1.744635041208991
9,6.31e-08,3.792579069080097,3.7885377048113904,1.7055792612392207,1.7153298735551135
10,6.9e-08,3.790905852519968,3.7873258146786903,1.7435278049645062,1.7329542030929774
11,7.49e-08,3.766066745540149,3.763721072297091,1.6951740170589307,1.6943216459694528
12,8.08e-08,3.7904304626465257,3.792906066550456,1.712399813597558,1.7396026394957043
13,8.669999999999999e-08,3.8174922271509737,3.8210788252871635,1.7183651736230212,1.751574273818325
14,9.26e-08,3.793103469651114,3.7854851922302286,1.7781115242982104,1.8140838800810133
15,9.85e-08,3.8361201434400582,3.837175228053423,1.6996029684926188,1.6871896998500182
16,1.044e-07,3.825247913768204,3.825606790789108,1.7300188506647283,1.7069460654788626
17,1.1029999999999999e-07,3.78882630610602,3.7940114577054094,1.7178663700655497,1.7126959382429772
18,1.162e-07,3.7755221920225424,3.7757998601521248,1.736187835706744,1.6921496421782116
19,1.2210000000000001e-07,3.84039201825537,3.839639280095774,1.7319759450031713,1.726977916043479
20,1.28e-07,3.884073038256404,3.885832447089817,1.6842593524895313,1.7103452418246639
21,1.339e-07,3.7118158303074615,3.7064423409666687,1.7477774992309523,1.7114312467578143
22,1.3980000000000002e-07,3.85065143627738,3.8481614637843276,1.7754407198035291,1.8142731894400121
23,1.4570000000000001e-07,3.752827273306522,3.7550917356114426,1.6981249979768778,1.754400624034024
24,1.516e-07,3.781142754804393,3.7817249553666317,1.785523939677356,1.751044232004404
25,1.575e-07,3.79518989568544,3.797471224733704,1.726883898163418,1.7741329444798966
26,1.634e-07,3.7393748087982592,3.746152267147905,1.678690969770324,1.6439511111415275
27,1.6930000000000001e-07,3.8197526047291785,3.8216744316688316,1.8125712207093674,1.6931853632274327
28,1.752e-07,3.783008349765091,3.783434694160921,1.6779956946156946,1.7077478428400574
29,1.811e-07,3.856172040021984,3.851958264424354,1.7243280359828033,1.705803226324781
30,1.8700000000000002e-07,3.810944329063351,3.8122264837040234,1.7540979560003376,1.7425198719291883
31,1.9290000000000001e-07,3.8442116192629503,3.8492574675385223,1.7794298934887254,1.7334451938717998
32,1.988e-07,3.860546982334246,3.860116889546968,1.6904011813437323,1.7601457865727093
33,2.047e-07,3.772867324833892,3.7804059556524985,1.7266162114876844,1.7729135627529227
34,2.106e-07,3.835060998251425,3.8343954013367187,1.771254440778137,1.7692023630609388
35,2.165e-07,3.7768449442783787,3.7785059668770313,1.7093482640315194,1.6789380328789192
36,2.224e-07,3.773012844120227,3.774425244549294,1.7552183307684346,1.751678930568788
37,2.283e-07,3.7877868255162688,3.78937163636111,1.7182258594772921,1.7372760415060906
38,2.3420000000000002e-07,3.8845509209106117,3.891921203094474,1.7428775055775072,1.754672988493228
39,2.401e-07,3.8373307720598064,3.841090094255449,1.7228078843488528,1.7445432047450022
40,2.46e-07,3.8439876767899674,3.8501129730188093,1.7003600836397295,1.7779422189323226
41,2.519e-07,3.7550127121881154,3.7569982560124013,1.69217743579824,1.7000786792138483
42,2.578e-07,3.7872533565100395,3.791568016008039,1.7703689563574563,1.7086654953249472
43,2.637e-07,3.794109531020653,3.795933283283809,1.7425442448291124,1.791012339018707
44,2.6960000000000003e-07,3.845600596878001,3.8482398666067876,1.730385841013399,1.6792944195291175
45,2.755e-07,3.7601110316123103,3.7604683486578767,1.7305232764672374,1.7070103850296887
46,2.814e-07,3.654990027038694,3.660078664241585,1.7633172710909153,1.7446141076689703
47,2.873e-07,3.8111067309239233,3.813418357440841,1.7237220916858456,1.6894694666085233
48,2.932e-07,3.7451343548537035,3.745001297643471,1.7037249358574458,1.6870410248015961
49,2.991e-07,3.7457143641889603,3.7523940616686695,1.7421047843420416,1.6975212428410056
50,3.05e-07,3.707049531921868,3.7148242909473055,1.6850883155136054,1.6878156383138287
51,3.109e-07,3.8120849815667563,3.8142432509505966,1.66295126677439,1.7022069475617072
52,3.168e-07,3.822791666484279,3.8269607759698143,1.7674379581851667,1.692535391636346
53,3.227e-07,3.841059795702945,3.8458976266287888,3.841059795702945,3.8458976266287888
54,3.286e-07,3.8063922750100088,3.808430602602716,3.8063922750100088,3.808430602602716
55,3.345e-07,3.774909068121828,3.7743443587163856,3.774909068121828,3.7743443587163856
56,3.404e-07,3.7741372731112643,3.773071258888851,3.7741372731112643,3.773071258888851
57,3.463e-07,3.832365833501588,3.8368469712328763,3.832365833501588,3.8368469712328763
58,3.522e-07,3.722776794949149,3.7253523487845746,3.722776794949149,3.7253523487845746
59,3.581e-07,3.824731618905135,3.829411405207781,3.824731618905135,3.829411405207781
60,3.6400000000000003e-07,3.772182021677235,3.773525393903465,3.772182021677235,3.773525393903465
61,3.699e-07,3.725009053133496,3.7265079710833753,3.725009053133496,3.7265079710833753
62,3.758e-07,3.762799648061622,3.7664249748998198,3.762799648061622,3.7664249748998198
63,3.817e-07,3.8264329311720346,3.8298508649631096,3.8264329311720346,3.8298508649631096
64,3.876e-07,3.818031613561326,3.824487674221971,3.818031613561326,3.824487674221971
65,3.935e-07,3.7064348388362953,3.714729018538026,3.7064348388362953,3.714729018538026
66,3.994e-07,3.783904754772468,3.7945877100336265,3.783904754772468,3.7945877100336265
67,4.053e-07,3.7297534968262362,3.7324140061565823,3.7297534968262362,3.7324140061565823
68,4.112e-07,3.819573947202231,3.820641212786951,3.819573947202231,3.820641212786951
69,4.171e-07,3.8572252458214766,3.8582818903912797,3.8572252458214766,3.8582818903912797
70,4.23e-07,3.771903742638081,3.774764148115187,3.771903742638081,3.774764148115187
71,4.289e-07,3.774008911327144,3.777053599159794,3.774008911327144,3.777053599159794
72,4.348e-07,3.633420186702882,3.6381749320505166,3.633420186702882,3.6381749320505166
73,4.407e-07,3.7971264076695035,3.7990397993276352,3.7971264076695035,3.7990397993276352
74,4.466e-07,3.8073708325843008,3.814117995017261,3.8073708325843008,3.814117995017261
75,4.525e-07,3.810025091952401,3.8141776493014357,3.810025091952401,3.8141776493014357
76,4.5840000000000003e-07,3.7746389052860847,3.777208526261789,3.7746389052860847,3.777208526261789
77,4.643e-07,3.7318252530695823,3.7364728671366576,3.7318252530695823,3.7364728671366576
78,4.702e-07,3.7923226203316873,3.797569927235938,3.7923226203316873,3.797569927235938
79,4.761e-07,3.8419288175984603,3.8454495085421874,3.8419288175984603,3.8454495085421874
80,4.82e-07,3.8669611941476334,3.8750892113327615,3.8669611941476334,3.8750892113327615
81,4.879e-07,3.7274303114305125,3.732017332397364,3.7274303114305125,3.732017332397364
82,4.938e-07,3.813086341778474,3.8183714411221783,3.813086341778474,3.8183714411221783
83,4.997e-07,3.793525761044674,3.803604337388958,3.793525761044674,3.803604337388958
84,5.056e-07,3.8136685605869634,3.8227326575539493,3.8136685605869634,3.8227326575539493
85,5.115e-07,3.8123179897052797,3.8160385808599195,3.8123179897052797,3.8160385808599195
86,5.174e-07,3.7737068899392816,3.775343862130822,3.7737068899392816,3.775343862130822
87,5.233e-07,3.6939990745040236,3.6994796976500854,3.6939990745040236,3.6994796976500854
88,5.292000000000001e-07,3.818196849450954,3.8186753533979183,3.818196849450954,3.8186753533979183
89,5.351e-07,3.760677300387443,3.7651568759157135,3.760677300387443,3.7651568759157135
90,5.41e-07,2.9810012024271684,2.943627685537111,2.9810012024271684,2.943627685537111
91,5.469e-07,1.767830870678089,1.731813849720238,1.767830870678089,1.731813849720238
92,5.528e-07,1.7728201851672034,1.7001286454363098,1.7728201851672034,1.7001286454363098
93,5.587e-07,1.7384760395121894,1.743483140301389,1.7384760395121894,1.743483140301389
94,5.646e-07,1.6789870711150088,1.732687457499314,1.6789870711150088,1.732687457499314
95,5.705e-07,1.7109090287322588,1.8045075607700054,1.7109090287322588,1.8045075607700054
96,5.764e-07,1.7519743701576787,1.7213024151556295,1.7519743701576787,1.7213024151556295
97,5.823e-07,1.7250042537428798,1.7112441619886616,1.7250042537428798,1.7112441619886616
98,5.882e-07,1.6401243367639162,1.6970352601080956,1.6401243367639162,1.6970352601080956
99,5.941e-07,1.7389282938213686,1.754509626952271,1.7389282938213686,1.754509626952271
100,6e-07,1.8620325851851103,1.833691590897574,1.8620325851851103,1.833691590897574
