,Duration,Signal Run 0,Background Run 0,Signal Run 1,Background Run 1,Signal Run 2,Background Run 2,Signal Run 3,Background Run 3,Signal Run 4,Background Run 4
0,1e-08,3.7661198475922957,3.7672461456333672,3.592677043372596,3.6008768919259126,3.5972846482145915,3.599253635341921,3.526547267154429,3.5262368009984586,3.456592241774842,3.457461794437833
1,1.59e-08,3.6844632996062248,3.686078720586089,3.645128203371508,3.64528437385947,3.6065049235976776,3.6038075587204492,3.459731255792551,3.4567321730158094,3.466853527548734,3.4675647248574935
2,2.18e-08,3.6594489674769957,3.6604984284969833,3.6604862486757472,3.6604953076376967,3.553862888540273,3.5572192883527385,3.4316110235231534,3.43407257048916,3.445129376355772,3.442712805831774
3,2.77e-08,3.62700750550085,3.6260261343204854,3.598444045098636,3.598925048696649,3.606150400088143,3.6058062014240475,3.4640618322239245,3.4655138989777305,3.4158912752946806,3.413580275273703
4,3.3599999999999996e-08,3.7760675311038803,3.7745748621137163,3.646414108384455,3.6455036374842464,3.542424400891446,3.541547975547326,3.3892356208807106,3.3889054785028274,3.382538736901989,3.3826742916581725
5,3.95e-08,3.7443244490841736,3.7432553114525735,3.6863498429560786,3.6887251838578314,3.549968018998175,3.5486880513968364,3.479188459420036,3.482092592598966,3.462305873255519,3.4664487441104725
6,4.5399999999999996e-08,3.596487239445162,3.5977044262190305,3.6322504376573623,3.6363651993074666,3.5841691914086677,3.5827030686611634,3.418739815157801,3.4208206197889894,3.4867917204791428,3.486640547093344
7,5.13e-08,3.6161562055143284,3.6162549062748623,3.6282468675040414,3.625181880397607,3.7285044548630824,3.7263402539199126,3.526340460474273,3.5227875978168077,3.402750541562683,3.4077907631722493
8,5.7199999999999996e-08,3.687699766049155,3.6883125755017256,3.625342427960912,3.627983571916896,3.620690122940416,3.619836498566714,3.5402886087801453,3.541888724145133,3.4512306247437725,3.4520242791552556
9,6.31e-08,3.6183085311663112,3.6127982356257733,3.5561233152852,3.559427868266914,3.5619440615066416,3.5588981262515906,3.4714080696341827,3.474324696273367,3.514995379598123,3.514638687671024
10,6.9e-08,3.5130733249520096,3.509629469299165,3.5892556378594107,3.5879628636202385,3.5914026669118457,3.5951613615007045,3.433971690172794,3.433404794171646,3.4975130826381164,3.4992228292600203
11,7.49e-08,3.703715611904402,3.7035469499754963,3.6455429810961175,3.6390369470649646,3.568140548977749,3.5715000722666845,3.409722308351905,3.408945208931206,3.4023782355118364,3.4023757367941196
12,8.08e-08,3.6541604439251167,3.657321008990289,3.590405059913987,3.5912696166407523,3.6330037894546074,3.6333301841320407,3.5526153990921876,3.5556632093812586,3.3862118524884846,3.386950535644376
13,8.669999999999999e-08,3.6584060750803102,3.6612989641712326,3.6302714631754185,3.6311472630708446,3.5812787980573484,3.5831937511533307,3.5049605035940274,3.502628264196998,3.494338165579796,3.4944852785866822
14,9.26e-08,3.6515867592352516,3.654668304083578,3.6669057613042626,3.668439349766785,3.5993723634896706,3.5998443097988355,3.4954809994986427,3.5013548571613167,3.4694859303750993,3.4713865151584398
15,9.85e-08,3.677709287999186,3.6815267027544807,3.619416399308121,3.620166638511826,3.5949008700338245,3.598816358920215,3.4785721993867385,3.4787483586668717,3.462522624958024,3.462400499402479
16,1.044e-07,3.6442814528846874,3.6465112458819084,3.6785085575255256,3.6785688384731605,3.585909239263663,3.589917493162229,3.442605994078127,3.4440999144524698,3.427504066328433,3.426752577196747
17,1.1029999999999999e-07,3.656343391007215,3.66026512865129,3.6476578286316026,3.647270214951554,3.5960977554014395,3.595449026975608,3.488525516861465,3.4885130227660155,3.452946607051078,3.4548743664498818
18,1.162e-07,3.692522922875966,3.687238760584202,3.6257768831241433,3.626734204819016,3.5758975372333284,3.579779916665341,3.511301620595632,3.5173116576441585,3.3759817988422176,3.375081323690066
19,1.2210000000000001e-07,3.6631960959684986,3.6647640414190215,3.5545275479637044,3.556767646153965,3.623371239824921,3.626230084903089,3.5424737329404676,3.539899117836957,3.5245479448359474,3.5270594675397393
20,1.28e-07,3.714278958077101,3.7136970683520754,3.591739985750412,3.593196425905494,3.598785120809088,3.597408015381751,3.4942937983461095,3.4951980215800296,3.439024703327306,3.4387935721680956
21,1.339e-07,3.750713369402769,3.749058280910757,3.5994507192822276,3.5998467653286745,3.580070357621411,3.5802861842317513,3.461439117176196,3.467715579252873,3.335763421517337,3.3359686281025827
22,1.3980000000000002e-07,3.686951099331298,3.689333313295022,3.509853026318263,3.513542380580271,3.5718605107283965,3.5732960234167606,3.552319611561242,3.5551206726361304,3.4324205964454912,3.4344717297176657
23,1.4570000000000001e-07,3.6877113346538097,3.693129177830152,3.6328788727241164,3.6289137212775566,3.6404699662797357,3.641367629915987,3.481714960339099,3.4784225888533498,3.4190683911406463,3.4186442344894146
24,1.516e-07,3.6828069755666992,3.6797666616669344,3.5989750229756017,3.6027502714559123,3.5400100022783056,3.5387503375084446,3.5083197212217896,3.513578269642311,3.424735481001994,3.431466396612086
25,1.575e-07,3.751259643434536,3.7538005255186664,3.6358532672771213,3.6367296924455887,3.5688957844591305,3.5720219903955157,3.467221486826248,3.471819124776807,3.389361501414099,3.391959852355786
26,1.634e-07,3.742138076607371,3.7462390948724678,3.5566339576828065,3.5612540841810705,3.590512181831964,3.587055520586553,3.4661098465318863,3.4684701970433642,3.3852517412587657,3.3866557059529856
27,1.6930000000000001e-07,3.6425342324488406,3.6468601357166155,3.6260280012760315,3.6287853354158344,3.541300272972471,3.5417687821530843,3.5318573125905837,3.531091143456949,3.470703108347223,3.4732820965418205
28,1.752e-07,3.700631276348223,3.7015186332214296,3.590137373767562,3.596495046906425,3.5450667881759466,3.549924917849148,3.5141205004731924,3.517159251878693,3.4392036798412,3.447483174786326
29,1.811e-07,3.65611286928809,3.6594861375144756,3.5787179291102746,3.5819690711241288,3.5058772298672642,3.5099342070169457,3.422644079053877,3.425217755770618,3.4601210508193128,3.459612248764521
30,1.8700000000000002e-07,3.622385497750114,3.62359862449924,3.5941949868501952,3.5977222379430414,3.583644773127897,3.5850649808852233,3.526278929428644,3.527019798693466,3.5162278436412717,3.5177023980355915
31,1.9290000000000001e-07,3.6593424563017254,3.656936816457264,3.5817251325897885,3.582074328305692,3.5908395190491382,3.5917012636946803,3.498737457503865,3.501343617839001,3.3910793498708776,3.394869590336543
32,1.988e-07,3.6916346330075274,3.6867080995840515,3.5486833766744112,3.549986458020264,3.6186264919750672,3.622231202618604,3.514735792344011,3.518838371830147,3.4612492298705093,3.4650269767398316
33,2.047e-07,3.664539789468946,3.666839857796709,3.5454862465051145,3.551981348579663,3.491032983941021,3.491734185543443,3.492991030886994,3.4948413295499394,3.3667428101412282,3.3662889809743786
34,2.106e-07,3.5971490933507595,3.5985780474663254,3.645950896065425,3.6454723910151317,3.5379857264161703,3.5396283198905047,3.4733533293872445,3.4789913694784738,3.383883675710571,3.381954978290573
35,2.165e-07,3.6594039988497147,3.66758323752313,3.542664578916882,3.546909897721102,3.5754346115683386,3.5839633556019646,3.505037655859949,3.5080882760028795,3.372280900708682,3.3760430278084868
36,2.224e-07,3.5948593465063485,3.599810866093656,3.5981254767010618,3.595291620910589,3.536821950680477,3.540970444511784,3.4928936138544127,3.494215745144719,3.406779086413583,3.409341832191308
37,2.283e-07,3.7221145971265233,3.722960413465639,3.5900608542152157,3.5864483333160995,3.68802085789737,3.6942804558834332,3.4390456300877768,3.4434058894064257,3.3347857882634115,3.337120837510282
38,2.3420000000000002e-07,3.6751256021010272,3.6772126563918244,3.5491318788504778,3.5510533914474935,3.5330420399041764,3.53369483092469,3.4059951297710906,3.409443358052002,3.418964704338182,3.419422905939799
39,2.401e-07,3.6090254846143863,3.6144845546007147,3.580724097101499,3.5821086986643924,3.583634154405028,3.587505290105569,3.5168419067106806,3.5172398273437038,3.400981126225107,3.4028685944894552
40,2.46e-07,3.648851908320267,3.6506641021032475,3.599890176519025,3.601892897366477,3.5408158391947566,3.54161480418202,3.474891581802748,3.477739180742305,3.1993973432401197,3.204718669365215
41,2.519e-07,3.7079799793910735,3.705464708651028,3.5936340172182106,3.599915477807591,3.5303543349357893,3.5322998975980044,3.4599011608880055,3.4644950504417547,3.429382782486351,3.4309057506172236
42,2.578e-07,3.560204634276162,3.5675177524678428,3.675329251651784,3.6782755509829657,3.590640874042671,3.5967108809312287,3.44336153909914,3.4461135625346255,3.460434329188662,3.4633778168105085
43,2.637e-07,3.637016108670161,3.6392106059062423,3.611046011603654,3.613947958534848,3.5176165021966344,3.5214988827465086,3.4400057623794296,3.445047546400133,3.4269537267280556,3.4307645806407248
44,2.6960000000000003e-07,3.6304713612029444,3.634382475372893,3.5950298703146943,3.5996824814306816,3.563000692923276,3.5626858546132465,3.440925911216876,3.4414849988092606,3.526846762364381,3.527965249451223
45,2.755e-07,3.663991645216901,3.6697905417556376,3.5736536525168057,3.573744231336358,3.547727302735685,3.5527868907976266,3.490333331779818,3.4928617203402763,3.4788710997138486,3.4825660763521777
