,Frequency,Signal Run 0,Background Run 0,Signal Run 1,Background Run 1,Signal Run 2,Background Run 2,Signal Run 3,Background Run 3,Signal Run 4,Background Run 4,Signal Run 5,Background Run 5,Signal Run 6,Background Run 6,Signal Run 7,Background Run 7
0,3.08,6.156998065021456,6.573880476513182,5.860176437081616,6.253331796668913,6.149268687335385,6.567864938408102,5.943677455410003,6.345747144035839,6.265475941430178,6.684568640957882,6.086373264735086,6.508002253824899,6.178128681917676,6.59627767998673,6.198867366769257,6.62028914550395
1,3.0802,6.224433871239157,6.646563485052484,5.9547258739961855,6.360668911073229,6.047408722827757,6.460986744642245,6.121815675095028,6.538448496404188,6.29235957493774,6.717382760452725,6.144443202609499,6.546459078019066,6.005757985177021,6.4207577744997195,5.962868442568137,6.365441984104698
2,3.0804,6.084463646430266,6.499346744699651,5.922174351474912,6.321114363284809,6.0245894291758795,6.439410250814999,6.023090504139161,6.428747203855451,6.284914075196439,6.717761687401954,6.194286172104405,6.615202563055265,6.1694594047356786,6.581602693360263,6.413341596978216,6.848495135283401
3,3.0806,5.967648770235673,6.374678801706934,5.923618195950598,6.327863303122518,6.102631037971256,6.528346114849046,6.057421447939371,6.466418048712345,6.051382812753577,6.460325723860766,6.21371584592937,6.655027846651596,5.8908604444017785,6.291812556385002,5.7523014405364865,6.1390690183792636
4,3.0808,6.111747399995271,6.521370956472411,6.030160379099432,6.436178476714987,6.263827698779275,6.683127792200673,6.0789364350932376,6.492434529966824,5.885943449364224,6.282225714877374,5.89074377557087,6.293971258194282,5.974944534323036,6.392686665552868,6.344924113333596,6.777351113005559
5,3.081,6.143764186495821,6.565620321252883,5.706773547120742,6.095803331854044,6.044139482595987,6.454123399429988,5.945747634566129,6.3472835241038625,6.02730022600907,6.4368549578194285,6.149449834161205,6.560881283916296,6.076137855429492,6.479678844152397,6.040693547486273,6.461759977555392
6,3.0812,6.273245670073576,6.700000106937178,5.804852404611388,6.2034271402764345,6.021018088854402,6.4276589709629635,6.07506959737762,6.4903099745116615,5.8722380336435265,6.271224498417696,6.359449947180795,6.782237486738542,6.034506976109388,6.452097033329551,6.309690950006258,6.744792782525393
7,3.0814,6.172939787355918,6.590212980109181,5.524601915665646,5.897505956459392,5.941721217519007,6.340217705662275,6.030111870421629,6.437265695374035,5.749779957410281,6.143590824853199,6.294043576913487,6.716459923820174,6.04752355108784,6.4649674525374525,6.009601337149843,6.410422327173122
8,3.0816,6.1248028549260605,6.543722957877739,5.782442242338118,6.174972533221597,6.032790790063132,6.436289512774425,5.988974052225867,6.39151141755979,5.996147432576953,6.402619647819007,5.967443599524516,6.380596479989814,6.214544050718192,6.637249250144543,6.0534588174077015,6.456870743340536
9,3.0818,6.195405439089554,6.615442549899032,5.926056159586553,6.324216574142951,6.149810225485118,6.5700397002946485,5.981617760851781,6.3816532639606525,6.011867994187881,6.416183530721479,6.1743938797168845,6.58951095173058,6.165941614397209,6.577291885236958,6.179132788378516,6.597166214919353
10,3.082,6.104486562338923,6.516598193450229,5.900224238461917,6.302482523530471,6.179616946163998,6.599021870970326,5.918347896352111,6.317848878873304,6.120053547136134,6.538895695949725,6.068308496574406,6.476048878271463,6.293724070193642,6.706810442422572,5.93844859082916,6.345233698386546
11,3.0822000000000003,6.070269441627649,6.484179847828101,5.891918660241537,6.293687471154731,5.910678492079049,6.310861881317676,6.083872815140076,6.4980603280881555,5.8183485827510015,6.2122129547211955,6.218046010511902,6.64070093226305,6.0818864862531266,6.496962526370036,5.964202682080197,6.364701387254072
12,3.0824000000000003,6.045416954636644,6.455424280636931,5.850223555776967,6.248470669500494,5.914301799835196,6.318388326712101,5.827392244923727,6.215958979135021,6.044028177877506,6.458562009443251,6.07861451415994,6.493812701351815,6.06806432428295,6.483679810264224,6.218993376639727,6.643254682951028
