,Frequency,Signal Run 0,Background Run 0,Signal Run 1,Background Run 1,Signal Run 2,Background Run 2,Signal Run 3,Background Run 3,Signal Run 4,Background Run 4,Signal Run 5,Background Run 5
0,3.08,6.1080505026248,6.500153558259779,6.08585841185058,6.471739913599255,6.100012638717909,6.484798743294621,6.211369671938105,6.607244377039737,6.530712802608506,6.945871589131909,6.4828843399423155,6.879492136236528
1,3.0802,6.262234367208424,6.6521002621835725,6.518784020715871,6.936749791323909,6.1124756901430635,6.498780101250304,6.075841318340666,6.4592809175008,6.163020714689597,6.56249164146614,6.190141893405367,6.579163460881046
2,3.0804,6.417707082979627,6.822628055945299,6.17314776976837,6.567208958356282,6.140898222252978,6.5289487321697015,6.355093533184481,6.754557190946803,6.498484629426931,6.903496291130051,5.924718230109759,6.299888768679781
3,3.0806,6.0703729063600935,6.456452184962214,6.2336092937215595,6.629781682428123,6.295950560511608,6.690089071305189,6.286947864946104,6.687905396660229,6.614929358481285,7.028490958673066,6.27840016627398,6.673316385652485
4,3.0808,6.4051021194303015,6.817797923133716,6.398747104776127,6.797604634889191,6.28101919584952,6.680903168804541,6.406026176419936,6.807842474075836,6.486606380783199,6.91103135594184,6.148642757857414,6.530517293154871
5,3.081,5.971847241745905,6.3513431115471635,6.100945822279477,6.487331725326383,6.403148905619289,6.810219162419583,5.974878039347547,6.349376399011639,5.854030003837937,6.212945545301099,6.227389047428096,6.627189915210568
6,3.0812,6.341618792300846,6.743200117049582,6.189490874953746,6.585225030997337,6.55724140297816,6.964025362212587,6.596251219573275,7.017898689793703,6.449994131178721,6.852650092574965,6.449994131178721,6.852650092574965
7,3.0814,6.344403349872178,6.745384682554919,6.270535791121944,6.663380892059078,6.065357515622079,6.445319296994358,6.371223795534114,6.7770932913554,6.120912792369763,6.495857744547792,6.120912792369763,6.495857744547792
8,3.0816,5.992956869962103,6.356480905604961,6.370777691188375,6.772306877055224,6.132495264527579,6.519476557708981,6.264793995704261,6.649897311355354,6.356742418249483,6.752575114379434,6.356742418249483,6.752575114379434
9,3.0818,6.30745147133878,6.695056073930393,6.154211798357659,6.534539536078366,6.331259343508187,6.737582315147343,6.381368751544294,6.779645246329687,6.308000422925298,6.700418875207314,6.308000422925298,6.700418875207314
10,3.082,6.3507309185789005,6.7425959901092885,6.321169599134945,6.736418379172839,6.098568421995922,6.475412307983589,6.481291479346492,6.890972951161035,6.188746919178635,6.582363371575229,6.188746919178635,6.582363371575229
11,3.0822000000000003,6.490730985692682,6.900458996022946,6.119416604979844,6.511353191525978,6.638498562148988,7.070213572084658,6.0710991344658485,6.451634615656232,5.9444051725085565,6.317517420648617,5.9444051725085565,6.317517420648617
12,3.0824000000000003,6.265866298640944,6.6587684853385785,6.310167517800124,6.705480713424319,6.001539374984599,6.3817883215878535,6.1863476643096424,6.584538364651802,6.021934846952171,6.396499235723128,6.021934846952171,6.396499235723128
13,3.0826000000000002,6.472596880960922,6.8790290526186855,6.3735868280141235,6.771734643081828,6.233571993393459,6.6198203888233635,6.10647791364621,6.495492836620273,6.226669490410571,6.625317197243249,6.226669490410571,6.625317197243249
14,3.0828,6.366667749383253,6.770683900561368,6.411764626604529,6.8154931096529,6.0490127976983175,6.421723138420979,6.434072985437471,6.84454211542198,6.4163869580144075,6.819696027990352,6.4163869580144075,6.819696027990352
15,3.083,6.22182560041715,6.61902339711553,5.858965097713862,6.229299630806245,6.549144409934486,6.96287152072525,6.392266035974215,6.798696233713061,6.137710371049304,6.528111790344345,6.137710371049304,6.528111790344345
16,3.0832,6.299099584787021,6.695610652949072,6.214471799395562,6.605423681520299,6.025200007528954,6.4040734630501355,6.602620030570796,7.01404796113675,6.121003686763569,6.503327406261014,6.121003686763569,6.503327406261014
17,3.0834,6.540957996257076,6.942921292866169,6.073662146547615,6.464519870606182,6.183407035019443,6.577278656454028,6.222306249824261,6.6154139218348496,6.538344213339917,6.958388973712721,6.538344213339917,6.958388973712721
