,Frequency,Signal Run 0,Background Run 0,Signal Run 1,Background Run 1,Signal Run 2,Background Run 2,Signal Run 3,Background Run 3,Signal Run 4,Background Run 4,Signal Run 5,Background Run 5,Signal Run 6,Background Run 6,Signal Run 7,Background Run 7,Signal Run 8,Background Run 8,Signal Run 9,Background Run 9
20,3.086,2.20738237279721,2.2067161545956604,2.096217537329758,2.0969446625973838,2.1634990658529505,2.1613439279344493,2.1064072755586003,2.1058269502116262,2.1616618903406923,2.162886883353112,2.168501481468196,2.1682600434565993,2.197950673157795,2.1994983116339144,2.1352127196106667,2.134371903219942,2.1004640848987175,2.1003460207895763,2.198218339925569,2.1981630561703542
21,3.0863,2.172988231741651,2.1714240383559975,2.1892360988012833,2.189371653941537,2.074792333750034,2.0749937926128026,2.2303205485042907,2.2312947341532934,2.243414403196255,2.243271352119802,2.113791273429162,2.1154504177445643,2.1431364498164416,2.147419552397145,2.237234477222373,2.2380946584173698,2.1607348655275214,2.161050952591324,2.048225106354358,2.05103740511426
22,3.0866000000000002,2.148384359350496,2.1463044949855985,2.1812780221615005,2.1807326786548327,2.192813633626084,2.196370236328057,2.1162200233557353,2.1155275680483983,2.1057882249744084,2.105530857479258,2.152526915073545,2.1529951113438126,2.138385456203168,2.1430196278852804,2.028858857723599,2.02725374885282,2.273491712702148,2.2717782208079407,2.0707925288886844,2.0721187193881807
23,3.0869,2.193066635188648,2.191254757519706,2.2016584574909266,2.2015685033919943,2.08119996619758,2.0834841002431657,2.0810166249884747,2.083518459025261,2.2038310664351655,2.2077512315001195,2.184367359951678,2.184057832364742,2.2016949823705034,2.2040165979876254,2.0360623262399042,2.033829728738779,2.194494638381103,2.1956481052209647,2.063001230723323,2.0646806767073986
24,3.0872,2.1670512965405,2.1698089365583555,2.240410326326929,2.242462705040304,2.0440125934130435,2.0470735139038605,2.1273224155658084,2.1294725568317734,2.1978772646472615,2.1972794478507383,2.145061078903485,2.143254198491931,2.1482322491943813,2.150002273368531,2.0453684606117526,2.046791163511053,2.110568247635287,2.1130013667930085,2.1083453332695363,2.111340662832116
25,3.0875,2.186083661620242,2.1891805014245094,2.093250946112435,2.094314147394513,2.136605439863569,2.1376723896386367,1.9912766930734933,1.9896806414964918,2.1987530677360145,2.1984991363372965,2.1757258800335255,2.1781146481148705,2.2166382289846323,2.218223036745736,2.0105570569142057,2.012785594554953,2.1124300956014843,2.1109621028319085,2.1713781249948654,2.172967305689174
26,3.0878,2.192749301256173,2.196726312813044,2.1018227678957144,2.1042630709655485,2.1213842304133177,2.122538946952469,2.2035615247527547,2.20470156177824,2.072260529926321,2.0730844799222394,2.1431511268687387,2.1454202684043477,2.2015132050306336,2.2021722401364365,2.159646364579576,2.1599846275857755,2.176260295650106,2.1751970937961125,2.174959397418202,2.17624685828309
27,3.0881,2.158040006878774,2.1615663129582137,2.0869879185747466,2.0907562864721227,2.168122300348322,2.1701037782894783,2.071469679010039,2.0706016889203442,2.1338043926515016,2.1322033432663794,2.205755703157984,2.2101606184702134,2.1423462286281096,2.144847750681669,2.0369749866459146,2.0407542872011732,2.158599090401288,2.161161830664597,2.1636677247767526,2.166660868212737
28,3.0884,2.226819236108061,2.233548889984797,2.264386725489041,2.2697720725608237,2.1732455972505416,2.177063315576717,2.169738663809612,2.1741810588386166,2.183784534936261,2.183809834231544,2.271196027267739,2.2782030391400987,2.121664092498867,2.1231817464988496,2.1690277734067083,2.1743768887934203,2.1158314736857275,2.1191219633686287,2.18507262263092,2.189787690178353
29,3.0887000000000002,2.1293591861428665,2.1391719360104053,2.148623923208839,2.157694868205391,2.071870408624056,2.075890521568568,2.103343235694078,2.112040622599651,2.1834743848861717,2.1884577517248665,2.2123210645745433,2.2235977480105995,2.0988055666332297,2.105423402141012,2.1857769459696206,2.1991375536718,2.1711922820473966,2.1779644135313774,2.099611409204341,2.1069516840433327
30,3.089,2.1459874800737118,2.1569227753897127,2.141867426253876,2.1526965266953164,2.070902469014223,2.080369146848553,2.1432657576354397,2.1540327035073,2.022766386144857,2.031492820390167,2.069576281257159,2.0792169316990265,2.0946405256722183,2.105352498536399,2.179022624617689,2.1912453811539447,2.1630461738283078,2.171181664092523,2.1162418795308957,2.124776226007879
31,3.0893,2.162178495798434,2.172763035401282,2.1874726480458753,2.197782018296261,2.107640387845914,2.1188143105671116,2.221995766518208,2.2323232519907745,2.1157230852120157,2.1257366687778356,2.076736024128624,2.0898014701884686,2.1479861294369123,2.1594246034023166,2.0794580523139765,2.087673500238985,2.0944787346067644,2.105065459544823,2.101744682274888,2.1129223523988605
32,3.0896,2.2413570430662593,2.253384590758966,2.0501244478573177,2.0597422972008514,2.259263105351113,2.274235070871593,2.0955816245374432,2.109302669624663,2.131829787614751,2.141448887167374,2.137906331763642,2.151659549139628,2.0812643198229823,2.091354738809922,2.1970854874977013,2.2100856563846563,2.1019773675545763,2.114066754741449,2.0912076170667353,2.1016644094427517
33,3.0899,2.266492817115571,2.27330367951354,2.0814695226385758,2.089018440851813,2.216934946576949,2.2302833736293173,2.159792247757659,2.1700035423463304,2.1962481079515674,2.2050926076788273,2.0626826487512004,2.073537985017189,2.236614474936752,2.2456963526516183,1.9822766652112378,1.988391321768899,2.0528727133013605,2.0606893042794945,1.9563035018326655,1.965090217136386
34,3.0902,2.0778973070993363,2.0817019062915114,2.2525818774838915,2.258935788741446,2.262481758481527,2.2698613901057936,2.1719478275057966,2.1817099788337577,1.9092624691717575,1.9164631268893058,2.0773741313379728,2.082646722902965,1.982260103371647,1.9898839824088315,2.127463281098895,2.1338078201775064,2.0746186825803212,2.083443503920286,2.154916629160306,2.165911581694216
35,3.0905,2.1235790497247553,2.1297493033786123,2.2167347243595126,2.2256307607563777,2.2209559923924855,2.22816290105735,2.1122311374207645,2.1182143000791083,2.182444608636424,2.187491068387507,2.18882850801546,2.197422512309244,2.1453299997150026,2.152883914839799,2.0744996801863156,2.0787852816807195,2.1137144355092303,2.1186200293454007,1.9792476030465855,1.9820224216196674
36,3.0908,2.1996735249464168,2.204893957173213,2.157851053634386,2.162539884691381,2.0793384303175118,2.0863488756356428,2.154138265716444,2.1615597497283976,2.12628139072401,2.130519828782674,2.1309271228453937,2.1357980473168503,2.0653928104632158,2.0707238097165663,2.1833035383073267,2.1927711541145327,2.1621304298509982,2.173001696639885,2.0090653238488905,2.0149048102281135
