,Frequency,Signal Run 0,Background Run 0,Signal Run 1,Background Run 1,Signal Run 2,Background Run 2,Signal Run 3,Background Run 3,Signal Run 4,Background Run 4,Signal Run 5,Background Run 5,Signal Run 6,Background Run 6,Signal Run 7,Background Run 7,Signal Run 8,Background Run 8
0,3.08,1.3801956940182978,1.380514901253855,1.3258992077375564,1.3264767171789467,1.3361703738875041,1.3368290902749267,1.4701403557306096,1.468588045577899,1.316173378898628,1.3134944730449725,1.3000996361377732,1.3020051978502638,1.4120502258870151,1.4108508556019315,1.3665509839043093,1.3681395249712427,1.2804234083899872,1.2806295497571207
1,3.0807,1.413007843676715,1.4120873891711334,1.3861125907978404,1.3846408632569613,1.401602583428424,1.4019430297563367,1.406514072169724,1.4061570723131762,1.299679224809539,1.297243004277409,1.3997120149222344,1.4007296058324583,1.3485669959953497,1.3480660091403618,1.4033622887123265,1.403220488080211,1.3712166591657287,1.3696431104287634
2,3.0814,1.3669620230114978,1.3655549489977616,1.3901067660993764,1.3888727263156724,1.1960102341209988,1.193546840615894,1.4104566958606013,1.4099956876780548,1.3177144387858883,1.3181379664492883,1.4692083459468595,1.4685705555715096,1.353889201428477,1.354205285669817,1.4229907261033372,1.422965426852673,1.2551229377148512,1.2532495466269742
3,3.0821,1.3514539160334296,1.3501670914977013,1.368262283330849,1.3688347958451343,1.3206919369541141,1.3202612256641313,1.4573423877257496,1.4575138602645246,1.3219765925043954,1.3216751881890798,1.3635341356120636,1.3657848289202907,1.1927469545674345,1.1941368495169762,1.4595468483222793,1.4598076488345268,1.306711473462643,1.3068223525603027
4,3.0828,1.3296541078648287,1.328201745617154,1.3100309923605131,1.3082653568241245,1.3508189350476065,1.3502042578634397,1.3289772778726736,1.3283313668002066,1.2969697111117795,1.2992925540359042,1.3088075613172596,1.3095059446533237,1.3288058115292858,1.3293030505614025,1.385463554783058,1.3848460665129474,1.3181032951962948,1.318025835952977
5,3.0835,1.4364233951832055,1.4356653566528386,1.3949242254946275,1.3944088712851588,1.3860704302940896,1.386804732291307,1.450957612020983,1.4511653152670065,1.2992606906656374,1.2992813049296388,1.4157039257930306,1.4150964320282429,1.3082562792682728,1.3059115729364883,1.425379189756057,1.4268465443056977,1.4358314925434046,1.434089594571282
6,3.0842,1.381371636630897,1.3826531513814162,1.427429642215223,1.428616518895616,1.3279328259188623,1.3271576080341299,1.3067467707231577,1.3061567678535049,1.3599032246990923,1.3626827028166357,1.3571537321373963,1.3574913674425393,1.3284463107123,1.327575205320744,1.3524793071435737,1.3508910784069768,1.1941099999738913,1.1926301520620954
7,3.0849,1.3921603556952675,1.393796684122382,1.3774224641603356,1.3783944537395882,1.3078971246766078,1.3076953553507753,1.2664023450299262,1.266646904022468,1.38361077833167,1.3826640877664353,1.4017568742808635,1.4030290190115116,1.334486886741958,1.3351031256679111,1.4035574957298216,1.4059271892735297,1.2991226390492276,1.2997404395367704
8,3.0856,1.3861663131092592,1.3882748938461718,1.3942976863138412,1.3943995089722894,1.3476218704295673,1.3479535706443144,1.3846839710444347,1.3842969868216723,1.299089849840986,1.299164810443944,1.3707803333982287,1.370129425061667,1.3349407235567126,1.3349872612227414,1.4322290033950076,1.4305870531857945,1.381843580152628,1.3794473384110533
9,3.0863,1.3888905179456534,1.3919467259306282,1.2491248467132392,1.2504007392613572,1.3887877535228912,1.3884857252068752,1.3454817403683517,1.3450922574471555,1.2756374717844103,1.2771938420158808,1.3421419362610167,1.3406658358002086,1.299947831661923,1.300629973367096,1.3828792900813773,1.3818913706810059,1.3192352213536493,1.3159094675786498
10,3.087,1.320577627541454,1.3218507088358602,1.3750577682118637,1.3760150781840288,1.2427019574118516,1.2428546897046207,1.3912645992709896,1.3915194654471845,1.3383951474198261,1.3387655778661804,1.355963118396614,1.3535328318949644,1.2866313985705005,1.2869830884889302,1.3983208695982563,1.397344194971658,1.340212626411905,1.3428806005038172
11,3.0877,1.3959945890080887,1.3967688699377923,1.4282626508838858,1.4268786898589656,1.3844512763700922,1.384422853801882,1.3464730940643508,1.3485876087534365,1.3422218930951897,1.3430042953084709,1.3541090849863735,1.3562854424176434,1.3620277394978193,1.3618609521507992,1.3982315468965067,1.3967214018918193,1.3163008073855393,1.3154019044587246
12,3.0884,1.335835242404917,1.3370986416674178,1.2899159224812793,1.2884520034004363,1.3646123193218473,1.365667077718271,1.3552144516334634,1.355649848135852,1.3137540226711122,1.3118412773909507,1.3354901212828305,1.3360098484341139,1.2737718958625117,1.2746002109693573,1.3060530739917506,1.3050086226749968,1.3586726300181728,1.359304173278993
