,Frequency,Signal Run 0,Background Run 0,Signal Run 1,Background Run 1,Signal Run 2,Background Run 2,Signal Run 3,Background Run 3,Signal Run 4,Background Run 4,Signal Run 5,Background Run 5,Signal Run 6,Background Run 6,Signal Run 7,Background Run 7,Signal Run 8,Background Run 8,Signal Run 9,Background Run 9
0,3.08,1.2076241247104247,1.2256274872647208,1.2385575868934544,1.1987072606802667,1.1822549484186824,1.169409199468373,1.2236216752868014,1.2149684038886948,1.1531068237613504,1.197659368250554,1.2031102523480512,1.2192364674288747,1.1848985703615635,1.183778843594254,1.2492400910637338,1.244327358855773,1.2418933205669704,1.2098420357663142,1.1355173143120536,1.185244945500131
1,3.0804,1.213952071491288,1.2344044518174346,1.1811433575206165,1.2047356396059072,1.220996484838627,1.2283588663694478,1.1986432227117803,1.1868725255216603,1.2407126924363878,1.1808884866340146,1.2063541716514414,1.1613449976590529,1.212330100780549,1.237744258027185,1.204167524049277,1.2015660634111474,1.187037136991218,1.1875418691583577,1.200550350751734,1.2013518047997331
2,3.0808,1.1925186410545903,1.2439157075565397,1.1475194351675515,1.2280649553577436,1.2368650388468823,1.2091829970876917,1.2175820163326998,1.2398390997838495,1.219893005628589,1.2270826630507026,1.2286874470148041,1.2136840645189881,1.1986882087813628,1.2700775837066511,1.2228405251925603,1.2356272372120156,1.2107009700386175,1.1817589692105483,1.219221781704881,1.220297788411654
3,3.0812,1.2518581022153543,1.2091077403669064,1.184370094008333,1.164200367705898,1.2270758060742641,1.2125899576493362,1.202155442163296,1.1805258676408803,1.2300748414135678,1.2701853575289437,1.1664548072024061,1.233784466375253,1.2228186382635096,1.2396438872514912,1.1896585676828821,1.1759279582280546,1.2019502406764093,1.2021407592519904,1.2319763271709727,1.21828071731177
4,3.0816,1.2433038262232252,1.1680093109558285,1.2044005118709884,1.1746717451781665,1.2285256463465122,1.2258364536797055,1.1813675940279877,1.159202055616705,1.1599107547741205,1.170992746318203,1.1842795182282213,1.216326124644219,1.2778725559294304,1.2433803628469997,1.2039673098235544,1.1837366804710974,1.2116773187911507,1.2114686868864344,1.2036156160426152,1.1894433721898636
5,3.082,1.1996889249350133,1.1735532772242243,1.2459718081107536,1.1813579258767584,1.2232381193736455,1.2445194401307658,1.1847174107059875,1.2019711723682263,1.2236151041585048,1.1938423073549551,1.2365061577388643,1.2132827318089314,1.210901782215842,1.2322914936908305,1.1953718198640761,1.2429093612820856,1.231125539005678,1.1522869471990682,1.18010077286762,1.1964081500036887
6,3.0824000000000003,1.1845218850799584,1.2359654961397353,1.2380659533481253,1.2332784739445835,1.2146388990018315,1.2187467242290373,1.227277260372987,1.220505498721137,1.245928076707217,1.2391897446182325,1.2017441004811955,1.2246505030285184,1.2285921904131807,1.1878948048840097,1.234703966785026,1.227405313716024,1.2386091065817681,1.2555277233130204,1.1728855055550778,1.1762565589122582
7,3.0828,1.238628784443861,1.2500456141075136,1.2015663724906116,1.2226783981837093,1.226620102137521,1.2243200539428858,1.178177416521013,1.2103245991441571,1.1777544989718944,1.2084474436021229,1.2183278750094992,1.225404487120065,1.2140338830077773,1.228773662674565,1.2159844282651797,1.1909972457723779,1.212160190067645,1.2365192719276605,1.1662180528620738,1.1738621623499095
8,3.0832,1.1314781706616612,1.1322168524623466,1.22737376311848,1.2062033333264153,1.2223732647911918,1.2148593968007348,1.189707910337695,1.1922590605701693,1.168157990719086,1.1607181460363003,1.2229004940820163,1.2141269672466732,1.1842982582703026,1.162857647430912,1.2051201377925105,1.2447502520070648,1.1887712218617759,1.1899674724063072,1.22517460004736,1.1957884693329741
9,3.0836,1.2113000208533549,1.1815284606682663,1.206290781826147,1.168278217954309,1.2370290126342474,1.2325650881131152,1.1788086322714886,1.1874772112188337,1.2176001315903173,1.2135101091322509,1.2351100181739545,1.1616845043383275,1.1910228539086851,1.1876521190749119,1.2060024848989224,1.193975353020368,1.2092120550772545,1.1943429819211597,1.224796054196835,1.2339412452814356
10,3.084,1.1800926688795452,1.22907662396197,1.1808897397275504,1.2342189127228582,1.2284316410456195,1.166753410829131,1.1865742347161021,1.1880928336547212,1.205256945871386,1.2119974654854488,1.1904987555702273,1.1930021250169385,1.1916197407601266,1.1517075519702944,1.2199520380275812,1.2018581108514486,1.182358330848942,1.189285014618131,1.203686814160818,1.1841108489710168
11,3.0844,1.1665366413767633,1.2073230441032607,1.1799246152563154,1.2187598664896548,1.1905811996664455,1.2058903611455294,1.2058069714694362,1.1756128193979036,1.1669729791179784,1.192739448124284,1.2139214583418048,1.200617805307486,1.2086970116770233,1.2226987235736129,1.1680399157122192,1.1961776403722284,1.192820965937886,1.1898100389659871,1.218739234948219,1.2123119727859006
12,3.0848,1.2084277818486417,1.2022357057663375,1.163874928075701,1.2113680968676166,1.1923933844257,1.22006727563313,1.248147549247367,1.1934665757056606,1.1847052229206474,1.207629750120839,1.213660959758974,1.1988568665065291,1.1848991871551586,1.1547578381628913,1.210792485114406,1.1685093563498994,1.2075338486042437,1.2093479079602338,1.220403663163333,1.2235535775201989
13,3.0852,1.2182757296412845,1.203351383973018,1.2606147382969355,1.2779790657074916,1.14997315770858,1.2013658503778026,1.2130519086855343,1.1780824713873004,1.1745614898677676,1.2109801903089064,1.2005722091633142,1.1698905031102163,1.2145111500269723,1.224133589555159,1.185680338602557,1.238855537870856,1.1661865115421883,1.201215632052929,1.2307023304682292,1.2097748824267074
14,3.0856,1.2242706965884729,1.2149093642627056,1.2133305198240798,1.222909552620276,1.1912292983262047,1.157904933616489,1.19704281642377,1.1713463045081545,1.2082722288312466,1.2448452228736278,1.2231003912093479,1.217740376116963,1.2525527362230682,1.2407448682239637,1.182717203085224,1.2379076019539499,1.1923665260202634,1.176946804561276,1.1509420252802511,1.1765473288516988
15,3.0860000000000003,1.150874561124494,1.223870288200484,1.1701478789735758,1.2523572053843095,1.2219890973966436,1.2660212796864694,1.1716848738523373,1.183672331055688,1.199730466782934,1.21639359409396,1.1803962418404186,1.1818226772371307,1.2388046330495928,1.1840340276513672,1.1851933990053973,1.219927037923538,1.1509707599316814,1.2174730435170378,1.1967523380930836,1.212129264518336
16,3.0864000000000003,1.22925121402045,1.2164079580646994,1.2117216738559538,1.2062610875585138,1.1798824556200433,1.237642126160251,1.224093921220677,1.209097112874948,1.1799952072347322,1.2225157020870057,1.2012631088766093,1.210030050719942,1.2295344960836667,1.2487472279177851,1.2401230039562494,1.1769336996039257,1.2057270082968197,1.1734392723973424,1.1760419650923535,1.2150392933811904
17,3.0868,1.2380922129628644,1.2174055540635318,1.2009267120581106,1.2141169919299837,1.188565694378602,1.181384475321371,1.2120574394769463,1.1888436858110043,1.2066146614903268,1.201178466134646,1.2525089973509702,1.2115861264184806,1.2331551072384481,1.2079664580588274,1.244654376329122,1.2073008619801862,1.2163561172668744,1.1860991948587956,1.2084827329081116,1.2061233520453976
18,3.0872,1.211747894314957,1.1999609692635076,1.1982153231127313,1.2103783038969038,1.2080738946663252,1.2306076845940093,1.204283389250695,1.1955361080762574,1.2289616802129217,1.1730329175948404,1.2266116610705837,1.2180564639925429,1.296292880147495,1.2470128290556928,1.185953009751348,1.1940481381950176,1.2226584194377084,1.1840343296796254,1.1829964464087894,1.172125583002693
19,3.0876,1.1791369012281607,1.2352543037214563,1.2167327902968472,1.1918164962194697,1.2054502833630214,1.2253810577313098,1.2478536341744602,1.237767356528595,1.2193882470757815,1.1879828903461351,1.2070141368224216,1.2035162959878962,1.205907546420473,1.2043564674438196,1.222151192240616,1.147349839280258,1.2443642174491751,1.2499110062443564,1.2243772253839058,1.2058625667543288
