,Duration,Signal Run 0,Background Run 0
0,1e-08,2.8868877904963837,2.888877078414331
1,1.6e-08,2.9236485487012813,2.9241092489971154
2,2.2e-08,2.9289548878157556,2.9305165846680916
3,2.8e-08,2.936257059480335,2.934827170358529
4,3.4e-08,2.9816989800779616,2.9846780717469867
5,4e-08,2.9778697014032582,2.977138202638576
6,4.6e-08,2.984629975572277,2.9826347525793406
7,5.2e-08,2.916508165503635,2.917353980141611
8,5.8e-08,2.992347589307495,2.991533321647481
9,6.4e-08,2.9272720117962954,2.925552271417999
10,6.999999999999999e-08,2.959242413178007,2.9560684219636406
11,7.599999999999999e-08,2.959448252327403,2.9587170659461353
12,8.199999999999999e-08,2.922970776688807,2.9241242453335987
13,8.8e-08,2.850786712185466,2.8482205333450246
14,9.4e-08,2.9530662207749345,2.956599402029745
15,1e-07,2.92423419011407,2.928540098115923
16,1.06e-07,2.919939208403986,2.918984387327142
17,1.12e-07,2.9347578319569374,2.937859984743055
18,1.18e-07,2.8805213815524495,2.8833983377709917
19,1.24e-07,2.8946362972618047,2.897983636626512
20,1.3e-07,2.8912561601307187,2.8912845828510325
21,1.36e-07,2.9129237633078318,2.9152128978441896
22,1.42e-07,2.9399504736079765,2.939175560489348
23,1.48e-07,2.832482370755033,2.8311999053006995
24,1.54e-07,2.961988812983124,2.9628486828646547
25,1.6e-07,2.924281666006349,2.9231272603613365
26,1.66e-07,2.9665402198907636,2.9645824775808833
27,1.72e-07,2.907337267948439,2.9070658446006252
28,1.78e-07,2.8872548703347145,2.8874029175687497
29,1.84e-07,2.9175660601137343,2.9158460080942206
30,1.9e-07,2.9200984991461194,2.9216389562496037
31,1.96e-07,2.9560515627055675,2.95716942498266
32,2.02e-07,2.955284146629784,2.954501736361439
33,2.08e-07,2.8790808683123403,2.8803792626159033
34,2.14e-07,2.9436370140715042,2.936635618029152
35,2.2e-07,2.9182835030547727,2.921457493996717
36,2.26e-07,2.920082891882228,2.9172627809712366
37,2.32e-07,2.961775797816679,2.9583575573322145
38,2.3800000000000001e-07,3.007815245703022,3.0079882814833234
39,2.44e-07,2.9313339770106075,2.92943870341357
40,2.5e-07,2.913321681086949,2.916042156080822
41,2.56e-07,2.922971708516053,2.9222398977235042
42,2.62e-07,2.916354180231807,2.9175526263298943
43,2.68e-07,2.982719393393678,2.9831098174644395
44,2.74e-07,2.886325263939522,2.8893049795708197
45,2.8e-07,2.8839439929346415,2.8868793567572837
46,2.86e-07,2.918577099306006,2.9195447267191463
47,2.92e-07,2.910783321651711,2.908367067096816
48,2.98e-07,2.935305677284231,2.937189706998766
49,3.04e-07,2.865590635243966,2.86997681419678
50,3.1e-07,2.894765294166319,2.897751881730381
51,3.16e-07,0.0,0.0
52,3.22e-07,0.0,0.0
53,3.28e-07,0.0,0.0
54,3.34e-07,0.0,0.0
55,3.4000000000000003e-07,0.0,0.0
56,3.46e-07,0.0,0.0
57,3.5200000000000003e-07,0.0,0.0
58,3.58e-07,0.0,0.0
59,3.6400000000000003e-07,0.0,0.0
60,3.7e-07,0.0,0.0
61,3.7600000000000003e-07,0.0,0.0
62,3.82e-07,0.0,0.0
63,3.8800000000000003e-07,0.0,0.0
64,3.94e-07,0.0,0.0
65,4e-07,0.0,0.0
66,4.06e-07,0.0,0.0
67,4.12e-07,0.0,0.0
68,4.18e-07,0.0,0.0
69,4.24e-07,0.0,0.0
70,4.3e-07,0.0,0.0
71,4.36e-07,0.0,0.0
72,4.42e-07,0.0,0.0
73,4.48e-07,0.0,0.0
74,4.54e-07,0.0,0.0
75,4.6e-07,0.0,0.0
76,4.66e-07,0.0,0.0
77,4.72e-07,0.0,0.0
78,4.78e-07,0.0,0.0
79,4.839999999999999e-07,0.0,0.0
80,4.9e-07,0.0,0.0
81,4.96e-07,0.0,0.0
82,5.02e-07,0.0,0.0
83,5.08e-07,0.0,0.0
84,5.14e-07,0.0,0.0
85,5.2e-07,0.0,0.0
86,5.26e-07,0.0,0.0
87,5.32e-07,0.0,0.0
88,5.38e-07,0.0,0.0
89,5.44e-07,0.0,0.0
90,5.5e-07,0.0,0.0
91,5.560000000000001e-07,0.0,0.0
92,5.62e-07,0.0,0.0
93,5.68e-07,0.0,0.0
94,5.74e-07,0.0,0.0
95,5.800000000000001e-07,0.0,0.0
96,5.86e-07,0.0,0.0
97,5.92e-07,0.0,0.0
98,5.98e-07,0.0,0.0
99,6.04e-07,0.0,0.0
100,6.1e-07,0.0,0.0
