,Tau,Signal Run 0,Background Run 0,Signal Run 1,Background Run 1,Signal Run 2,Background Run 2,Signal Run 3,Background Run 3,Signal Run 4,Background Run 4
0,2e-07,2.9191533683170747,2.917956484213997,2.9367889769619797,2.934957420466136,2.929984358477978,2.9300821207837733,1.7371987010168919,1.815948953853054,1.4031926291644237,1.4140766884632356
1,2.48e-07,2.9180686140537593,2.9208652996013145,2.9361327530355323,2.937388043775736,2.92507969578818,2.9267229125048098,1.7997029786782535,1.773731694172946,1.3388071336405574,1.3662898057648958
2,2.96e-07,2.919460710384613,2.9163979113831138,2.934283079999605,2.9338226915814607,2.928787787359647,2.9298728534287277,1.8204013306813225,1.7934724306551442,1.4009996883299514,1.3792200169125763
3,3.44e-07,2.9176350867826817,2.9189244232533107,2.93465445128547,2.936690278482761,2.9299325097593383,2.9286306799270805,1.783207428671799,1.8124248305853567,1.4037495320495168,1.4036042886678992
4,3.92e-07,2.919991686574572,2.921348175553356,2.934188753274713,2.9350736105170445,2.9248872946651203,2.9307417804460587,1.767945622584641,1.7636334723041618,1.4432965899418009,1.445279939820273
5,4.4e-07,2.914920546622943,2.9186205168534296,2.9357860565909157,2.9365000640911867,2.9270964698043547,2.928729066448185,1.748117741565708,1.7436394379473175,1.4218629762653245,1.4421887230709427
6,4.88e-07,2.918384700342595,2.9187798101624383,2.9369651367140506,2.9367318194702916,2.9253498683545094,2.930919813740574,1.7933762394669168,1.8211237840426284,1.4125118688000806,1.4229274316140916
7,5.36e-07,2.9141649985219877,2.9193944940324386,2.9355402457982263,2.937168470700633,2.9270318150760337,2.929832872617284,1.7946655711527828,1.7279066266724112,1.4265230635456423,1.4329203915613924
8,5.84e-07,2.9150851503536375,2.9199501456217694,2.938111422618926,2.93992861210922,2.929968114736224,2.9322475666704806,1.7812678109544307,1.7918270200556043,1.3932215262560435,1.3854480519849652
9,6.32e-07,2.9173674124382822,2.917290889648202,2.93890632588453,2.9359772083771576,2.9300502605019125,2.9282549346249245,1.7424100688386002,1.7581388242913052,1.4051253675738302,1.4224008167787845
10,6.800000000000001e-07,2.9172883899881614,2.9184303028704908,2.9344067665212044,2.9359056823672374,2.932710453511524,2.930148959488103,1.788058049386802,1.7726494550154814,1.435250751133158,1.406786698620062
11,7.280000000000001e-07,2.9160915070534448,2.918282879083181,2.936743688794587,2.9366852819529417,2.9299118943693183,2.9311840516964476,1.761751948055083,1.8045298496547164,1.430941417542881,1.3705073163105015
12,7.760000000000001e-07,2.9174298803617593,2.9194875712494976,2.937379611707167,2.940120388128873,2.931943660929626,2.9288240169541075,1.7788474949386341,1.802940054065628,1.413745300492668,1.3631373751000164
13,8.240000000000001e-07,2.9178818347108093,2.920463630841734,2.936396679390014,2.9362686200900585,2.931470467046579,2.9331995764977856,1.7656136990568347,1.7749251340534622,1.4236005156118505,1.417033903836273
14,8.720000000000001e-07,2.9193657585317596,2.917978348153926,2.939888319852007,2.936973569871497,2.9319930100689042,2.930986653035751,1.7858748032421865,1.8093586016801686,1.4098242068388054,1.4037167239714365
15,9.200000000000001e-07,2.918540558443729,2.9200094899345115,2.9364529009418865,2.9385024713904757,2.9316178903144348,2.9306705660529064,1.7991926135143061,1.7515556462819843,1.4295574480984155,1.4135010486007495
16,9.68e-07,2.9202062634227044,2.91999699731079,2.939832099098107,2.936467268557521,2.9316956637672145,2.9324259123377128,1.7642106879617925,1.7547811713455619,1.3981130754091562,1.3797416261549686
17,1.016e-06,2.920468317019151,2.917607601402436,2.9346781893402003,2.934112230755282,2.932621124480308,2.9353031818231234,1.7654890794699003,1.7412993843026365,1.419732820954329,1.445894627988555
18,1.064e-06,2.920584194622084,2.9172240494436603,2.9357898047717153,2.9356208289680064,2.932703894594474,2.9332942154892523,1.7460841162169032,1.7753468090255238,1.4052784252324664,1.4506449782989816
19,1.1120000000000001e-06,2.9180255112988576,2.92083562769178,2.933200200569016,2.9314511009656106,2.930978534068134,2.9318490223756015,1.7876979147126695,1.7770378050559508,1.4024717447973336,1.398685571499076
20,1.1600000000000001e-06,2.917605103232368,2.917121602048672,2.932652981764243,2.93260269536082,2.9295333397165932,2.930093989434375,1.7818318929127377,1.7674721275367045,1.427367624789201,1.4201532456103694
21,1.2080000000000001e-06,2.916580943477071,2.918205732275282,2.9337214944013112,2.9310687975616756,2.9317793706916455,2.9290717026882875,1.770696389924883,1.7903243750584488,1.4018976675219355,1.4196403778444815
22,1.2560000000000001e-06,2.9187701291796055,2.9198986104078974,2.9317562558584522,2.9301305312695614,2.928747182395113,2.931473591507115,1.7915409330155614,1.775562616274148,1.378083726866781,1.4676046529584583
23,1.3040000000000001e-06,2.9183853268063857,2.920075081553537,2.934503592079497,2.931155003738398,2.92804847887301,2.926949982260389,1.7562035672799907,1.7827614128346565,1.3887897541472136,1.3752504965202654
24,1.3520000000000001e-06,2.921047082224346,2.921980351477848,2.9328994187109982,2.936190224381299,2.9281521751835373,2.9294739950702997,1.8020511339541614,1.7373111424845078,1.420667645130608,1.4351689149151394
25,1.4000000000000001e-06,2.921310384445832,2.920967122848615,2.9334297706394534,2.9326461114712528,2.927543738410631,2.928862434420327,1.762774544971422,1.7775422322533618,1.441924801695433,1.4050235556058865
26,1.4480000000000002e-06,2.9208206360679174,2.9206766477533304,2.9310200738169825,2.9307052358142984,2.9280753396786166,2.926269707305575,1.759112062585078,1.7740215581176613,1.4697285712936858,1.4269800304632398
27,1.4960000000000002e-06,2.9213644184932104,2.917786572851435,2.9313311630937324,2.935112341736524,2.928977687676271,2.9331636583061482,1.745280784884283,1.7690691077488534,1.397386245514222,1.4213085734969053
28,1.5440000000000002e-06,2.920466130974317,2.9191414999679055,2.9358160417026826,2.9333110807640836,2.9284998089938084,2.927658367407587,1.766425158824505,1.7499948872867634,1.4235080624583478,1.4351739034340871
29,1.5920000000000002e-06,2.9200497827702407,2.917174700953879,2.935782621486842,2.9345276428462967,2.9280865843483115,2.9296326636957484,1.7703759287809289,1.8084924810015959,1.3781052676917491,1.4097498740521106
30,1.6400000000000002e-06,2.917234982283475,2.918556176753276,2.933036223226118,2.931943972745201,2.930653700690058,2.9291966386674995,1.7936551609290954,1.7790542529433346,1.386876988474094,1.4385637319421278
31,1.6880000000000002e-06,2.919588458041534,2.9197352576897972,2.9362152112099293,2.930854221052833,2.927859826449042,2.9300090324380106,1.7913125958431793,1.7821788908805356,1.4387089623363363,1.42394190371417
