1000	0.279500
2000	0.289000
3000	0.278500
4000	0.277000
5000	0.268000
6000	0.250000
7000	0.271500
8000	0.297000
9000	0.267000
10000	0.292500
11000	0.307500
12000	0.282500
13000	0.255000
14000	0.287500
15000	0.271000
16000	0.313000
17000	0.235500
18000	0.258000
19000	0.279500
20000	0.290000
21000	0.277000
22000	0.296000
23000	0.295500
24000	0.283500
25000	0.287500
26000	0.296000
27000	0.252000
28000	0.279500
29000	0.281500
30000	0.257500
31000	0.275000
32000	0.280000
33000	0.248000
34000	0.253500
35000	0.251000
36000	0.283000
37000	0.257500
38000	0.278000
39000	0.275500
40000	0.231000
41000	0.245000
42000	0.284500
43000	0.269500
44000	0.245000
45000	0.262000
46000	0.286000
47000	0.300000
48000	0.255000
49000	0.288500
50000	0.271000
51000	0.279500
52000	0.233000
53000	0.223500
54000	0.270500
55000	0.253500
56000	0.244500
57000	0.276500
58000	0.241500
59000	0.230500
60000	0.281000
61000	0.270500
62000	0.268500
63000	0.269500
64000	0.295500
65000	0.297000
66000	0.265500
67000	0.282500
68000	0.295500
69000	0.273500
70000	0.267500
71000	0.267500
72000	0.254000
73000	0.271500
74000	0.266000
75000	0.258500
76000	0.258500
77000	0.301000
78000	0.264500
79000	0.280500
80000	0.271000
81000	0.282500
82000	0.221500
83000	0.254000
84000	0.271000
85000	0.284000
86000	0.262000
87000	0.300500
88000	0.293000
89000	0.263500
90000	0.301500
91000	0.352000
92000	0.334500
93000	0.276500
94000	0.264000
95000	0.279500
96000	0.255000
97000	0.298000
98000	0.300000
99000	0.294500
100000	0.001500
