,Frequency,Signal Run 0,Background Run 0,Signal Run 1,Background Run 1,Signal Run 2,Background Run 2,Signal Run 3,Background Run 3,Signal Run 4,Background Run 4,Signal Run 5,Background Run 5,Signal Run 6,Background Run 6,Signal Run 7,Background Run 7,Signal Run 8,Background Run 8,Signal Run 9,Background Run 9,Signal Run 10,Background Run 10,Signal Run 11,Background Run 11,Signal Run 12,Background Run 12,Signal Run 13,Background Run 13,Signal Run 14,Background Run 14,Signal Run 15,Background Run 15,Signal Run 16,Background Run 16,Signal Run 17,Background Run 17,Signal Run 18,Background Run 18,Signal Run 19,Background Run 19,Signal Run 20,Background Run 20,Signal Run 21,Background Run 21,Signal Run 22,Background Run 22,Signal Run 23,Background Run 23,Signal Run 24,Background Run 24,Signal Run 25,Background Run 25,Signal Run 26,Background Run 26,Signal Run 27,Background Run 27,Signal Run 28,Background Run 28,Signal Run 29,Background Run 29,Signal Run 30,Background Run 30,Signal Run 31,Background Run 31,Signal Run 32,Background Run 32,Signal Run 33,Background Run 33,Signal Run 34,Background Run 34,Signal Run 35,Background Run 35
0,2.8,3.739144285812495,3.7319992561770166,3.3247572354134203,3.2928686085663372,3.191857703004449,3.181969036000629,3.1553559106034883,3.160128241236364,3.029774604633137,3.0193566389134587,2.781735200369428,2.7757698201067273,2.7914683395402577,2.801114771347127,2.632040551080085,2.630592889554557,2.559481870555323,2.5648197511565143,2.531011891458017,2.5460583898020297,2.4430794178097357,2.4411029768717376,2.340206275213283,2.3331448913792405,2.23992191077256,2.256169669224688,2.1585339422935625,2.1623223065490116,2.1277660756502375,2.113121072486406,1.9910773372622141,1.9926344007125474,1.9777398078396924,1.9798799447428719,1.880743064465551,1.8821367749861242,1.8589934228974045,1.8661876069891818,1.761525021106952,1.7619744352420836,1.7149752755080252,1.714665721970799,1.6887326733298913,1.6991487125894127,1.6568292891201315,1.6519471043037381,1.639799667085005,1.6506518825858711,1.569712205746764,1.5805567653269346,1.5514323231528555,1.552732690678771,1.4675099771352562,1.4700400049817977,1.460929069336167,1.4622639901198604,1.4422228705421247,1.4442844483275545,1.4357544184505393,1.427904418868947,1.4295110551064514,1.4160467901730176,1.4074152410606737,1.4061460561310168,1.3929343836017114,1.3964243718277554,1.394519744930474,1.3937190411816873,1.4050300442236618,1.4213363913952741,1.417889603524555,1.4078812094312056
1,2.804,3.8034141793970813,3.793625695709032,3.334159467408055,3.3210424677179415,3.242817152366107,3.216582668932609,3.0046842436681125,3.005487658983437,2.7450574452098704,2.739789218388729,2.7923998507460848,2.7929596358267936,2.8030237335295025,2.798352367267419,2.5986977915913507,2.5952369019534594,2.6113738997658618,2.61429875122352,2.435377608693134,2.427473624462484,2.4096244084317155,2.426537654151095,2.254945105050741,2.2512290849849594,2.254752128450656,2.246102384231312,2.2317203079364174,2.238415320864189,2.137136558664592,2.1407200194244593,2.0643743427307335,2.071457604686466,2.0060914094140068,1.9890003921854615,1.9318936154803592,1.9271498708457966,1.8458184256485561,1.8588915735103932,1.716525777049661,1.7393487629839435,1.706556080535163,1.7060572620325445,1.6831087166761576,1.69587157926488,1.649722148105418,1.6512937463156072,1.6814951917728918,1.6777369679451177,1.6238812957263258,1.6365969887173402,1.5439710929317962,1.5429108100212097,1.4739697981071607,1.4764993364693353,1.4377447948556519,1.445021106382,1.4343296811464012,1.4405493748486475,1.4236373483354159,1.416997961259427,1.3922461656914114,1.3933776729604437,1.4017697826670141,1.3909617131664898,1.3885857740822338,1.3841667630452517,1.376425345492344,1.3928407833369831,1.412924666980355,1.4214109506327124,1.3775368163799602,1.398476148827315
2,2.808,3.7158440703243816,3.7192562129915823,3.4243717165450995,3.4245289959380405,3.295412170807175,3.2783131095918985,3.116940659132614,3.125945467256133,2.896571312805297,2.9039494721376955,2.918329673626787,2.9195851446901973,2.778686241637097,2.783338995695112,2.5930094669203214,2.5984755789051293,2.630627074686798,2.623049261078789,2.433407317283871,2.435374944305066,2.4455660517456863,2.4589443473546844,2.2838613755490913,2.2888255812996245,2.244547799151369,2.2558832480305635,2.1678199076579263,2.1556499489144816,2.1038756857860292,2.1209672496621943,2.0061326157635873,2.0052174531550997,1.9672031035930406,1.9604002432828769,1.8368986080263414,1.8359688857256355,1.779847990643837,1.789323838635793,1.7635218350410302,1.759908974212587,1.7045596516727717,1.722940497418699,1.7392573289315878,1.7325060728031059,1.6827398041811346,1.6782447722555105,1.6337973783421162,1.6182044961330502,1.5841248987054584,1.5835397143485777,1.537318538544939,1.5372988548731932,1.4686157624420824,1.4780670421691269,1.4647651233713732,1.4438501590575779,1.4409542628497392,1.4433223886411735,1.419651108394464,1.428819624595025,1.4238672774541101,1.4187091973182995,1.4016003649678732,1.3927144319655411,1.3865420869091338,1.3912233058730736,1.4037206199600825,1.3995463320772272,1.3836149704818062,1.3967441586705782,1.4131215672602764,1.4174622565730406
3,2.812,3.612088780318152,3.619771082783912,3.4820265521227767,3.4595022448116017,3.245568455739886,3.2219360028861024,2.95400544015363,2.953712818063466,2.931285786206312,2.9345556236292643,2.8449921396379665,2.8436190845388656,2.768141089036808,2.7536896004741362,2.626851193701076,2.627641922616751,2.5869510761619203,2.5898350148583007,2.4544268081983764,2.457263980949229,2.3815638678168294,2.3759219759167616,2.29322327329582,2.289693139008045,2.259361005643544,2.258064281028189,2.240552795115822,2.2350799796569736,2.0969907999639554,2.0835251458154596,2.0000043839644643,1.9895882724983442,1.9341425985700247,1.9235940340678117,1.9145426391105376,1.913521908155817,1.777647155780407,1.791162677007598,1.730682783393647,1.737811949387033,1.6983619286627847,1.7173247518727444,1.756622728305711,1.7420265306110911,1.6884265174401294,1.6791437672200755,1.6695950494386063,1.6674358420302546,1.5904044982510577,1.5971922789159565,1.5196360363356693,1.5050749311761698,1.4786468522547722,1.4832513196370578,1.466512637188051,1.459571646257195,1.4391245176532503,1.4448642498153743,1.4079080731719205,1.4112876049385703,1.4242328609330408,1.3955974416981998,1.3953852016291268,1.4027180638082328,1.4064460329742614,1.4079198664279968,1.4183818581809646,1.4138390786736328,1.4180418901611822,1.42334034427895,1.4188672473507367,1.4041505595421022
4,2.816,3.6569996823965396,3.642488504579641,3.3544585862568566,3.355410067784962,3.1601769296962035,3.1757029514877892,3.053106203021542,3.062587071878963,2.912181830691495,2.917183730016026,2.893619067635769,2.893714523341764,2.7280210836475303,2.724570271998029,2.6424418730795987,2.6463009698474447,2.5478988532677724,2.533838764984623,2.518197180734157,2.511660914825393,2.3782565972391083,2.3821871817274047,2.3050997238248283,2.2982765985948848,2.2170198651887185,2.240868577793732,2.1934017989274626,2.189068422294001,2.099407879261003,2.0968262361231567,2.027482444004534,2.0067345100005793,2.0037005105299492,1.998489471205495,1.934649380004368,1.9408648547987923,1.8189565858109396,1.8163979304950049,1.7313074674667526,1.724914897518893,1.7373055694634627,1.7441857015391822,1.7171059701394293,1.7291469890122513,1.7349119560537611,1.7418652015307379,1.6162331296240589,1.611608068801603,1.599716250114389,1.5848135097111942,1.4988793756707737,1.5097853391053857,1.4779848429553324,1.4769746163887174,1.4865682958984503,1.4886676976415285,1.4408148293255245,1.4331625282281395,1.4190629172702223,1.4136545642916631,1.4000199900153159,1.415690270751456,1.3786750375068226,1.380477165723711,1.4048351164358954,1.401888037905573,1.4074618794732334,1.397707400859482,1.400568189910418,1.3866119451959138,1.415695688164853,1.4018187983469947
5,2.82,3.6682079212326673,3.676402489549876,3.3600354224874516,3.355781693524287,3.239770217226811,3.228482658260493,3.0546549911160965,3.051738446052029,2.8941561316680073,2.8895874503235763,3.009552024616461,3.0054028115549145,2.755545552898436,2.735803435681161,2.701695169141706,2.7034394293287884,2.53427040706785,2.5472772891754563,2.4984895694682843,2.5031547371375806,2.3386338560326685,2.3471353365912235,2.309617558552974,2.304612550893995,2.2263630021672047,2.215012540937047,2.1607766193404374,2.1402111877141508,2.1324593787417405,2.135244282108653,1.9754205936321538,1.9913424139412357,1.9482591715997044,1.9490723767082738,1.888946018604315,1.892482877203017,1.7718968444082703,1.7710759099546092,1.6897513367370012,1.6870273231751212,1.7081432333693036,1.7086669535051617,1.6887891286687768,1.6926917053493413,1.6894348813716682,1.688506573196806,1.6203279768788639,1.6261600458230216,1.563050378031964,1.5619379478763662,1.5399171863777477,1.5501462288537073,1.4815329322298523,1.4959356483633812,1.4571031768014262,1.4625244034236942,1.4477665430545181,1.4422843692506808,1.4174210007858323,1.4334926341103742,1.4082911009752719,1.413245952601335,1.4102291004814005,1.3963624263653571,1.381489709712561,1.3876773647676481,1.4183514091411344,1.4173034014480064,1.4068523197738096,1.405630540441246,1.4316178592871875,1.3934472636771762
6,2.824,3.777817079867711,3.7718627800212956,3.4117552133530253,3.3785966135182033,3.25184520262123,3.2501891258805182,3.022474337580513,3.0240886452262035,2.87836514961451,2.8780152940176835,2.815982079593658,2.8087341827603756,2.6452843997057784,2.6517863476954933,2.6566334034182284,2.6559858848637887,2.5647565147686326,2.56059032184163,2.5383801290574923,2.542393159487984,2.4550954070819824,2.4578269811428526,2.3271193049258954,2.333533359504388,2.298517592554359,2.293864857843109,2.1227364714891674,2.1154299313304135,2.112309435785341,2.1147570082516207,2.025273597436896,2.0146842279696924,2.0010121407064263,1.9891899972283191,1.9317906229634734,1.9122170632118043,1.7631807831524733,1.7605472364860093,1.7428081457942557,1.7306393553104775,1.7196769890536279,1.7194367613193673,1.6648597918487866,1.6635939207538384,1.6555039092358024,1.670492412028872,1.6217215879461064,1.6006704606334505,1.5570871853777537,1.5630732237863165,1.5112820212711515,1.5089955907417694,1.4992037661317432,1.5054578095792166,1.4784666272282334,1.4891631649889936,1.4293037315251524,1.4221802054581534,1.418034515403496,1.4092709032151762,1.4066163111285064,1.4123426421516474,1.3809441645026077,1.3895680348301283,1.3741084256343914,1.3717703031226172,1.4096477753019312,1.4030678344901981,1.4174997188300977,1.4066881613122135,1.4178962472087988,1.4068227364984771
7,2.828,3.740902302822487,3.7374525953985374,3.3313602053707667,3.340460007495875,3.1780745547146037,3.170639536870004,3.020334173795349,3.0164611584524716,2.995589183810052,2.9880835305311315,2.8243104605183538,2.8219897761330017,2.7973714010435238,2.786797769156459,2.5729201152251444,2.5891141880197925,2.5671031914599585,2.5872265930972898,2.515803434954564,2.522984981259244,2.4213605813638774,2.423820031146401,2.2810452383645874,2.2942816657208254,2.2548245871272745,2.2369340495515755,2.10223629043917,2.1175284284735745,2.0934457980264156,2.0912766336059634,1.993588441900653,1.9990504271435952,1.9306645950983878,1.9272492134444914,1.8763731684192062,1.8771551619077915,1.7971078423611466,1.7983384162556528,1.7390437843255506,1.7468228295349708,1.7371877428234634,1.7189327361423865,1.6943111549514953,1.6806386137281712,1.6666638337599722,1.6659457981274566,1.6270052876944414,1.6390907938782358,1.562152600570899,1.5665915113360664,1.5031583111620452,1.4980108923844204,1.4448717580703037,1.4450357441118287,1.4655660850978791,1.46915046944649,1.4420409903784805,1.4627405085276515,1.4139958011697458,1.4306908972578922,1.4031866397126649,1.39981686070862,1.3831454151353801,1.3810533097587192,1.4049164533177028,1.3981688755384585,1.4063115048975197,1.4073019600634142,1.4476861999794324,1.4324685473455432,1.4102306838306096,1.4064318658824122
8,2.832,3.727533711962979,3.7262992801841226,3.381891408504647,3.3712569527548055,3.230053717028153,3.224730710761053,3.0893490083289095,3.0950858623720228,2.8984180700623146,2.9005203719862735,2.7984618179367344,2.7939261009165444,2.7757964589048063,2.7747764292909096,2.6382679893472587,2.6362352655104746,2.5931395111047424,2.580038779790691,2.4301030740456655,2.425214793934578,2.3192778428755716,2.312985959624407,2.292657091430703,2.274837246938521,2.228222628129516,2.2376633741707534,2.1948484714026977,2.17512512953635,2.028630160820702,2.028086047875617,2.0374253718866244,2.0262678842643167,1.8934306163643793,1.9097603841690771,1.8812702339743577,1.8807395241716423,1.7445379927150537,1.7498987144307094,1.7131027525066234,1.7275430480986251,1.7059540648824805,1.7097643064146344,1.6969738799620449,1.7027665429563346,1.7010921493773248,1.7131540275263535,1.6369349561244322,1.6282210677833122,1.582597691893163,1.5840180392144019,1.5411997171785672,1.5295149155697731,1.4937818712469801,1.4897619920370104,1.4547055365128687,1.450742669574624,1.426603694733755,1.4216721912987649,1.4375458795097684,1.4347984588607037,1.3782452942594083,1.395003346099682,1.3975711065776306,1.3996269015501512,1.3933495099177813,1.3727159101344917,1.3994757255759616,1.392116002912175,1.426419393613834,1.4066234987097466,1.396577704036658,1.4053919928878298
9,2.836,3.728562277377946,3.7304946501023486,3.30512461978329,3.2886008511193934,3.260556975084943,3.247743349952212,3.1475644531212414,3.1414423397702014,2.9216990144570296,2.928147033105377,2.8733721712669067,2.8778012022090107,2.767809372286105,2.7375640511291865,2.6550229522599658,2.6374343566891016,2.581617765311191,2.5967437438437657,2.5099798643633418,2.4914693886337322,2.3849007207743016,2.402207453113961,2.2493289917162387,2.2705080579569046,2.2510383384810755,2.2623443751284706,2.1286553988128807,2.10626309075486,2.0968601738334307,2.0992006454900802,2.028114919856233,2.017303464381477,1.9832447826983044,1.979150283694161,1.8463747185651114,1.8394747118488806,1.8016196318485482,1.7997037257321662,1.7461555590051325,1.756790794485734,1.7170661272933405,1.7130943146314428,1.6391122996320076,1.6344515502476447,1.6274003464264488,1.6160142794711014,1.639972171810943,1.633191264696563,1.5880283016496497,1.5911355533260045,1.5094230939677602,1.5156687586533892,1.4805552397477078,1.4850597141709907,1.4560266284904857,1.4640830598077548,1.4302575138023403,1.4275482267184274,1.4175282074087152,1.4297317854218636,1.4083822912937538,1.403715299318374,1.3983193166997845,1.409715618250869,1.3976356991894507,1.3993902242926908,1.417066393418341,1.4090739231966851,1.3914624225326102,1.403161014576042,1.4037085019078541,1.3898848479685986
