,Frequency,Signal Run 0,Background Run 0,Signal Run 1,Background Run 1,Signal Run 2,Background Run 2,Signal Run 3,Background Run 3,Signal Run 4,Background Run 4,Signal Run 5,Background Run 5,Signal Run 6,Background Run 6,Signal Run 7,Background Run 7
0,3.088,1.2154787578722404,1.2211760841136878,1.1971658623334547,1.1878385825510396,1.2199873260755068,1.249670505544715,1.1941502678517208,1.2087232560672176,1.180291926959938,1.238308648290178,1.2034666210115943,1.1965805653948232,1.1411612237930049,1.209698052104629,1.2330348482951714,1.2043252418860433
1,3.08812,1.1987750336317824,1.2216848719567819,1.1910397205153729,1.1757112016474598,1.1857315711172478,1.2523537780441711,1.230532109061219,1.203223944366564,1.222412938031128,1.2180892723748724,1.169730280592091,1.217770065400474,1.1663601671370847,1.2038317499097393,1.206865473131971,1.204336167008137
2,3.08824,1.1716986295105984,1.2287908367528866,1.1935265343205184,1.1667140497120227,1.2209893002986192,1.223458625371093,1.157375828041781,1.1860101712285236,1.2317146175035214,1.2035899964818055,1.1928990558858117,1.1777285896316103,1.1954189763986152,1.1948636658305445,1.2092339106171797,1.1465855601439519
3,3.08836,1.1838678721276765,1.1953524614536133,1.1703043619685527,1.1556607981615006,1.2169289276250927,1.238793400367949,1.2339106456384281,1.1343279411035687,1.2229588875810105,1.1908129504978173,1.2054637100057826,1.205681098486493,1.1946959215292232,1.19378640200995,1.1886937591244287,1.1930355411351132
4,3.08848,1.235437658241891,1.201116935312178,1.184767389327319,1.2284510092462035,1.2390969776374203,1.2263493039163618,1.1639967243103528,1.2014458100853556,1.1514074036964947,1.1844100795157102,1.2033157611289953,1.1832819246822057,1.2140307607540195,1.1991245355001547,1.2066330969107584,1.1779444032622028
5,3.0886,1.171449384411577,1.1898959514202667,1.177427495596424,1.2006709086972314,1.2060818187406135,1.211787572349957,1.2546150729174301,1.2326378811124783,1.2111563393203575,1.1863646759562538,1.219807412649031,1.182204988500005,1.2092242299289,1.1785331564250727,1.191782146817555,1.1773525403840426
6,3.08872,1.181234553034409,1.2249943846080005,1.1893199901026656,1.2191661986395976,1.193958181619193,1.198388353888007,1.2377089656530087,1.2201931600355187,1.2277320061759183,1.2250418688198894,1.23762368776452,1.1457035303240422,1.1953949371171004,1.2320903397977945,1.183259732197575,1.1951987841533136
7,3.0888400000000003,1.214008281326856,1.2094294352956172,1.2055789639790164,1.1773000513314158,1.2040235287386958,1.1458222014860648,1.226542323132628,1.164148212865454,1.2069388786290889,1.235233382258706,1.2262415315464688,1.1898072457357056,1.1913264424250132,1.1856388055620164,1.1808222752375086,1.1775552338522741
8,3.08896,1.1805021222977066,1.2108055953993402,1.2400642913187876,1.2196434427024696,1.2429477668166864,1.2414570053778375,1.2236463498276948,1.239732581262324,1.170104769323063,1.1841052373570633,1.2235713820048095,1.2102571289377975,1.2015994837121016,1.218787340574333,1.2027188972828666,1.2199211211321932
9,3.08908,1.2193323571596033,1.2087507375647824,1.1616014375755412,1.1820641160151086,1.2104742048457007,1.1903069763017315,1.203477245491617,1.2119599820449825,1.2050592377240736,1.189067323891495,1.245931513862949,1.2147866120142246,1.210540102080275,1.195719147469923,1.1899203032809587,1.2138636605181323
