,Frequency,Signal Run 0,Background Run 0,Signal Run 1,Background Run 1,Signal Run 2,Background Run 2
0,2.8,2.3901654654926783,2.3981344312466217,2.403750439207947,2.4063491783705904,2.417248405972993,2.401896580273493
1,2.804,2.3532030591506334,2.358627570857918,2.444890045397699,2.461077659828991,2.31886679977882,2.333485739738492
2,2.808,2.3932058519787045,2.4028921126620633,2.459768759621967,2.453978055148965,2.451769925895762,2.447517685771497
3,2.812,2.357863050547097,2.344870369477568,2.4122325489436207,2.4505099597841857,2.3910145051498373,2.3801229849375884
4,2.816,2.308219703679029,2.3063646845885764,2.422139627938532,2.416891807530426,2.418374896292066,2.4276008849371857
5,2.82,2.3281249879819983,2.3190573203455793,2.450180534616007,2.4606177671540412,2.3607192820400424,2.3535900061966526
6,2.824,2.353717470587209,2.3736163204853247,2.4493886981624504,2.420720477081551,2.357921700910064,2.3640893247468138
7,2.828,2.3427216529284567,2.348464197760251,2.435569010289705,2.447904164361248,2.417647955624419,2.4162264656709325
8,2.832,2.344343644602883,2.34194296803527,2.435696285392087,2.4571310238654047,2.3102916034988086,2.3039838627280007
9,2.836,2.3591738043588357,2.3724851647444454,2.4530693064820954,2.441051929324949,2.38216946006421,2.3838123392949053
10,2.84,2.303035748272364,2.3061624585854577,2.3594459324562846,2.3625317527663543,2.348660112278716,2.331040807400963
11,2.844,2.25131738795066,2.236608203721132,2.3949273261190895,2.3785599675482842,2.3868066338453975,2.390190079522285
12,2.848,2.3168083467803444,2.3195552666192163,2.4600601411207843,2.4248983626481997,2.448509644148424,2.442026039215792
13,2.852,2.3670683652229476,2.3769018572710303,2.432989973240014,2.4008557735716973,2.3609574951435532,2.385907753034421
14,2.856,2.349360498319331,2.343658766512367,2.3920490539561428,2.375859208489511,2.4438256797806166,2.461586897702104
15,2.86,2.2923128930854966,2.297840806573923,2.381118418802901,2.40577184207577,2.40751477590367,2.40307819678626
16,2.864,2.296838639716244,2.3272831390679825,2.3921659831103823,2.3882933301038602,2.39204133430437,2.38159911675502
17,2.868,2.257300858035506,2.253477063425944,2.425309121304505,2.416340329646373,2.3440456376134913,2.3407842019438214
18,2.872,2.304268374812729,2.301377942496239,2.3993336306655846,2.4074353727028015,2.3548900740948673,2.339151428563035
