,Frequency,Signal Run 0,Background Run 0,Signal Run 1,Background Run 1,Signal Run 2,Background Run 2,Signal Run 3,Background Run 3,Signal Run 4,Background Run 4,Signal Run 5,Background Run 5,Signal Run 6,Background Run 6,Signal Run 7,Background Run 7,Signal Run 8,Background Run 8,Signal Run 9,Background Run 9,Signal Run 10,Background Run 10,Signal Run 11,Background Run 11,Signal Run 12,Background Run 12
0,3.25,1.0878057765754772,1.0920675236912836,1.0646492141661583,1.0616373723874712,1.0656765783958053,1.0655141784497681,1.0627275330591988,1.062275488554044,1.053001298805411,1.0520486133712217,1.041623305578615,1.0416188551386993,1.0507405155949339,1.05403670675813,1.063559830077756,1.0616119448208048,1.0398736458905162,1.0418894772424807,1.0455919536213012,1.0485120622882345,1.0710222043562994,1.0668122760667869,1.0576919607519442,1.0576931787379003,1.0633145543045601,1.0626854489123463
1,3.2502,1.0934556812872804,1.0907299421297036,1.0710490570881437,1.0704578653664847,1.0654933643983875,1.0671206650983904,1.0670710185788383,1.0709568521088808,1.068509777115525,1.0689164094944317,1.0695018337159319,1.0714910552107073,1.0571485871750606,1.0563727912816503,1.04650447463393,1.046911821868015,1.0442070576294729,1.049503430665426,1.0567666159177596,1.0580253762823775,1.0502655934952068,1.0524828188863262,1.0683972113485658,1.0684727052365932,1.0658062938171067,1.0646249277120778
2,3.2504,1.0876223094525839,1.092711483257568,1.0717620728048183,1.0676770471225305,1.0675344191154317,1.0674367475692441,1.0582722671035774,1.0591730116920355,1.0503433040595591,1.046917617137467,1.0457694244296467,1.0461731206498424,1.0672029303817276,1.0615927505048808,1.051087896582754,1.052343595941088,1.0628365039244998,1.063316503138699,1.0546778055278543,1.0525824213633235,1.0562923983746455,1.0566299540095483,1.0722872135989532,1.070797686975899,1.0705972929762324,1.0673801512321932
3,3.2506,1.0874739814995003,1.0903672589538176,1.0747834076900398,1.0694266749690367,1.065754397469878,1.065464550518905,1.0536458016008685,1.0528176754644933,1.0633420845564412,1.0604999372825419,1.0594945407268128,1.0587568040543653,1.0473454873586867,1.0473299012974635,1.0601160582421487,1.0611070563726173,1.0615775090135264,1.0616024653222917,1.050502110613762,1.0439288273509273,1.0526698168208826,1.052290389555001,1.055586127379393,1.0568559771673678,1.0682126218854349,1.0729839295477563
4,3.2508,1.0812412547558667,1.0828860006930805,1.0714433808396044,1.0694653572025983,1.0640222603115186,1.0596751227469101,1.0511787555948204,1.0577288311951367,1.0550782549916324,1.055114954245843,1.0534688342676024,1.0529666453215403,1.052318092948953,1.054339141214807,1.056020491985803,1.052346107475156,1.0375013277442147,1.041053540742015,1.061051657650384,1.0596611399839049,1.0523730975794974,1.0536229555005174,1.0663905292395777,1.0689102694177035,1.068022646369265,1.0661949164120352
5,3.251,1.0820361814357577,1.091929580537925,1.0758584197175212,1.075479057203037,1.0634857932195783,1.065951873470235,1.0690205880820214,1.0693181041323052,1.0601209035738932,1.0602558774526911,1.0689056313702157,1.0691982290966955,1.0689838246566319,1.0650462024093765,1.0551990146801005,1.0562683299935307,1.0513790228512043,1.048411831197965,1.0599770233940373,1.0598713435682143,1.0494446499253733,1.0511101524143576,1.0591165859954759,1.0558116972062492,1.0685368894832548,1.0656975522327383
6,3.2512,1.0788004738062842,1.0848268869062156,1.0702813498949877,1.067026964818664,1.053985203946764,1.0578181756515677,1.065870180319785,1.0681489680504932,1.0546710621269715,1.0570235313919039,1.061302452378308,1.0642346786011363,1.0558055116182563,1.0516804431349933,1.0555435208440307,1.0508133657593988,1.0621363259856347,1.0639321020956123,1.0435792297953135,1.042147809204907,1.0601384708413062,1.0601177160595474,1.0565069107968341,1.0545413651394249,1.067935020791188,1.0672231103876357
7,3.2514,1.09136059537856,1.0886803325641365,1.0692031201414556,1.0665421261086943,1.071018103218607,1.0704430746644238,1.0578020249716134,1.0599038750220462,1.0500907623369162,1.051458153461407,1.0597649169745178,1.0611515490232846,1.0514962098549077,1.0581246978352783,1.0448120814253228,1.0463806156715418,1.051693405109676,1.0540007883164944,1.0503023073442284,1.048943942738499,1.0492455203138424,1.0487054599971024,1.0511415099160923,1.0494836917948132,1.0691357164506765,1.0692569020323155
8,3.2516,1.0862306808449484,1.08779295447971,1.062664035553264,1.0658546889164573,1.0734252924296968,1.0714540296671122,1.0529188265839358,1.0585047363435052,1.0645677231972057,1.0624474138198596,1.0496308810634063,1.051834801685577,1.0588221287879398,1.0581619283031614,1.0563235376182551,1.06312410433846,1.0505969497826813,1.0493184190362081,1.0619540634511422,1.060712340702531,1.05900567493237,1.0579742633963594,1.044729502468561,1.0448461272647116,1.0749371369933787,1.0674488508270845
9,3.2518,1.0749405333785484,1.0744037355769607,1.0710210427286642,1.0724950446038337,1.0637289302469515,1.065904147558015,1.0614876701427232,1.0605796781771895,1.0626983293544545,1.0679418585465184,1.0650760622357,1.0632706981892552,1.0514356623057086,1.0486300607378467,1.0569389310439914,1.0617335372631869,1.0603264971534974,1.0605057152669264,1.0478246566219882,1.0501804011198714,1.0546767289785757,1.0532633947702275,1.0642874167282947,1.0629963931760338,1.0689526555502928,1.0717088186859216
10,3.252,1.0790306935308511,1.0796467010298287,1.0643299906115524,1.0639971970783848,1.0509000750976412,1.0515764997199064,1.0681141743944065,1.0685781165307064,1.070312218925469,1.0727865323115626,1.0483569566081286,1.0433038464334972,1.0590687677013386,1.052640176081741,1.0489959308989067,1.0518781533761015,1.0463568791152673,1.0439475818782982,1.0497578454929635,1.0469032496887685,1.0543757773095568,1.0544812712392124,1.0716633253600623,1.0675494058791364,1.0665156401791873,1.0674870494269173
11,3.2522,1.087782474383215,1.085974047353091,1.0755655282923027,1.0748430449609265,1.0701279920183107,1.065352126468547,1.0615605681762197,1.0611980403193249,1.0590868354398444,1.0645194978130508,1.0662813872927426,1.0648876163275367,1.0402063908143648,1.0395864820162921,1.049613810711287,1.0500946514691336,1.0462787210570867,1.0499626578059655,1.046953738610802,1.0436105123413395,1.0600049619206942,1.057868273058362,1.0555381216138415,1.058177657853498,1.0700038069558995,1.0676434056124833
