,Frequency,Signal Run 0,Background Run 0,Signal Run 1,Background Run 1,Signal Run 2,Background Run 2,Signal Run 3,Background Run 3,Signal Run 4,Background Run 4,Signal Run 5,Background Run 5,Signal Run 6,Background Run 6,Signal Run 7,Background Run 7,Signal Run 8,Background Run 8,Signal Run 9,Background Run 9,Signal Run 10,Background Run 10,Signal Run 11,Background Run 11,Signal Run 12,Background Run 12,Signal Run 13,Background Run 13,Signal Run 14,Background Run 14,Signal Run 15,Background Run 15,Signal Run 16,Background Run 16
0,3.25,0.9556885069348842,0.9396661748724713,0.9502530846974087,0.9431356654398202,0.9340314508626935,0.9619031200841491,0.944274068595993,0.9563318602286046,0.965224812749077,0.9293523765006421,0.9511704772906605,0.9427757322461373,0.9404911161631239,0.9555943071044536,0.9358638912619502,0.9591742712463072,0.9661440800867739,0.9321997867011758,0.9509233883107525,0.9481162367188651,0.9409188616641015,0.9544665263827512,0.9235016681972195,0.9687991234327932,0.931272618201375,0.9677733186690115,0.9587584912943088,0.9400637813919906,0.9508819404363379,0.9487468142968257,0.9524805713089972,0.9506052422007644,0.9461012348181957,0.9487740482802652
1,3.2502,0.943806033805862,0.9471089534760815,0.9438164623103459,0.9505654493480835,0.9579962347938664,0.9393757041404383,0.9331093399919413,0.9645460440313199,0.9550415357977233,0.9471734507071071,0.9628495935656303,0.9349636172944831,0.9352216039859675,0.9591352600961367,0.9481243266891781,0.9438898022396783,0.9480625800449967,0.9546655470625685,0.9533088222647426,0.9539094733142043,0.9289582068680627,0.9695719336291028,0.9631163578834514,0.9375029683489947,0.9463556316573546,0.9543765416124972,0.9578404718594488,0.9343778604997742,0.9620192490692582,0.936838506395854,0.9495907736289843,0.9585750574545209,0.950651753930224,0.9450958824357313
2,3.2504,0.9507435132902919,0.9424586766279123,0.9583148168300335,0.9424495890811341,0.955512851652014,0.9404095675337092,0.9410416418839826,0.9530950284344454,0.9617041623072575,0.9383551150532283,0.9417837541822978,0.9563660299052713,0.9526116860708689,0.9403165204038983,0.9702520773209086,0.9253583196898749,0.9394076547811306,0.957247847305319,0.9501595391330012,0.9452441523615349,0.943843295020239,0.9530360899462772,0.9465110232063928,0.9577397462696335,0.94292596207736,0.9509831353629855,0.943303485890792,0.9503165801453674,0.9507248991382603,0.9474641428270701,0.9533345624560657,0.947685054091593,0.9491428846849629,0.9487555612366899
3,3.2506,0.9501941442137118,0.9452944353526058,0.9416830547366771,0.9516482556342342,0.977389640746998,0.9302825440923147,0.9656744187321655,0.9342336227676489,0.9475868582053674,0.9494498797837286,0.9530835335165216,0.9443008365395766,0.9420140058603098,0.9582615633794042,0.9491001886253143,0.9425551903411064,0.9499673906875531,0.9490499353083108,0.952506056119936,0.9513643750282221,0.9484647118636731,0.9493336001389439,0.9542561683942651,0.9507370473158542,0.9425501001997131,0.949868284596454,0.9513450724087308,0.9454914286880243,0.9648183083581051,0.9473832214421356,0.9462989409033151,0.9462809525499668,0.946824324097191,0.9481725793895898
4,3.2508,0.9352200114780701,0.9544205494537235,0.9392428656708794,0.9559647061956376,0.9460210580545754,0.9590265391272628,0.9392022932004851,0.9530051984121768,0.9600980980158551,0.9372772104643063,0.9506474689938345,0.9442519879876043,0.920328743202786,0.977598872097388,0.9179735426819415,0.9790266894445733,0.9461704464145618,0.945727865795121,0.9499032397418891,0.9500747988075178,0.9528903539152569,0.9380527136030802,0.9317664525775637,0.9682183366496855,0.9470056636254809,0.9483359331112075,0.957140717458564,0.9465084262624952,0.9508301897416899,0.9535329221381867,0.9474016748267476,0.9512362234262993,0.9492493288332716,0.9469629060495447
5,3.251,0.9494560965679916,0.946429684254404,0.9625693944131115,0.9281944234424835,0.9411811604899892,0.9552999300987857,0.9620998299300539,0.9385236532327447,0.9411567073660024,0.9595098132084082,0.9539691298025941,0.941635829967244,0.9679421676281333,0.9334952626702878,0.9375604695183704,0.9580987424100967,0.9606140751377701,0.9305059886917566,0.9489356510663499,0.950495769350475,0.9402223845222867,0.9605143172887282,0.9486983977593589,0.948898355094084,0.9599834726755245,0.9409225179879815,0.9272354587011239,0.9740622025482651,0.9630872792320075,0.9328577857826995,0.9510027222858828,0.9448908712558918,0.9465078640221586,0.9497336996234405
6,3.2512,0.9504580417532398,0.9524156037472116,0.9716609928851947,0.9320942173101248,0.947012599842422,0.9491137446138391,0.9306663428593128,0.9667422342376103,0.9382447954419997,0.9518604263519834,0.9571848477678188,0.9431233928778802,0.923104971307947,0.9725674562048194,0.9476643482910458,0.9488590664415966,0.9371174537868968,0.9563591569369059,0.955172157344543,0.944847609334922,0.9315624351737475,0.9616178962572436,0.9542185321114852,0.9417516421058899,0.9541260806917294,0.9423562932520722,0.9452026451804785,0.9559789203234812,0.972296315056869,0.9323815970849857,0.9556977256375385,0.9423207167660003,0.9487628037364495,0.9472227073148786
7,3.2514,0.9548650353904045,0.9419609095922155,0.9523060369495244,0.940780904338861,0.948188699727978,0.9472075613712128,0.9551084392493211,0.9377343178765428,0.9329257485543787,0.9669994738404389,0.9476283397834594,0.951799896438963,0.9333992499703092,0.961325422785081,0.9283809478413867,0.9583742214249087,0.9420641057915842,0.9534672406155081,0.9447134313840079,0.9498355221038343,0.9425712136409806,0.9544600928520051,0.9450106192864154,0.9563501904493953,0.9534142347174882,0.9479866492602127,0.9528415035158568,0.9442059460769411,0.9608449252387372,0.9379638519763376,0.9434712737548865,0.9455452432031443,0.9434712737548865,0.9455452432031443
8,3.2516,0.9653027090774804,0.9390527537959562,0.9841758566435678,0.9080781470514794,0.943953799127147,0.9491883914595264,0.9387005260586595,0.9620649397982437,0.9400433208833469,0.9521794141426184,0.9464195667606243,0.9551225874478391,0.931159866155612,0.9689399870654232,0.9557794922397918,0.9422613158939408,0.9514653225302756,0.9441731225730892,0.9472162744081785,0.9416230528840189,0.9579640626714756,0.9429274641977429,0.9465507150607525,0.9498856514484594,0.9366839628726633,0.9611942424419907,0.9389628585726506,0.9545004775810517,0.9417873431173557,0.946983551501773,0.9466608445947288,0.9525073387720504,0.9466608445947288,0.9525073387720504
9,3.2518,0.9482738428461441,0.9518411882642991,0.9493023956049187,0.9471110146377165,0.9444636553399911,0.9512971255297558,0.9398725681726512,0.951056098454311,0.9718661038047185,0.9282617618155208,0.9550713675595828,0.939433862710671,0.9604661877443915,0.9364471487317518,0.9611403968403444,0.9379604162118321,0.9771824402192056,0.9142494988803783,0.9463162135031847,0.952165330150034,0.9522831096616478,0.9462858555775802,0.9552748242966507,0.9406500682975008,0.9407209039317378,0.9617287110521291,0.9402966597110457,0.9567607278747146,0.9654936079283641,0.9338873696221978,0.954325320224811,0.9516367309263304,0.954325320224811,0.9516367309263304
