,Frequency,Signal Run 0,Background Run 0,Signal Run 1,Background Run 1,Signal Run 2,Background Run 2,Signal Run 3,Background Run 3,Signal Run 4,Background Run 4,Signal Run 5,Background Run 5,Signal Run 6,Background Run 6,Signal Run 7,Background Run 7,Signal Run 8,Background Run 8,Signal Run 9,Background Run 9,Signal Run 10,Background Run 10,Signal Run 11,Background Run 11,Signal Run 12,Background Run 12,Signal Run 13,Background Run 13,Signal Run 14,Background Run 14,Signal Run 15,Background Run 15,Signal Run 16,Background Run 16,Signal Run 17,Background Run 17,Signal Run 18,Background Run 18,Signal Run 19,Background Run 19,Signal Run 20,Background Run 20,Signal Run 21,Background Run 21,Signal Run 22,Background Run 22,Signal Run 23,Background Run 23,Signal Run 24,Background Run 24,Signal Run 25,Background Run 25,Signal Run 26,Background Run 26,Signal Run 27,Background Run 27,Signal Run 28,Background Run 28,Signal Run 29,Background Run 29
0,3.02,1.4869539914579666,1.486423328287749,1.551270134536867,1.5502345757512321,1.517007210144111,1.5153964798639064,1.5202335119807358,1.5195936862593045,1.5322238833652446,1.533013163290863,1.5248753331115203,1.5265967873259652,1.536722495980523,1.5376290588266552,1.584571836522022,1.583108686113556,1.5419079404438736,1.542569629811806,1.5391746656707936,1.539198871871215,1.4989143750177085,1.4986634110040569,1.54020382102879,1.540970456291102,1.525152690243069,1.5242242636599364,1.4993244712535398,1.4987530476934654,1.492825644385262,1.4934512585967101,1.4893233890491135,1.4909967432626696,1.4508334327153003,1.4507381693853652,1.3685828130114703,1.3711279039892474,1.3995905373607425,1.40039699564267,1.40392095578578,1.402955985633122,1.3449559594331686,1.3454314949296573,1.338000803826516,1.3392974774013222,1.3623511882644694,1.3636138170484624,1.312554112812212,1.3133218410664032,1.3048499689790467,1.3047212855589299,1.2699606593179096,1.2703118839914618,1.2472691078843214,1.248377909844321,1.2670705904104371,1.2679377984014741,1.230780442781695,1.2307582668270205,1.2197206913489957,1.2230313237275285
1,3.0214,1.5118684591790323,1.5133408234901344,1.5184864463863974,1.5195238791976353,1.490910694113476,1.4900200604867442,1.5020141754810825,1.5031777931233172,1.4972091591859287,1.4985401902783888,1.5312517271871697,1.5321584462626883,1.5915672880721927,1.5905863884490967,1.5712285738627656,1.5702551704737544,1.5403868500466085,1.5432406882550367,1.5269077205797361,1.5284623861421132,1.4982305055797802,1.4992498227568827,1.5429691097309255,1.5420737910388993,1.5314945692468895,1.5296528644945047,1.49195468819118,1.4927175752504864,1.5078152405998986,1.5090413259923758,1.4648872650157172,1.4674664011577467,1.4497383744014019,1.4494383731219982,1.4090333143721059,1.4097527863176678,1.4023594186455957,1.4034996107371194,1.3899580155423128,1.389757338031323,1.3596696057876034,1.3594128635610176,1.3426672984872803,1.3434303416720785,1.3321185335739911,1.3344621660191052,1.2997399546415263,1.2986634797757792,1.3025866094311365,1.3036849480617039,1.2730603070546314,1.271965872782538,1.2542111444781268,1.2556817905881075,1.252110198393657,1.253720147436933,1.2101639134777198,1.2117805778171344,1.2100153955965487,1.2107621970589808
2,3.0228,1.5299208541582978,1.5324445502825785,1.5096233697964396,1.5124954795970458,1.546631905705749,1.5481687679738456,1.477625216243542,1.474992826280784,1.473446595079629,1.4746017796084765,1.5337404400392962,1.534482244338849,1.561428324156348,1.5619258794541602,1.5348102019599679,1.5325605829885747,1.5588865118841608,1.558182812863388,1.5234507561024893,1.523958150207909,1.539218703394624,1.5395379134863225,1.5245378510417782,1.525636658297141,1.4679469372768104,1.4696387191616036,1.5178267869812287,1.518019031470239,1.4965240432147784,1.4970542381186953,1.458327997831113,1.4569009226693106,1.4727235281861448,1.4737200446045138,1.4390087618332796,1.438440305494626,1.4156770683689197,1.4156603582482337,1.3887620705670898,1.3874029291506125,1.348988564185021,1.3491836195101936,1.3392122090729834,1.3407640632979991,1.3274136212352432,1.3269063834389114,1.3265759273155948,1.3265417261878591,1.3055967709604315,1.306220823375365,1.2601095023286393,1.26212705313927,1.2615471951613166,1.2631721365153932,1.2553791337408786,1.2547375903939322,1.2313693571100062,1.2317544705564483,1.2313806021803275,1.232545312619758
3,3.0242,1.5593915633779138,1.5587918731064232,1.4956449684769848,1.4954805222940668,1.4794146046405587,1.478232715492205,1.5093246181544824,1.5075951991123955,1.5277566567804501,1.5285988778805317,1.50887282322633,1.510295838008164,1.5427745233344803,1.542124234246623,1.5661668131289188,1.5671136677371023,1.5393528549934552,1.539767172255652,1.515914494551982,1.5168835250360484,1.5235502383352533,1.5234164012200753,1.4956327855612965,1.4962563697869604,1.4750707555700424,1.477052231725936,1.491506323197696,1.493665207771858,1.5305225713554909,1.5316002958763784,1.4610114554412734,1.4633119854804655,1.4170504219741373,1.418536997619708,1.4399996587835713,1.4410391218080336,1.4129739332675646,1.412736399751628,1.365049951105709,1.3658592203483497,1.3321097898913894,1.3311518475236777,1.349330729543219,1.348430882014226,1.3196195246654114,1.3195861045277815,1.3286887417064794,1.3283542271422852,1.2730381315956087,1.2751771821426494,1.2761202878600093,1.277235180361654,1.2538938080766207,1.2524945313535518,1.2442244310590027,1.2448898683331522,1.2249559535101604,1.2241137326475218,1.2146889172856992,1.2140297267975164
4,3.0256,1.5062185660954437,1.5056366793063012,1.5205392916460072,1.5204591768358455,1.542535740740471,1.5432091429142836,1.5240420133171548,1.524415101841922,1.4444682879209767,1.4442883809635432,1.5506256237787144,1.5527332848052835,1.5588320083846205,1.5579093600193696,1.5529389590853466,1.5546566654852354,1.5333486119951463,1.5350199360452543,1.5316177876603199,1.5297651509829622,1.5205908289338463,1.5238455537277065,1.5189777549874788,1.5191895204051638,1.493811384799084,1.4935421489654273,1.48093975191547,1.4800461511414238,1.4694355411558149,1.470719565318258,1.476877162949378,1.4788973691277751,1.4576972301405984,1.4580076949172058,1.4380035000646194,1.4369217152698246,1.4065634977999093,1.4059583417813004,1.3419895248062121,1.3413592255801063,1.3778517716670746,1.3784922219637996,1.3589691857205066,1.3599436820307091,1.323782216377113,1.3244676434303675,1.319654036504022,1.3213255163513855,1.310727087774466,1.310964308948902,1.2724707676171132,1.2716465061618953,1.2544307173966027,1.2537154620793767,1.2735830053032997,1.2736379769182862,1.2174434313545746,1.218322976680634,1.2220285604305163,1.2216322028049011
5,3.027,1.5125743441515438,1.5136442601688833,1.528567175546798,1.5288093941892706,1.5212453331314377,1.5205291405930603,1.4987806900615315,1.4995087514328937,1.4842258674558224,1.4853883916873873,1.556699047980217,1.5569746868253538,1.544596551566925,1.5443363734427102,1.5799459469619015,1.578228865291765,1.546184167649964,1.5472167591760297,1.5366208286578769,1.5347627260946843,1.5331916623369517,1.533064071966499,1.5144201105487145,1.5144188611526805,1.543453705033539,1.5430095595227717,1.516270559395331,1.5150062126802777,1.5069792671374302,1.5062896233843501,1.498542376466095,1.4978933366936649,1.460610880284226,1.462293916904166,1.4446004038989686,1.445770268081288,1.403303931384317,1.4045228327712262,1.41244795543106,1.4129630018559625,1.3696666268641469,1.369811083416708,1.3364665970209608,1.3379016365791754,1.3535540163282933,1.3552551684197265,1.298329433716759,1.2986142864329357,1.3057816757340908,1.3051748020105,1.2918279496804523,1.2918312292904206,1.2658596536010742,1.2655357585309728,1.2494567259839968,1.2490436581886106,1.24819690835147,1.2468824315542368,1.220301328489124,1.2205624435548512
6,3.0284,1.5029913267520045,1.5012923608514217,1.5211961397087157,1.5236489350038582,1.5116140591573217,1.514145251437693,1.5266601926971757,1.5287302170108374,1.507067034623391,1.5101905770928725,1.5490998502588218,1.5501999068916548,1.5336203471846832,1.5322660468949854,1.5363909460622642,1.5363098942254472,1.5325669859569542,1.5321359586915877,1.5485232719084965,1.5488235855024703,1.4517162617956734,1.451532294437879,1.5396739377904307,1.5389379120412727,1.5096858396167272,1.5113972992031313,1.4618856931445183,1.463986014267331,1.4856796464963418,1.4859342024728017,1.4964632934216484,1.4982533060514598,1.445220239215245,1.4449064952090735,1.3935889517453683,1.3945818760921151,1.393587857779134,1.392893841440791,1.3983661706005324,1.3984351974570064,1.337720482037724,1.3375438545825897,1.3405266860296883,1.3402690067433132,1.3529046642761606,1.3526975838898223,1.3151897815456641,1.316411181543432,1.315860684249213,1.3163562093862784,1.2914287812013607,1.2921315429201692,1.263102953440251,1.260778061385777,1.2726815960198548,1.2735514589523587,1.2060243344119537,1.207917106009776,1.2135073407181154,1.2157383749715527
7,3.0298,1.511233631182628,1.5117641383154414,1.5041376094033816,1.5051970619786257,1.5112720491117828,1.5116587243026498,1.5317975387178417,1.5311439701205674,1.4795774877999721,1.4809986285005685,1.5311196065419073,1.5331751071675719,1.5207907273787584,1.5193697428339628,1.5555048214764904,1.554711012793492,1.536189799711386,1.538153941262664,1.5455780743152467,1.545239655371197,1.4985448757064521,1.4989962049603593,1.5331316928869505,1.5349488790486858,1.4766435354743126,1.4765340607472746,1.525484080879772,1.5267196924648565,1.487111720060255,1.4876558141312464,1.459810826379796,1.4592620473925582,1.4369109393855435,1.4374494111589997,1.4251465504806369,1.4250765866898594,1.395824202744472,1.3961997899066885,1.40549498637343,1.406328305817342,1.2998441210340839,1.3009752551710858,1.3522414134785954,1.353416587511353,1.3472800706244392,1.3461984421434117,1.300128816488378,1.302078590025148,1.3069657507963053,1.3081887124407081,1.2363569364138993,1.2374630833435236,1.2591940363399894,1.2597259488940293,1.2275538303432842,1.2263421129068883,1.224772455053421,1.2227613072375412,1.2109352326908975,1.2115072806747929
8,3.0312,1.5205775530589936,1.521430237527098,1.5368010472110412,1.5389363503506432,1.5203431425750855,1.5198401212485846,1.5216487194869195,1.5222584044545517,1.5236748616751872,1.5243502940941918,1.5074359062881137,1.5076554803011177,1.541650729638605,1.5414281883500234,1.5524549919981614,1.5539384444109532,1.528041197262518,1.5281027279927961,1.5560603175848424,1.5565394452264807,1.4977098404039062,1.4981289987305781,1.5181444353322304,1.5189850947928267,1.4851358659930327,1.4873376971674575,1.5117416506385433,1.5140829410303458,1.4970025457713931,1.4973759466549275,1.4679559923446424,1.4703898909224526,1.4713693855202692,1.4728433115365562,1.4536082496834535,1.4537800357783286,1.420875319113551,1.420759129082914,1.404995088212288,1.4057693756014729,1.3495154813091226,1.3472514949752594,1.3247367236155578,1.3252797242522096,1.3386262619457627,1.3407451668034087,1.3048502815396532,1.3058041634321913,1.2785602781344265,1.2785760511817408,1.2813455554437567,1.2819933456359627,1.2752402736590136,1.2757290836006432,1.252698331541956,1.2546309264085551,1.2097567799390057,1.2082733279654998,1.2204746762054497,1.2206344373218496
9,3.0326,1.5085959332596812,1.5086783907535315,1.4946123782082257,1.4953705801605741,1.4926437044173475,1.494475258208664,1.5019709161787456,1.502135362434559,1.515573576357297,1.516703773618054,1.5314572488548566,1.5324981173136643,1.5433548492516815,1.5450072768047238,1.5643132399707578,1.5629736196581643,1.5430042503956356,1.543108883791262,1.543131995673863,1.5438043044557208,1.4973859455989038,1.4989670038132048,1.5113114038235456,1.5099407056793195,1.5168702503147329,1.5176500037615204,1.5091867195996251,1.508908425864765,1.495035437521026,1.4951077438868314,1.4724969266726964,1.4735143697061934,1.4628419158186878,1.4618539887172026,1.3955813617353514,1.3956371142034258,1.3897354741264898,1.3896344327240404,1.3916365223434637,1.3927400145879814,1.3624881484593276,1.3631943460662366,1.3409366303079033,1.3433113404962076,1.3360689904866214,1.336394134936752,1.3150625030870446,1.317046477697124,1.3032347101893642,1.3034755231836261,1.2771367938278009,1.2785573095785197,1.2534971376806523,1.252972565100857,1.2256284196385157,1.2235616754310565,1.2389885435121537,1.240103435957642,1.2158028729385155,1.2160207290436968
