,Frequency,Signal Run 0,Background Run 0,Signal Run 1,Background Run 1,Signal Run 2,Background Run 2,Signal Run 3,Background Run 3,Signal Run 4,Background Run 4,Signal Run 5,Background Run 5,Signal Run 6,Background Run 6,Signal Run 7,Background Run 7,Signal Run 8,Background Run 8,Signal Run 9,Background Run 9,Signal Run 10,Background Run 10,Signal Run 11,Background Run 11
0,3.035,1.8643595370970418,1.863007422666885,1.8394759770007036,1.8405802507985938,1.8735233974378624,1.8721625374790525,1.8619353198133126,1.8602732091732492,1.812601570117569,1.8095745392088116,1.7194712266187075,1.7211256848033158,1.7087269274332784,1.7094159464682857,1.7175216048386286,1.7183883446967365,1.710883940488508,1.710479149511387,1.7142668797616178,1.7132191396594707,1.7582597853036304,1.7568592585277503,1.734427562983189,1.7333737323944782
1,3.0361000000000002,1.8570695478006094,1.8582080226643065,1.8648406949431833,1.8651189890609,1.8979518828124926,1.8984852013693276,1.8577579469845407,1.8567017733053943,1.803609024986601,1.801417344220356,1.7090202203290892,1.708623862607422,1.7388348198442765,1.7398842778860835,1.7097943459010578,1.7094737303576972,1.682054454138894,1.6831709086712099,1.7041977053277242,1.706053465756525,1.7771234821538082,1.7767711641349473,1.752903958134829,1.7524298280259674
2,3.0372000000000003,1.8560038495263462,1.8558957802843428,1.79071381591723,1.7895516036970671,1.806725543837199,1.8080976478974076,1.869073976420687,1.8700344179158948,1.7858852094768713,1.7847397071276636,1.713508367552275,1.7135625583488334,1.7125351172545442,1.7140377786994831,1.7361090376931434,1.7375058162778914,1.7005673915155175,1.7033470497624716,1.7425528971476205,1.744500329030497,1.772302222157562,1.7742804193853203,1.772302222157562,1.7742804193853203
3,3.0383,1.8391208492962037,1.8381174611078908,1.836278253968386,1.8371379663465806,1.841342511559173,1.8395599944931542,1.851623297862145,1.850746094428565,1.7976364852870201,1.799054502985768,1.7442151645370119,1.744102097984884,1.7200512358651499,1.7228110607617633,1.7347831591855696,1.734180657972903,1.703737473266112,1.7022649525789657,1.7497616746597724,1.7507144638432726,1.792748070692112,1.792315481442006,1.792748070692112,1.792315481442006
4,3.0394,1.8457767848500706,1.8461832937055924,1.8140923743947193,1.8146102323601472,1.8307001961280116,1.831435597577657,1.822376835270569,1.8229064054788944,1.8015261954091155,1.8031636312109136,1.7220566081867574,1.7218393768327733,1.7267129525317955,1.7277891154937215,1.7285534078158107,1.7275242517830796,1.7037043657603181,1.7024554796362108,1.7335406768244714,1.7317872073027654,1.751544191561605,1.750966208861939,1.751544191561605,1.750966208861939
5,3.0405,1.8999560017237005,1.899458758396486,1.8488491050550642,1.8487935088975391,1.844893803749542,1.8423423085507589,1.8345385277838964,1.8338226473133494,1.8196902531647772,1.8195676601111919,1.7211466095334345,1.721319801279482,1.7027381454241535,1.702726276626717,1.6790862989336068,1.6788240905799976,1.710280032330298,1.7109524975189148,1.7391797969850904,1.7386955158038673,1.7738698515278877,1.7753241004858036,1.7738698515278877,1.7753241004858036
6,3.0416000000000003,1.8735483853707047,1.8722668595306435,1.7871982874048706,1.7864393041199123,1.7855275822279744,1.7823436012771205,1.8890552240966358,1.8879665672333716,1.799838628638264,1.8016656539736438,1.7512993195436768,1.7529461254996614,1.720575028133193,1.7203320287006556,1.7291028118368899,1.7283952086455132,1.7195716392365432,1.7185381104704929,1.715961006328071,1.7160020787504187,1.7564700886046736,1.756619698682014,1.7564700886046736,1.756619698682014
7,3.0427,1.8632393359606343,1.863846366457366,1.8931054814892219,1.893903819667144,1.8431920274782705,1.845005934666344,1.8226840221339953,1.8247207831617838,1.7731349269114622,1.7728594441951027,1.7178334753783688,1.7189947506844474,1.5496819079295463,1.5486939807370754,1.7497341890334444,1.751018681975178,1.718322753936938,1.719387828922338,1.7700416705312247,1.7697828979259487,1.757483155255707,1.7592577077710176,1.757483155255707,1.7592577077710176
8,3.0438,1.8915152075899622,1.892840617085104,1.8551146287146858,1.8565382687512537,1.8506255312353912,1.8502533795118852,1.8355325442363646,1.8331105135089485,1.8010929826081856,1.8022088127650722,1.759936577356124,1.76037994208363,1.7375236191263188,1.738476564524256,1.6950177578579149,1.6963153690940531,1.794312420286207,1.796403215636627,1.7168472675111648,1.7187779892102768,1.7588916472363176,1.7586906573937702,1.7588916472363176,1.7586906573937702
9,3.0449,1.838186020411777,1.8372569686495117,1.8354010493973378,1.835413074330515,1.8746681188928849,1.877186350202388,1.8396846195266745,1.8418333540283638,1.7904972037275606,1.7896249978947427,1.7430798139992214,1.7433894979140045,1.7082879360976986,1.708427707615846,1.6794851564546611,1.679861056094993,1.69835494324951,1.6989665022015692,1.6639997194475014,1.6624211597980092,1.7809768053222181,1.782689671091227,1.7809768053222181,1.782689671091227
10,3.0460000000000003,1.845029832946379,1.8481405707459133,1.8612280258102634,1.8617235513660653,1.8352159871140412,1.8370633145877888,1.8865346520313475,1.8890958300081961,1.7720197119171894,1.7715754101229668,1.7432020933678556,1.7437855420486716,1.7341331820675912,1.7348585887650634,1.6853783618896383,1.6850041801935618,1.712417212078656,1.7122994604187591,1.7300844928273607,1.7315017297705335,1.7588958664777992,1.7610638094396769,1.7588958664777992,1.7610638094396769
11,3.0471,1.8544502768714817,1.8556640252140277,1.8763428818785013,1.8750685399142517,1.8465043771607454,1.8472619548577627,1.85745622342911,1.8573061447252177,1.8003299375803536,1.8007603402024097,1.7050160342199339,1.705294952739035,1.7248005036088705,1.7258424656251856,1.7126667683929422,1.7125313694827222,1.7298350896415546,1.7296754845046125,1.73542267764902,1.7362514683989674,1.7736206041851232,1.7750736038175314,1.7736206041851232,1.7750736038175314
12,3.0482,1.8639725488563312,1.864947670404845,1.880861328120584,1.8818489431489207,1.8681146266783781,1.8702210392322052,1.8458200438726644,1.8472966252826877,1.798224307182982,1.8001423793849316,1.7305020893153378,1.732511051769116,1.7221384403249154,1.7245406375880274,1.683983456797471,1.6849309362263605,1.754005577012297,1.7574770657833148,1.6529260613593992,1.65429582270286,1.7733160740085394,1.7759628325445656,1.7733160740085394,1.7759628325445656
