,Frequency,Signal Run 0,Background Run 0,Signal Run 1,Background Run 1,Signal Run 2,Background Run 2,Signal Run 3,Background Run 3
92,3.0340000000000003,1.5009095918435422,1.4996947505007574,1.546563346602833,1.545395200072774,1.5409198564451876,1.5418206410283746,1.5501247899932113,1.5513710211432392
93,3.036,1.5185253320184824,1.5153390094771044,1.5298582269912226,1.5310468316737715,1.5383291632548206,1.5394264088750693,1.5721751155399148,1.5716380492715705
94,3.0380000000000003,1.506692227854528,1.5069973826209841,1.5182454773614154,1.517016424923006,1.527069824565168,1.530232877833998,1.5944294009009519,1.5943773965342596
95,3.04,1.4847676197785955,1.4874563868302266,1.5511070933994033,1.5510236989881039,1.532740175681065,1.5333667269960451,1.5650537946729353,1.5633980875113718
96,3.042,1.517264264867028,1.5195974344695065,1.5373221840188038,1.5381252065173021,1.5261919971214108,1.5265680528825218,1.5640419734875672,1.5638701872026117
97,3.044,1.526396577820964,1.5265330697665402,1.5463971825988578,1.5466985894139347,1.5389208889416728,1.5395852331423026,1.5492677344646812,1.5500937139418465
98,3.0460000000000003,1.5053552630399085,1.5068485539493108,1.6027985162776912,1.6036950844935196,1.5490276989352665,1.5522176135820778,1.5272442669306043,1.528676027295226
99,3.048,1.4890104295021402,1.490336931666222,1.5383002763107267,1.537732756922552,1.527267222198714,1.5294574967618324,1.5612298326158414,1.561804067314546
100,3.05,1.5185234587959626,1.519671927921463,1.5626472251343069,1.565180291521897,1.5111980262880045,1.5116713754351923,1.54487422066452,1.5438800467670548
101,3.052,1.537693866361138,1.5410009077802105,1.5391029822842384,1.540546455353814,1.532971931182394,1.5353166574253474,1.5665556754371348,1.5679530784672953
102,3.0540000000000003,1.471070790776074,1.472585633119249,1.5247688277701463,1.5257080301250296,1.528507987201598,1.5294412550181886,1.598246335352776,1.5995049038588578
103,3.056,1.5243873044129512,1.5268683664154017,1.5469447121945072,1.547409315925034,1.5011881992001732,1.502409443196589,1.5332175856906896,1.535064443897768
104,3.058,1.517679520355515,1.5198012367192777,1.5252426451652645,1.526944265896383,1.5322985294320879,1.5341303955120538,1.5431280905600369,1.5436131523905436
105,3.06,1.5381904856234565,1.5416743108367361,1.5276696712368614,1.529897114106605,1.5525344813497823,1.5557637503837591,1.5988275977042299,1.6012902317913886
106,3.0620000000000003,1.517840061236283,1.522701455876038,1.5455237278234701,1.547032323462729,1.5333979616920042,1.535618689464397,1.5435753603868672,1.5470423192374751
107,3.064,1.4954958264097904,1.5010571718181824,1.5601731910889767,1.5644829958927784,1.5450891083006244,1.54916278508796,1.527307357759048,1.5313655737693899
108,3.066,1.5288906023137918,1.5344297717762665,1.519805296373663,1.5270448374056491,1.5332752120673954,1.5412912271456958,1.5857645019032283,1.588983620350418
109,3.068,1.5168483870764626,1.5213028042612413,1.5390937682491832,1.5446654210756872,1.561037431956872,1.566212570985084,1.5835150388101533,1.5890515538680396
110,3.07,1.5128481118385115,1.5195807272347601,1.5146862221106099,1.522803278498566,1.5345064509941782,1.5406481218106185,1.5572899945358263,1.5631561829146747
111,3.072,1.516078471490799,1.521657620281107,1.5381867371355218,1.547407754629477,1.5315208071663156,1.5399363030961024,1.5469176968524652,1.5570791660485233
112,3.074,1.4967839093722273,1.5062902478313662,1.5062185662455525,1.515663686340024,1.5252563863015143,1.534164127949873,1.5583831786699391,1.5677727030598534
113,3.076,1.4915837836262476,1.5003303582559013,1.5313212212531975,1.5408244365702772,1.5140360897824108,1.525274658461758,1.555958182210554,1.564804705894603
114,3.078,1.5331270083247812,1.5452082666885025,1.5316081040109397,1.5420099176320676,1.5146512401946695,1.525488922105033,1.5441069608853286,1.5555769729849962
115,3.08,1.4975052576941592,1.508515974953365,1.5085628231176593,1.5213309139170532,1.4608983933419564,1.4715485154529728,1.5440323117257067,1.5544458382085669
116,3.082,1.5008162007519406,1.512146596819709,1.5257002194703204,1.539042545014687,1.5306803029527072,1.540622354173256,1.5638448876868807,1.5784495305138166
117,3.084,1.5098627767919848,1.5247617979217234,1.515849996098406,1.53197026143943,1.5365638264398302,1.5516905428906271,1.5677759823713273,1.5820956162620257
118,3.086,1.5205767727938397,1.5335029072218285,1.518318720672726,1.5334832298565702,1.5159935157814572,1.5292663459533165,1.5569345530281504,1.573534727431716
119,3.088,1.4719737598483178,1.4873851720108646,1.5271747698809977,1.5401010604512626,1.4899080909274023,1.5048242904556988,1.559580372110608,1.5750590946122365
120,3.09,1.5354767309450479,1.5482064043931545,1.5186352759369333,1.5377508687545782,1.552767954414743,1.568761098600417,1.5785600986389878,1.5943773964414334
121,3.092,1.508414618349992,1.5260965766724626,1.540551296488903,1.5603306094687104,1.5294493758377847,1.5433094028075292,1.6191536622228295,1.6374537409029277
122,3.094,1.5278158449039465,1.5428146586326352,1.5244872518521888,1.5413796184714585,1.5536709248955944,1.570995724823746,1.558669125145199,1.575433901851242
123,3.096,1.5236804811977058,1.5399462965337938,1.482107119124998,1.497346432792454,1.5290759769286364,1.5413533840626592,1.536091101686617,1.5515567057075592
124,3.098,1.5194443894418732,1.536804639211134,1.500051752097609,1.5165212117411195,1.5440046698738659,1.5565522502821607,1.568521534171085,1.5847041119713656
125,3.1,1.5252398338552766,1.5370356148050037,1.5242350383814807,1.5415924773004117,1.516921005324607,1.5294938845879893,1.5394802872110598,1.5550310033336339
126,3.102,1.5235411786608064,1.5361423247421655,1.5265566517804787,1.5373621630766265,1.5268650909797767,1.538748326691949,1.5546860253202948,1.5659672286103614
127,3.104,1.5003629972054033,1.5121570599138943,1.4895543632023782,1.4962248230426944,1.5394748219627323,1.5520183417692328,1.55572345837535,1.5667451083912998
128,3.106,1.53715617576974,1.5462441368574482,1.53260836951557,1.5413337056171108,1.5013985566284054,1.511187405498685,1.5707638136268307,1.582840387482096
129,3.108,1.532401444804219,1.5387455109992407,1.5276376554543194,1.532660060719603,1.54015743829072,1.5460992123101425,1.5777199086469007,1.5847898503145899
130,3.11,1.5312865519607848,1.5353255590791381,1.526906002499512,1.5326130539944207,1.553694665312748,1.5576708924643605,1.5709530908602969,1.5771381768883779
131,3.112,1.5417096042160046,1.5483011988886244,1.5324728135436854,1.5358671537677466,1.5671186661447165,1.5714634530394538,1.5539228266710299,1.5559361614823481
