,Duration,Signal Run 0,Background Run 0,Signal Run 1,Background Run 1,Signal Run 2,Background Run 2,Signal Run 3,Background Run 3
0,1e-08,1.5915030390824092,1.5916045492399387,1.5744240490708488,1.5746386882773398,1.550602167664887,1.551728398394324,1.5688231292367798,1.5689175179695742
1,2.3355704697986577e-08,1.5740915352366565,1.5742222802314374,1.5839315756392038,1.5845596261272055,1.5414710088553358,1.541696829674761,1.5545107108388025,1.5558159115987764
2,3.671140939597315e-08,1.5944034159759943,1.595130103037932,1.5765683170397213,1.576601174937153,1.5394375597454157,1.5404920150122117,1.5255478024213949,1.5257781833879407
3,5.0067114093959735e-08,1.5854547247466608,1.585539181137487,1.5882733938982532,1.5874656860898932,1.516577246530237,1.5161918206248997,1.5473322973066268,1.5477244071650822
4,6.34228187919463e-08,1.575542972848086,1.5758301994380377,1.5850953480164023,1.585673424360673,1.553722305542167,1.5525019360780166,1.5410274902342982,1.5429501218778103
5,7.677852348993289e-08,1.5816342005937405,1.5826054489756802,1.5977061459036999,1.596347660143385,1.5417453054298613,1.5415662729553503,1.5606167435727998,1.5603441968130778
6,9.013422818791946e-08,1.598202139627927,1.5985915634936632,1.5993304341803063,1.6000132689298936,1.523574008526796,1.523717371988701,1.5725089760163122,1.571956823736458
7,1.0348993288590603e-07,1.5937377585798855,1.5935022552305314,1.5796326072413136,1.5796407904946783,1.5583345487382751,1.55814620852731,1.5587657625513747,1.559355020593837
8,1.1684563758389261e-07,1.5868481317460212,1.5876050532084331,1.585075920691594,1.586273427159693,1.556084772367976,1.5567717925148645,1.5506937485034913,1.5509882839684157
9,1.302013422818792e-07,1.5943168350827204,1.5935944583050317,1.5723341905873767,1.572751725042708,1.5357517146619126,1.5358243646296652,1.5535070418811483,1.5547553970346821
10,1.435570469798658e-07,1.5800360879539717,1.5813704611166792,1.5860193707278574,1.5862796737024858,1.54958681667657,1.5497473586717216,1.5442818085626393,1.5432598989514537
11,1.5691275167785235e-07,1.6039370534597737,1.6032943854254298,1.5615762485694404,1.5627793145347384,1.5535686356694218,1.5532165676195384,1.554064878101115,1.5541379653536123
12,1.7026845637583893e-07,1.5826457393363098,1.5831941435612251,1.5502460400483844,1.5518290973015738,1.5512248464426723,1.5525823950956654,1.5638823066166296,1.5638223376498845
13,1.8362416107382552e-07,1.5776128411421668,1.5787954176630818,1.5733200560992968,1.5739987054614168,1.5407837438362626,1.541577458775856,1.5370938963969956,1.5359034489516132
14,1.9697986577181207e-07,1.610666013468765,1.6101660217770863,1.575859619051161,1.5755011168219157,1.5565941977479147,1.5577457277764417,1.5509326837435533,1.55107311119183
15,2.1033557046979866e-07,1.590703888604325,1.591578749213023,1.567958264157367,1.567595014254559,1.5744888279304865,1.5749905062522949,1.5460294669941745,1.545793463928159
16,2.2369127516778524e-07,1.5955611296251595,1.5955280216953065,1.5700752332419676,1.5701357019369333,1.5626114012475354,1.5636055751241478,1.5650394594269956,1.5669911386647188
17,2.3704697986577183e-07,1.5938844956481701,1.5947840934420165,1.56572435642522,1.565075129284027,1.5166821304682796,1.5173163027766208,1.5160373398738989,1.5163178198662488
18,2.504026845637584e-07,1.63565941808186,1.6361341104667653,1.5778284141338952,1.577646383219367,1.526501619417202,1.5269918661545794,1.5374843846042605,1.5385603912515662
19,2.63758389261745e-07,1.580220555801963,1.5814395511212276,1.5759401400490323,1.5761812030001445,1.555896432209773,1.5561676670370925,1.529271751172881,1.5292325839618282
20,2.771140939597316e-07,1.6174304582532282,1.616969758717816,1.5614337603956414,1.5599740145009457,1.5553708910889248,1.5547092329249363,1.5361666254608175,1.5363403482111972
21,2.904697986577181e-07,1.591939314052949,1.5911920750034787,1.5400026448212545,1.5396493898495318,1.5481056453939017,1.5483554538617441,1.548350205290304,1.5501097962064723
22,3.038255033557047e-07,1.5922206686944362,1.5917709009932355,1.5791903987765095,1.5789611422037848,1.5212913742229832,1.5221563649059477,1.5541484601731093,1.555129828184345
23,3.171812080536913e-07,1.591897648625516,1.5920243331683748,1.589556981022463,1.5898982423052488,1.5694610502909776,1.5690943648062603,1.5611117407469355,1.5614819869525793
24,3.3053691275167786e-07,1.6140472047356358,1.6131271174856767,1.587794891327948,1.5877083110826884,1.5492840978696905,1.5499339496700602,1.5521929714349767,1.552898669405447
25,3.4389261744966444e-07,1.6151099686505705,1.61702010692965,1.573999142867822,1.5747323266575706,1.5153181500611546,1.5152396281821712,1.557340437442057,1.5577118081190926
26,3.57248322147651e-07,1.5923414183269307,1.593147689366326,1.5781625550234533,1.5773665911725796,1.537359258580679,1.5385685088724999,1.5523070997908357,1.550200125783526
27,3.706040268456376e-07,1.5777328401761512,1.5766676405935989,1.5904671364182554,1.590595507501099,1.5582054281747793,1.5585329465147129,1.5465550714730711,1.546691688376267
28,3.8395973154362414e-07,1.5897911728237384,1.589861386517844,1.5825343583261402,1.5825808967666883,1.544284244269428,1.5449703273038224,1.5602774189459065,1.5614007761547402
29,3.973154362416107e-07,1.5940950742351576,1.5953662300520983,1.5716241832297488,1.5721357315053073,1.5449304096568794,1.5452735448378008,1.5510936644340225,1.5506528296320539
30,4.106711409395973e-07,1.5793154587577476,1.5795565841626416,1.556354383882578,1.555598649344479,1.533141813439518,1.5336338715967561,1.5633055439728114,1.5634735822059185
31,4.240268456375839e-07,1.599428006466899,1.600701660968886,1.580835173574892,1.5802277373396423,1.5256626150469828,1.5261982133862486,1.5692399782200663,1.5694905988107777
