,Frequency,Signal Run 0,Background Run 0,Signal Run 1,Background Run 1,Signal Run 2,Background Run 2,Signal Run 3,Background Run 3,Signal Run 4,Background Run 4
0,3.0,3.7318124490455813,3.730934462649606,3.748802476117302,3.750457563057265,3.751709113393801,3.7511062967808524,3.7588776191759425,3.7639147196105682,3.7637582381497006,3.7583822487455287
1,3.004,3.7398826816504545,3.7351610433012383,3.747794242700058,3.7464265078708494,3.7440168106714844,3.7516100994738144,3.7648639225219784,3.763621748258405,3.758960388610226,3.756838039720171
2,3.008,3.735443085582797,3.731690949208544,3.7464024573698427,3.7471370801463304,3.750332631879663,3.7506462195435555,3.7624623422722263,3.7570310699386944,3.759452010939556,3.7644544432455023
3,3.012,3.729911549029345,3.7334238113449465,3.74588522282476,3.7484692096495174,3.747044942837787,3.7473369807632344,3.7620641104749226,3.7651034874772518,3.755772024478705,3.754733494952587
4,3.016,3.733976963672554,3.7345182483455295,3.750464748169179,3.7495021155458073,3.7482830589335627,3.749246626177404,3.7601107381263463,3.7642392441652914,3.7575211268993662,3.757669177003278
5,3.02,3.7380430005804026,3.736654963704835,3.7476602487683293,3.7492706731929983,3.748681604333833,3.7498684949029224,3.760243171445291,3.7612592116962498,3.7549365150135947,3.764372608972817
6,3.024,3.731749355668442,3.7348512019967393,3.7489080472580745,3.7455294690870984,3.7525986551591624,3.7477455224497445,3.764233622539011,3.7593711186941117,3.7617630120820413,3.7582263894286383
7,3.028,3.7350832702972965,3.733342913379797,3.751445495255187,3.7482140278687415,3.749591136975182,3.7502629785055435,3.763727633680224,3.764589065581306,3.7593148935988308,3.7568589675791197
8,3.032,3.7348315257722176,3.737395832868722,3.751037578036584,3.7473141777820764,3.7496001939971864,3.7494587045678065,3.7606573323841936,3.7601728952914684,3.7608035045159824,3.755923509043942
9,3.036,3.7354437098615016,3.7350086218352017,3.7454898019652316,3.752540557137428,3.752226346586385,3.7496601627560957,3.7577472654678026,3.7599633159719845,3.7573071743251374,3.759389855589
10,3.04,3.7345950831828048,3.737323996751213,3.7476090269514057,3.7543049649679316,3.75384020686687,3.7490632821324734,3.760928131081447,3.757672616531575,3.7608434842437184,3.7598012062852466
11,3.044,3.733456605215166,3.7335093911411805,3.7577450731853084,3.7513717817211134,3.750875164161193,3.749593322073395,3.7601179233721167,3.7612307892110284,3.7619685338670754,3.7572403335414593
12,3.048,3.734874001899254,3.7369457503066705,3.7452208779031833,3.7495926950200515,3.7532420752845774,3.7486160130651327,3.7641833362096464,3.7550005500532997,3.7554815477139307,3.758738001707029
13,3.052,3.7359762489779533,3.731792147921934,3.7449350860847437,3.7487834237628292,3.755099870331287,3.75036448971967,3.7601291680645965,3.7566884342547215,3.7548974736982723,3.7578369034170143
14,3.056,3.7372743324284956,3.733729589146013,3.752848524131066,3.748814969856534,3.7487887344996755,3.7518315475851614,3.7598771097075114,3.763353762066692,3.7541959585016857,3.7533145367600915
15,3.06,3.7333788324014217,3.730206711626877,3.7537855420165642,3.7507296120286977,3.7484673382631786,3.7513867754883172,3.76017726701477,3.7602300531743738,3.7560859257372106,3.7564466770922307
16,3.064,3.7334025703974993,3.7334341158362623,3.747072739453098,3.750894528450472,3.7513883391065934,3.7501402286400105,3.757889067568882,3.760382787766919,3.7554549999737,3.752462161420064
17,3.068,3.734797479937318,3.7316531552406778,3.749714508114005,3.745148102694876,3.7505362754350204,3.7546625961614617,3.7578650184610085,3.7590216107004615,3.760887836671918,3.75948667936486
18,3.072,3.733472222111602,3.7329512399875537,3.745280221277286,3.748040055321764,3.753277369728255,3.751283081409175,3.7638972331165594,3.7572497075160642,3.7531717961387208,3.758785166856811
19,3.076,3.7307242587062848,3.7316853279254976,3.744504369475333,3.752309738993775,3.751096301735708,3.751524519494973,3.7622908694143273,3.7621790526788557,3.7545885708793745,3.7521641895337052
20,3.08,3.740251555134733,3.7322737739893084,3.7475815408730515,3.748401431952865,3.753774925784585,3.7536365595931147,3.7562880144562767,3.7589756961460927,3.7552975816857246,3.7574617815051643
21,3.084,3.7305037472312326,3.7280831139189288,3.753740255523663,3.748629752596541,3.7488765037913874,3.750842055839679,3.7582879249119325,3.760742913328124,3.7588732459644616,3.7558035718810157
22,3.088,3.7269839913643072,3.7279769182125593,3.7510291458252194,3.751760021390563,3.750807699236231,3.752109843287358,3.761373215322244,3.763196029938463,3.757651996337825,3.7582732408821204
23,3.092,3.732132598779621,3.7297010340969723,3.7493952978140648,3.7450940678943563,3.7531921005874156,3.7506184205789728,3.7593002169324135,3.7568767734541653,3.7583894303153156,3.7576360659524273
24,3.096,3.729033876134258,3.7244281158613486,3.7489311599970416,3.7523981300386815,3.7495205459010053,3.7495214834632487,3.7604743024050222,3.763738564356517,3.756877081400332,3.758687716207976
25,3.1,3.729610768019021,3.727376289532853,3.7488324599493543,3.7478142336211366,3.7512743354102303,3.751940553946201,3.761322616457968,3.75820577899081,3.7551354763889586,3.7574902042258755
26,3.104,3.7228870314496127,3.728639704501707,3.748025375093257,3.744002127917699,3.7449094765470767,3.748079098893932,3.7578859436369947,3.759544779477099,3.7593348826886803,3.757966835145395
27,3.108,3.723300258280739,3.725764304528428,3.7505362720523023,3.7432078485052327,3.749681089108397,3.7495380369421962,3.7573593364418856,3.7572037919610715,3.754285912315268,3.7540363539182118
28,3.112,3.722064953879757,3.7268412518443403,3.750164276197499,3.751041951307481,3.7473372937066034,3.7481678038876276,3.758932904787991,3.759359562160047,3.7575358066830487,3.7580761542799372
29,3.116,3.722712434588825,3.7253026665952524,3.7519789696823556,3.748729388331263,3.750607801744877,3.7487834244291864,3.7589257224949453,3.7520480033516743,3.7564198178910173,3.7574533491149413
30,3.12,3.727321942906414,3.724474654902302,3.7453742362140323,3.7466882491409144,3.7508526757697664,3.74805817203774,3.758315096541584,3.7581570544523477,3.758088646856638,3.756916123811881
31,3.124,3.7226028025979607,3.7241938610427554,3.7439112371853724,3.7447823536268214,3.7486178856940553,3.7496342377028657,3.7581970341921727,3.7583285284538426,3.7570451202813446,3.757717276793228
32,3.128,3.7244165595910403,3.725774612019473,3.747646195044814,3.748070352488495,3.745617550742323,3.752100471019234,3.7559819199392646,3.7581358149109274,3.758668974489724,3.754855306052484
33,3.132,3.7247673172232916,3.723676626240128,3.742233661244279,3.7491288716605067,3.7537742992353067,3.7463687270543415,3.75841816980058,3.7619010684050647,3.7592130715888095,3.7552960185636013
34,3.136,3.72259530584613,3.727083938621448,3.748085656153102,3.746209431935317,3.7433202929833995,3.7486078901848843,3.760496788601032,3.7594135950942587,3.758750807576002,3.7551182970295267
35,3.14,3.7279291291779955,3.720804975520594,3.7464577428595667,3.745421711762186,3.750382605341549,3.7510144681276296,3.7579961978755825,3.7594245258228556,3.7581873470011598,3.7545251636307686
36,3.144,3.7247907410063217,3.722191451244491,3.7454810556116676,3.742636892189209,3.7517840726732694,3.747322300930584,3.7581529932531357,3.757810979991935,3.7546285487116005,3.756580983491057
37,3.148,3.7217654205784627,3.7241023442962686,3.7430207553380286,3.7459074010760567,3.7425450646244545,3.744593389689823,3.759012239690982,3.7600813769664923,3.7529946989677865,3.7564394934858556
