1000	3.874500
1990	4.315000
2980	4.112000
3970	4.431000
4960	4.215000
5950	4.300500
6940	4.304500
7930	4.311000
8920	4.389500
9910	4.530000
10900	4.943000
11890	9.736000
12880	15.696500
13870	19.865000
14860	25.296500
15850	31.938000
16840	37.026000
17830	44.712500
18820	47.137500
19810	53.051500
20800	57.313500
21790	63.594000
22780	67.992500
23770	73.725500
24760	80.112500
25750	79.179000
26740	87.607000
27730	97.645500
28720	101.802500
29710	105.476500
30700	107.651000
31690	113.946500
32680	114.453000
33670	108.202500
34660	113.029000
35650	111.891000
36640	119.542500
37630	118.829500
38620	112.051000
39610	110.781000
40600	120.366500
41590	104.941000
42580	103.700500
43570	114.648500
44560	118.658500
45550	111.949000
46540	110.253500
47530	116.423500
48520	117.977500
49510	115.631000
50500	115.761500
51490	112.697000
52480	112.630000
53470	112.122000
54460	109.174000
55450	105.294000
56440	105.277500
57430	114.544500
58420	117.132000
59410	110.747000
60400	111.263500
61390	109.110500
62380	112.267000
63370	111.392500
64360	115.081000
65350	116.514000
66340	119.755500
67330	112.923000
68320	113.652500
69310	117.274000
70300	115.994500
71290	121.671500
72280	125.664000
73270	125.921000
74260	134.578000
75250	142.212500
76240	146.169500
77230	145.271500
78220	159.871000
79210	164.647500
80200	162.348500
81190	173.722000
82180	177.988500
83170	178.649500
84160	185.294500
85150	195.582500
86140	200.968000
87130	178.641000
88120	213.605500
89110	199.101000
90100	219.554000
91090	226.235000
92080	221.966000
93070	227.947000
94060	221.395500
95050	224.481000
96040	211.603500
97030	222.672500
98020	229.440000
99010	222.386000
100000	214.983500
