,Frequency,Signal Run 0,Background Run 0,Signal Run 1,Background Run 1,Signal Run 2,Background Run 2,Signal Run 3,Background Run 3
68,3.144,737.0285,770.78,728.6517,770.4973,734.0813,763.27,737.8523,771.3068
69,3.152,731.7299,760.8981,740.4344,770.2156,735.1948,768.9335,734.5651,766.0377
70,3.16,735.9236,768.9538,735.3789,765.5678,736.0455,768.8664,735.1887,770.0747
71,3.168,737.8114,769.4306,732.4384,763.0918,734.6502,766.6987,736.404,762.6593
72,3.176,733.7077,764.0935,733.2846,769.8268,736.5159,767.727,739.3138,767.7899
73,3.184,733.4322,765.549,728.377,766.9098,728.1925,756.5292,735.7076,770.0946
74,3.192,731.3255,762.0859,735.8619,765.3963,738.2577,765.8259,727.8254,753.7957
75,3.2,734.5475,765.6458,734.4616,762.6126,735.518,762.472,732.2855,769.5915
76,3.208,737.3401,765.3143,736.8776,767.0294,740.2483,771.7267,732.1769,768.0629
77,3.216,737.1826,767.0666,735.1576,767.4341,737.331,766.8838,742.5394,771.0311
78,3.224,740.2634,770.0625,730.4129,759.2404,736.7035,766.5619,736.8156,766.964
79,3.232,737.2039,767.8219,734.4437,763.1484,734.4877,766.3997,731.6736,764.0066
80,3.24,738.5197,768.3495,733.0988,771.2822,737.996,767.9316,739.5461,770.9037
81,3.248,733.4728,760.4642,735.0325,767.0903,735.019,767.606,739.6836,770.0818
82,3.2560000000000002,734.6103,764.9179,737.0278,768.9119,735.6185,766.8649,732.2184,763.9168
83,3.2640000000000002,731.0221,764.573,735.5093,768.0349,732.4314,766.9286,735.0931,762.1605
84,3.272,736.2159,768.1976,734.3285,766.801,739.5553,769.9081,735.1258,768.8684
85,3.28,736.0806,769.258,738.7045,767.0706,738.5366,767.2346,736.0528,764.1247
86,3.288,722.6829,759.5542,734.2272,764.1445,735.5595,767.2054,736.9211,763.4776
87,3.296,732.9572,768.4658,736.7047,768.967,735.744,765.4275,735.7416,763.373
88,3.304,739.7982,770.2422,735.2767,766.0777,735.4677,770.5344,740.9697,770.1611
89,3.312,738.6235,770.6463,732.0983,763.8062,736.2242,766.1764,735.3655,760.9937
90,3.32,737.6672,769.0872,738.6798,779.9995,735.5817,769.5307,727.3341,762.7625
91,3.328,736.0921,767.1219,738.9911,768.7447,737.9632,769.4474,736.3266,769.586
92,3.336,738.2101,767.8717,737.1171,768.757,738.9902,770.0762,729.3858,755.8638
93,3.344,734.1299,767.6397,736.0542,764.8601,737.7885,770.2119,734.7622,760.2474
94,3.352,739.1299,768.4244,736.5878,768.5505,738.2989,769.8312,733.9547,768.6423
95,3.36,738.5886,767.1777,737.4778,766.4289,735.1294,766.256,738.9449,771.692
96,3.368,738.1552,769.3007,739.7155,771.9497,732.8509,759.8662,739.1552,771.3234
97,3.376,739.3359,768.6092,738.5882,769.4061,731.3483,766.4309,737.4186,766.1109
98,3.384,738.4405,772.2918,736.9959,766.6666,738.5749,768.1976,735.2352,770.6998
99,3.392,738.2731,768.9445,733.2203,763.5381,737.7264,764.8254,734.5609,766.9025
100,3.4,737.3085,768.0967,733.7292,767.276,737.1114,765.7646,737.0667,767.7375
101,3.408,736.1367,766.2898,737.3556,768.2929,738.5054,769.9729,736.4602,764.5174
102,3.416,738.3459,769.3102,737.1884,769.3917,742.6228,770.3012,737.8932,768.5233
103,3.424,738.2892,769.4319,733.0232,768.3853,734.2444,771.2199,735.1706,765.9894
104,3.432,736.2695,764.1294,739.2562,771.3771,737.8761,766.7423,740.2655,769.4681
105,3.44,734.7244,763.3654,741.2708,769.1349,732.7235,771.1221,733.5761,768.5625
106,3.448,738.73,767.913,738.5563,771.2087,736.6151,769.402,738.0847,769.9984
107,3.456,738.3661,772.2296,736.9888,768.6438,734.8035,767.0484,733.4689,768.9545
108,3.464,732.8485,774.7233,741.0822,771.5945,733.6696,762.2476,736.8354,762.9454
109,3.472,737.1741,770.1001,738.8458,769.1423,737.8138,765.041,741.0883,771.3425
110,3.48,739.6066,773.4474,742.2639,773.5215,733.1828,763.1233,736.8312,769.4999
111,3.488,731.5888,764.257,735.8105,765.8093,737.1482,777.5112,736.4329,769.4852
112,3.496,739.4034,770.7791,731.0707,763.6305,741.5997,769.3296,736.8785,766.5215
113,3.504,741.6881,770.2234,736.6061,769.2796,738.4492,772.2854,737.9085,767.9195
114,3.512,737.5056,767.5168,738.2967,770.323,740.9606,773.6304,735.8874,765.7285
