,Frequency,Signal Run 0,Background Run 0,Signal Run 1,Background Run 1,Signal Run 2,Background Run 2
88,3.304,747.8494,776.6345,744.8259,776.7411,744.0259,778.9499
89,3.312,745.4517,773.8038,747.6265,779.5549,745.1047,780.2408
90,3.32,743.5379,777.9858,746.9777,777.0761,745.8696,781.1259
91,3.328,742.1882,769.6348,744.3313,776.0841,747.5172,778.4174
92,3.336,742.8154,774.2695,746.9527,776.9169,736.0005,769.4359
93,3.344,739.9474,772.4814,746.8339,777.3286,748.4149,780.2392
94,3.352,750.1305,779.3233,748.3066,777.4489,746.4627,776.7069
95,3.36,745.8517,776.643,740.1917,775.6488,740.3351,771.0405
96,3.368,742.0016,776.8497,743.5619,775.2923,747.195,776.9071
97,3.376,749.7475,782.0222,746.3756,780.4248,743.1835,773.9796
98,3.384,747.6782,778.3947,747.0981,778.3963,746.4369,777.9278
99,3.392,745.1285,775.4929,746.3354,777.124,745.7246,776.7055
100,3.4,745.4026,777.5937,744.6541,774.0481,748.8399,781.4051
101,3.408,747.0067,780.2106,747.5497,779.2713,745.4308,780.6573
102,3.416,747.8575,776.5742,745.3074,779.6251,748.1602,779.5201
103,3.424,749.8232,780.0003,745.8964,779.3734,743.761,775.4028
104,3.432,745.6785,775.2643,747.626,778.7864,741.2963,773.3193
105,3.44,743.8499,781.6802,745.891,777.6546,741.2195,777.1093
106,3.448,747.9002,778.293,745.6502,778.0615,745.4946,777.9971
107,3.456,746.6538,775.5327,746.779,778.5212,738.8003,766.1927
108,3.464,744.3143,776.3784,745.5551,779.193,748.0048,772.4051
109,3.472,749.3112,780.8958,744.6248,775.0549,747.9032,779.7472
110,3.48,748.6557,779.9819,747.5848,779.0422,744.0206,775.646
111,3.488,742.9791,774.8174,748.0467,785.0628,745.9636,774.1809
112,3.496,749.016,780.5543,744.1639,776.9524,742.6899,774.9612
113,3.504,745.9285,776.5954,745.623,774.7048,747.0674,777.0402
114,3.512,746.0715,779.5279,748.0153,779.7298,748.7671,779.1549
115,3.52,746.2996,776.1848,747.3826,778.9329,746.0376,777.684
116,3.528,743.3927,777.7331,743.356,771.4832,747.973,779.0311
117,3.536,747.6426,779.4484,752.6447,782.6818,747.0904,778.9216
118,3.544,747.9528,778.9804,748.1289,779.4121,747.4197,778.0615
119,3.552,750.5581,783.5525,747.7107,779.1246,748.7139,780.2091
120,3.56,748.9647,778.5875,744.3169,772.1835,735.8793,756.2859
121,3.568,746.3689,776.7029,748.1861,776.4567,743.9807,776.9245
122,3.5759999999999996,742.4897,777.949,744.7877,776.4399,746.6836,778.2412
123,3.5839999999999996,747.5879,777.4851,747.054,777.4573,746.2606,777.0406
124,3.5919999999999996,746.6924,777.5871,744.2319,775.2817,742.6369,776.9437
125,3.5999999999999996,749.4008,781.1995,745.1085,778.1699,743.8786,777.1831
126,3.6079999999999997,746.9669,780.0316,748.2032,779.5661,662.423,608.6877
127,3.6159999999999997,746.5939,778.2375,746.0409,778.1259,0.1167,0.1297
128,3.6239999999999997,747.3591,777.8043,744.3695,776.6437,0.1187,0.051
129,3.6319999999999997,748.7488,780.5783,745.5385,775.4111,0.1033,0.1207
130,3.6399999999999997,749.5147,781.1425,743.7544,778.4556,0.1289,0.1218
131,3.6479999999999997,749.4744,778.1811,744.5607,772.5947,0.1028,0.0997
132,3.6559999999999997,746.1888,776.1409,744.6108,775.4984,0.1121,0.116
133,3.6639999999999997,749.6539,782.6568,747.6328,777.8517,0.0937,0.1228
134,3.6719999999999997,748.8161,779.7943,749.078,780.7473,0.1034,0.1092
135,3.6799999999999997,747.6107,779.1225,747.495,780.474,0.149,0.1357
136,3.6879999999999997,749.9024,779.3279,745.7437,780.0666,0.1139,0.1118
137,3.6959999999999997,748.5226,780.0924,744.837,776.5401,0.1044,0.1198
138,3.7039999999999997,748.2285,781.1418,747.3877,778.8619,0.1121,0.1068
139,3.7119999999999997,749.5276,780.4607,749.4085,778.7682,0.11,0.1171
140,3.7199999999999998,745.9898,777.4452,745.7519,779.4964,0.0945,0.1199
141,3.7279999999999998,748.9993,780.8308,748.7872,778.7641,0.1104,0.1201
142,3.7359999999999998,745.7365,781.2875,746.6993,778.9649,0.1345,0.103
143,3.7439999999999998,747.4388,776.3639,745.8664,777.0017,0.1052,0.0997
144,3.752,746.8263,777.7918,746.8986,777.9097,0.0909,0.1254
145,3.76,749.5792,781.2525,740.8306,773.3896,0.1057,0.0854
146,3.768,750.275,782.7477,743.0954,775.3217,0.0977,0.1257
147,3.776,746.5164,779.6523,748.8229,782.2798,0.1261,0.134
148,3.784,750.008,782.7182,747.4937,775.9283,0.0973,0.0861
149,3.792,748.8002,779.961,746.2394,777.7809,0.1154,0.0882
150,3.8,745.8832,780.7094,743.4375,772.4722,0.1194,0.1196
