,Duration,Signal Run 0,Background Run 0,Signal Run 1,Background Run 1,Signal Run 2,Background Run 2,Signal Run 3,Background Run 3,Signal Run 4,Background Run 4,Signal Run 5,Background Run 5,Signal Run 6,Background Run 6
0,10.0,0.21046540734009386,0.21037895209402005,0.20141303093170876,0.2014395796864369,0.19786883440583258,0.19780027614714094,0.19933460688509352,0.19934463294719199,0.20687876402603925,0.20667974205227205,0.2058615718388638,0.20591816754567943,0.22055780791263177,0.22077244680349603
1,13.9,0.211439777946045,0.21182451628214657,0.2028653416313498,0.2028418537911818,0.20232746381307293,0.20243565780468384,0.19544396471888753,0.19524812859388235,0.20578589225299393,0.20601905280369623,0.20741329980588238,0.20737104043247756,0.21928812142698506,0.21950513408763764
2,17.8,0.20527937326873374,0.20527993548067097,0.201889503036215,0.20169697770159692,0.1964419168422231,0.19625382670909097,0.19766700140881843,0.19760053581577897,0.2015743224617003,0.20172421361857265,0.2104656572288548,0.21052734404556608,0.2173782975863936,0.2174944562082901
3,21.7,0.20942322809085012,0.2096541710401081,0.19848832619717469,0.19863131467486483,0.20023676484666592,0.2003161924786097,0.2015202254388489,0.20154833588655297,0.20279990673721038,0.2028496934650818,0.20902290407745436,0.2095660916408002,0.21335003909940242,0.21327667082807844
4,25.6,0.21197771824128941,0.21187717654026214,0.20269286842038683,0.2025708690767171,0.19694671803588487,0.19691120516995766,0.19691679601778814,0.19676256335940537,0.2011428895134155,0.2013680854386803,0.21028231462250188,0.21041662009728157,0.21835451099197525,0.21846657798156374
5,29.5,0.2158016449771127,0.2159674653875089,0.20090254518976738,0.20093983838483487,0.19933644969177708,0.19942915170500433,0.19847939336529852,0.19851381304692065,0.2017931779136772,0.20185411511943935,0.20878424637960616,0.20873602134528282,0.21508795194771987,0.21511709311324562
6,33.4,0.20756722016420695,0.20732000439166887,0.19479907978991745,0.1948488040487772,0.1956823100592167,0.19591259709829983,0.1973968912413538,0.19729406946847233,0.20536436049319717,0.20534755669288032,0.20979035055664713,0.20967675311217535,0.22003542210410887,0.21993747280867437
7,37.3,0.2088663601329087,0.20882947298050963,0.19822699277210967,0.19812894977517823,0.19834608735240017,0.1983850984097663,0.1975585575297396,0.1975240441477078,0.20438955260366595,0.20417013493642053,0.2081107512666459,0.20839635341995608,0.2228672686796801,0.22291792995562493
8,41.2,0.21618569618597708,0.21612266631482527,0.19680104342011281,0.1969856665990799,0.1953223401583956,0.1953056612928598,0.20135374911079157,0.20163688379275752,0.20507666565948487,0.2052590400033101,0.2115115845256901,0.2113453893097413,0.22325216320197228,0.22320287621379545
9,45.1,0.21089596572550826,0.21096140060231364,0.20283926137302088,0.2029977730660915,0.19923712607629895,0.19924312297300958,0.19835836224823372,0.1984130214473269,0.20393734919980303,0.20394025394747525,0.2079762896439683,0.20774478448480782,0.21776553464952259,0.21787172967681234
10,49.0,0.21169527070950153,0.21159625946416621,0.19844306839662326,0.19822399430314358,0.19583001484540447,0.19563499080122382,0.20418450248030667,0.2043116554106001,0.20222814024744684,0.20202293397456547,0.21413141585106682,0.21427715290643545,0.21821158499729673,0.2182752707790679
11,52.9,0.21433755915947983,0.21442748135919118,0.19527464609984838,0.19525368820127634,0.19784397227737568,0.19792592984918966,0.20183437531206974,0.20197458398271348,0.19922194647704397,0.19918708952109906,0.2126560233637585,0.21260698624942934,0.216885771287033,0.21693421495969878
12,56.8,0.2109322594380256,0.21135963195257312,0.2038815655699643,0.20401658942184767,0.1997279969752287,0.19982819510802843,0.19837891410077924,0.19843847701672954,0.20404929125843543,0.2041274383069106,0.20790476415906314,0.20813586327762315,0.22133146996205855,0.22102703380483044
13,60.699999999999996,0.213022583615045,0.2131236562979102,0.1983425266902569,0.1982267116447258,0.1986791337329127,0.19873725989568072,0.19677883618035677,0.19661732603826426,0.1988458598794716,0.1986859426599217,0.20899573066067864,0.2084713771009955,0.22326568741128358,0.22347273648078508
14,64.6,0.21487384403436155,0.2148081592849046,0.2008355174023573,0.20080740695274915,0.19635171352664185,0.19643373356770463,0.1950838386414771,0.19513709232425594,0.2066943594701515,0.2066337033706438,0.2092174283727025,0.20886935855600855,0.2200823665465075,0.2199794198407033
15,68.5,0.20637558703710648,0.20626514420741077,0.19877320999811182,0.19867825915093956,0.19878304864143237,0.19895130529104135,0.19994535324391463,0.1996510680828061,0.20347290212174032,0.20341636888768103,0.2096660086847765,0.20975505634084257,0.2183087846819467,0.21819203261680367
16,72.4,0.21034803060528506,0.21042742700500758,0.20187972685678432,0.20183812339066712,0.19378310573076993,0.19375993022810736,0.1992518684402623,0.19920567360367403,0.20470410852806512,0.20488076707395675,0.21016890460929044,0.21026832189519037,0.2171444186814581,0.2175105728875632
17,76.3,0.2059616138185634,0.20611297296530023,0.19803293697213367,0.19806260910822965,0.19470809564514738,0.19473120867968632,0.1976895522341819,0.19776935467362886,0.2041858143172233,0.20421923451687882,0.21459804929219253,0.2146228177233892,0.22098836630908514,0.22105492560237944
18,80.2,0.21000555163061166,0.21007626502736299,0.2000745987935254,0.19989419218575644,0.19448599187067217,0.19432095230242866,0.20090267015057753,0.2008445752244595,0.20708699997839466,0.20714259619850195,0.21079620485619943,0.21081432048261187,0.2153856416281405,0.21547244044576272
19,84.1,0.21313708682175692,0.2132013348122573,0.20032868603761492,0.20034608328240566,0.19742550141311788,0.1974026694805403,0.20122028696707425,0.20137208338872106,0.20363925351301973,0.2034978891906739,0.20862370449229442,0.20863782218425414,0.21907598127048591,0.21927013077030205
20,88.0,0.21176223603899222,0.21164535904536483,0.20031897229300122,0.20016183488766873,0.2015474613505733,0.20125639327702394,0.1989022994375659,0.19890439210259764,0.19706309528758745,0.1970511951962205,0.21648750868673283,0.21665457845103178,0.2200864581768577,0.2203194313299307
21,91.89999999999999,0.21136625350905855,0.2112665551165088,0.20205357435834012,0.20189574980870192,0.1951946250327064,0.19529835258577777,0.20003818014955838,0.20007584815185495,0.19939370129201542,0.19948549752142108,0.21473032458439997,0.2147411002569674,0.2202068646161375,0.2203275209069173
22,95.8,0.20400309641178535,0.20389268481790424,0.19886132065847692,0.19866626538168794,0.1994156586653065,0.19942456030652617,0.20342149121412395,0.20347305826960346,0.20068756273360458,0.2007934454205662,0.21308339586166813,0.21277389982514597,0.21939066211582034,0.21931398305919128
23,99.7,0.20798719024745124,0.20774668974494562,0.20275161924454907,0.2024810405661119,0.19648904870680886,0.1965023855557732,0.20422292010305643,0.2041121961709191,0.20348339671966117,0.20352802986273905,0.21219660493691714,0.21227041048116865,0.21516085172805952,0.21480934619144967
24,103.6,0.21219776059294915,0.21198221592197133,0.19694959153476346,0.19662819541034965,0.1962021659827613,0.19628852752483375,0.2010809528486528,0.20125086488977564,0.20590692336145963,0.2059023319892649,0.21247583540454867,0.2126408749740069,0.2192209374868091,0.2190841020714025
25,107.5,0.2111273771679906,0.21119924621334313,0.201205888161316,0.20106449260709278,0.1946156747445239,0.19441196769971839,0.19862450573205637,0.19843582215934874,0.1983748537488678,0.19833721698018536,0.20948660153075466,0.20943921980690092,0.2233937773998202,0.22321046604112704
26,111.39999999999999,0.20898308093935247,0.2088236322320729,0.2023900252069017,0.20260919300244953,0.19880747349354885,0.19882649489611373,0.2019461924364062,0.20174585864320693,0.20617693981249013,0.2060899535903747,0.21255741813845253,0.2125008849031885,0.2188572507385034,0.21894948424438085
27,115.3,0.20935301447511473,0.20940708023605661,0.1965975862241323,0.19675403648426837,0.19668638404301345,0.19674076214056294,0.20149608168902355,0.20138504541755234,0.200705959495344,0.20081209205216233,0.21339217352897907,0.21353987831942742,0.217540057614367,0.2173436905151349
28,119.2,0.209430536804862,0.20951789783181748,0.20081808890642355,0.20084966630909692,0.19836076725083177,0.1985645055340758,0.1969746410758982,0.19687700411836767,0.20199026338215612,0.20186073668161206,0.21292532147406454,0.21271546136085953,0.2221161887375516,0.22220679808096566
29,123.1,0.2101044691860349,0.20988277144811526,0.2007264800776282,0.2009173500224624,0.1994191568977179,0.1996670910485972,0.20121694496204107,0.20131601867380883,0.20652875773696178,0.20640560273670572,0.21114249436746796,0.21116948039753405,0.21826096565532488,0.2181637659727157
30,127.0,0.20724398123029428,0.20706788488551284,0.20124755408904577,0.20120585692628706,0.19965197383380595,0.19966109411275726,0.20207956092799428,0.2019680873862933,0.20249909373202732,0.20253092100814674,0.2099075399040084,0.2099434900446673,0.21893239935616193,0.21907573140675932
31,130.89999999999998,0.20547458466007593,0.20559711498129773,0.20292293680375195,0.20290179150027035,0.19273199361294005,0.1926699944579536,0.20189809232996636,0.20181016909392124,0.19887871790410683,0.19881693738590836,0.21291342135910946,0.2127011874713293,0.22137981991671127,0.22147049173028482
32,134.8,0.20830558791098397,0.20833066867690944,0.19683955474980344,0.1972615238085114,0.19839631133762245,0.1982994239937955,0.20126142191676252,0.20125195806719934,0.20260753758300615,0.20273750155544407,0.2104902694889358,0.21090745977344194,0.22049015547061662,0.22048215960694123
33,138.7,0.2103153600034171,0.21063653749594072,0.19913358594553643,0.1990207068792482,0.19952119777378585,0.199656252861419,0.2033398147676443,0.20352787366369476,0.20699648432265613,0.2070432413676219,0.2039207328193394,0.20420433600801022,0.223111173663817,0.22319581734699886
34,142.6,0.207915414888576,0.20803313520029143,0.19867154386772473,0.19835926802361886,0.19853855022161726,0.1986783840846173,0.20099096818035295,0.20110756407393096,0.20361145539083358,0.20379667201314675,0.21136631598316735,0.21130509767308817,0.2229466963211764,0.22277134959302902
35,146.5,0.20718751045852074,0.20727043628332972,0.20291712730336298,0.2029607297334951,0.19978368689822273,0.19978577956329047,0.20166440083555986,0.2014656911989835,0.2048714281437556,0.20458576352148936,0.2090639141226608,0.2088602695399291,0.21963434846989766,0.21989593181098008
36,150.4,0.20570465307742725,0.20598813133155008,0.19614988049759485,0.19584129024291314,0.20080987442803158,0.20063590198803177,0.1998799183263397,0.19997677443653417,0.2039428463590559,0.20404613663761148,0.2104932992084675,0.2103187645553226,0.22304199074397807,0.22298986148002345
37,154.29999999999998,0.20827525986511258,0.20832895082097722,0.19287132774427682,0.19287332671047655,0.20052030559299006,0.2006086661031045,0.20235885380664098,0.2024487760044446,0.20505117886560512,0.20505477075794515,0.21277674213321351,0.2128621666620479,0.22235003641967868,0.22229334701488493
38,158.2,0.2090520764663168,0.20888104000379698,0.1937801385067479,0.19352071030480142,0.20092631413381987,0.20111715284162732,0.20232949403620995,0.20244796396128004,0.20560151897498044,0.20572333091963074,0.21644228213067748,0.21648026247163862,0.22300525976598506,0.22302927858068453
39,162.1,0.20773610145144839,0.2076731028155796,0.19348866438120718,0.19374743667291228,0.199850246187908,0.1997156596101745,0.20084541852400634,0.20122291061119457,0.20365758776613585,0.20360989370516058,0.21010581226036562,0.20979366134711877,0.2190102652955933,0.21887908320114893
40,166.0,0.2080248269975733,0.20814688881052662,0.19858424529627852,0.1983415584302547,0.19576829682352956,0.19573600104326497,0.20231190935470825,0.20181273026362068,0.20723504833590933,0.20692717646003447,0.21261520074140358,0.21251403436040558,0.22022647945495383,0.22046935372829685
41,169.9,0.20929488829059206,0.20941295217337075,0.19473857986664303,0.19473408219407728,0.2030480282967641,0.20323867960291978,0.20246732890347083,0.20264798538437317,0.2060973560496629,0.2062750765507169,0.21278839235408303,0.21261513829112336,0.22305011154041526,0.22309858644745145
42,173.79999999999998,0.21032294984468017,0.21041530828388713,0.19666127202582814,0.19675231864639517,0.19669778438747573,0.19673982512374696,0.19946403987748124,0.19924746448750252,0.20320860146457684,0.20313360903574545,0.21281881409471493,0.21299878343129336,0.2178662949689945,0.21765840258718694
43,177.7,0.2092116501552596,0.209281832571332,0.194041909246721,0.19404856205165044,0.19928631937129354,0.1990907955881844,0.20146822112575338,0.2015729169276431,0.19905793761434704,0.198897270782844,0.21224020739099525,0.21235367990174894,0.22722348240593587,0.22735956820911052
44,181.6,0.2084834958310675,0.20829387524140006,0.19583985349596775,0.19591347163891962,0.20092384667325996,0.20084872930902228,0.20166565016719828,0.2016968215326584,0.20221349159246305,0.20240361192631007,0.21528194526952266,0.21544261210029958,0.22445903845927145,0.2243743635386647
45,185.5,0.21209250255386577,0.21200117483092432,0.19813944431283353,0.1980491785407239,0.2029608546702189,0.20314179225270582,0.2018694509152079,0.20204367322553624,0.2038959644160083,0.20404010854610594,0.21530071681676968,0.2153492229563888,0.22449908021886816,0.22455976755463083
46,189.4,0.2031567220571512,0.203168872018536,0.20019897193506392,0.2002466659961506,0.19925046291803572,0.19939504432488833,0.20191751977802477,0.2016873576745816,0.2027187925016011,0.20272909966690977,0.21497326131750152,0.21495183490786693,0.2205330083079792,0.22081914144051262
