,Frequency,Signal Run 0,Background Run 0,Signal Run 1,Background Run 1,Signal Run 2,Background Run 2,Signal Run 3,Background Run 3
69,3.152,739.5463,771.1602,732.9931,767.4881,724.273,757.5549,738.3122,769.9153
70,3.16,736.4774,768.7047,735.2784,766.3673,738.056,769.7308,737.4246,769.333
71,3.168,734.1735,759.396,738.8184,769.0321,729.0192,761.6803,736.0305,768.032
72,3.176,730.0219,760.7842,734.2355,762.4258,731.9806,761.8226,739.4586,770.0879
73,3.184,736.7781,764.3395,739.9658,773.6744,732.8726,761.1408,739.8354,770.698
74,3.192,737.4011,770.4886,739.3403,769.9554,736.7075,765.8452,736.2577,765.0342
75,3.2,733.9534,764.8323,738.2529,769.475,738.9181,773.0396,735.5279,767.6125
76,3.208,736.377,767.0984,735.7357,767.1066,736.9334,766.2556,737.703,766.8514
77,3.216,740.0024,773.8998,738.2285,766.49,735.1253,763.4344,736.9588,767.8096
78,3.224,737.6508,768.122,739.6507,770.8217,734.3317,763.2797,737.8054,768.998
79,3.232,738.1221,769.1156,736.5388,767.3385,735.2577,768.7438,738.8644,769.5117
80,3.24,737.5572,768.3034,732.5741,764.3538,736.6564,769.7405,736.5755,768.6158
81,3.248,738.9561,769.4661,736.9318,768.9586,735.0021,770.2448,738.6119,769.1169
82,3.2560000000000002,739.3974,767.0938,737.1,769.2023,737.4575,769.687,737.7641,768.7155
83,3.2640000000000002,739.354,770.2935,739.6258,771.2428,729.527,758.694,737.1963,767.5812
84,3.272,739.6371,771.6021,737.9102,769.4148,738.2418,770.3605,737.7344,766.0035
85,3.28,739.5074,770.4345,736.3229,763.9345,721.348,758.7773,741.8534,770.9841
86,3.288,738.7816,768.3971,740.9735,769.2007,739.4324,768.7231,739.2807,769.9699
87,3.296,738.4012,768.9131,738.7406,771.7718,741.4471,769.9517,735.6389,767.2075
88,3.304,740.764,771.4585,739.0873,770.3885,735.1893,764.6148,738.6534,770.017
89,3.312,737.2565,770.6741,740.9466,771.8307,734.9725,766.4393,737.4992,769.7723
90,3.32,739.0442,769.6708,738.1047,771.045,738.5354,768.804,734.9689,763.5383
91,3.328,739.2904,771.2213,731.9533,762.96,738.0745,769.6844,728.5864,765.5592
92,3.336,741.7188,772.2238,740.3485,771.0961,739.3185,772.1936,734.8821,763.4054
93,3.344,734.9,764.5165,737.6213,766.3439,739.155,771.4829,736.0429,764.6465
94,3.352,740.9211,774.5863,737.2463,767.7498,738.3443,768.2764,737.6771,770.6079
95,3.36,741.7001,772.0594,741.9333,771.4816,739.938,771.8086,738.0551,765.2063
96,3.368,739.1239,771.8046,737.3256,767.8076,737.2123,771.4638,741.1906,772.3689
97,3.376,739.6678,770.427,737.1168,767.2102,737.0194,772.5324,740.0109,770.6844
98,3.384,740.1819,774.4331,739.2822,770.7793,734.6959,764.2919,737.3162,767.6356
99,3.392,739.1872,771.0543,739.8736,770.8302,733.8354,762.4481,737.9561,764.5749
100,3.4,739.5146,768.7258,732.859,764.1248,739.279,768.9545,732.5573,766.0007
101,3.408,739.4799,771.4948,740.0812,772.2902,738.8641,768.6254,736.9263,764.9963
102,3.416,738.7457,770.545,736.1931,765.1774,733.5692,768.4396,740.46,769.4105
103,3.424,742.3351,773.6414,737.9727,767.2145,734.4226,767.7419,726.9591,761.0483
104,3.432,740.0981,770.2472,741.1754,770.2623,736.1649,764.7319,739.6971,770.2418
105,3.44,741.2116,772.6227,739.575,768.8943,738.2029,771.4734,737.1377,767.2042
106,3.448,738.8273,769.4545,741.1522,771.1693,739.4321,770.0512,736.8818,767.6462
107,3.456,740.9099,772.3675,741.3222,770.3536,737.3668,770.0399,733.0031,765.7871
