,Frequency,Signal Run 0,Background Run 0,Signal Run 1,Background Run 1,Signal Run 2,Background Run 2,Signal Run 3,Background Run 3,Signal Run 4,Background Run 4,Signal Run 5,Background Run 5,Signal Run 6,Background Run 6,Signal Run 7,Background Run 7,Signal Run 8,Background Run 8,Signal Run 9,Background Run 9,Signal Run 10,Background Run 10,Signal Run 11,Background Run 11,Signal Run 12,Background Run 12,Signal Run 13,Background Run 13,Signal Run 14,Background Run 14,Signal Run 15,Background Run 15,Signal Run 16,Background Run 16,Signal Run 17,Background Run 17,Signal Run 18,Background Run 18,Signal Run 19,Background Run 19,Signal Run 20,Background Run 20,Signal Run 21,Background Run 21,Signal Run 22,Background Run 22,Signal Run 23,Background Run 23,Signal Run 24,Background Run 24,Signal Run 25,Background Run 25,Signal Run 26,Background Run 26,Signal Run 27,Background Run 27,Signal Run 28,Background Run 28,Signal Run 29,Background Run 29
0,3.2,2.4994705820332586,2.4994747048745305,2.4981865356146358,2.4981847240631723,2.4962727564310727,2.496272006823573,2.4949577887094625,2.494956570597279,2.4937648196106306,2.4937684739471786,2.492148572148312,2.4921467605968637,2.4904919083526695,2.490495937492945,2.4894060394324424,2.489407757282945,2.48914405161408,2.489140522212139,2.489172380530535,2.4891757849978915,2.4892965342713453,2.489297939785392,2.4886376605200566,2.4886395033051367,2.4877290113069974,2.4877290425406438,2.486664506204829,2.4866693786535063,2.4857441756111736,2.485746705536445,2.4850145888905506,2.4850169626475944,2.484687541390854,2.4846843867926838,2.484229437515857,2.484230436992505,2.483657580705276,2.4836593922566985,2.4825357931045384,2.4825392600391503,2.482114607399608,2.482115044670641,2.481843468126154,2.481847965771053,2.4811863747001834,2.4811828452982865,2.480521691499131,2.4805204109196843,2.4802299067869593,2.480228657441156,2.4795130633996756,2.4795084408202106,2.477859710402614,2.4778582736549457,2.4765929986995916,2.476590937279029,2.47610753415739,2.476107128120008,2.475971261764892,2.4759781331667585
1,3.201,2.499457401434656,2.49945993135998,2.4981594248099785,2.4981602056511254,2.4962495498322257,2.496254797084724,2.494949324391462,2.494954165606555,2.4937546062084848,2.4937549185449406,2.4921353915498576,2.492134329605906,2.4904748860158477,2.4904801957355898,2.489403884310904,2.4894000738061544,2.489141990193478,2.4891388668289314,2.489175972399766,2.4891778776521396,2.4892827914673297,2.489280886214955,2.4886266975105,2.4886295710058817,2.4877208280918994,2.487715612073116,2.4866586967467907,2.486658540578566,2.485729308396,2.485734867984867,2.4849986909651025,2.48500453165677,2.484686135876819,2.4846838245870697,2.484220629627897,2.4842260330485253,2.4836531455276565,2.4836475859388054,2.4825243303567603,2.4825303896839226,2.482117605829543,2.4821116089696726,2.4818380647055474,2.48184125053735,2.4811736001393365,2.481169602232764,2.480499140807393,2.4805007961905794,2.480224315964493,2.4802268458897423,2.479500476240731,2.4795020066893376,2.47784503058949,2.4778390649633053,2.47658294146594,2.4765798805687425,2.476097914194774,2.4760936976527197,2.4759711992976015,2.475968763073304
2,3.202,2.4994451578454333,2.4994453764809537,2.4981388418373207,2.498134312958662,2.4962345576822282,2.4962373687103527,2.494932020951709,2.4949317086152516,2.4937431122268667,2.493740207497815,2.492120524334538,2.4921136529324985,2.4904651411184373,2.490467608576433,2.4893982934883607,2.489399511600534,2.4891532655394983,2.4891542337825063,2.4891836246429087,2.489183124904581,2.4892734213736847,2.4892786373924802,2.488626385174045,2.488623886482409,2.4877056797738724,2.4877102086524574,2.486652012746684,2.486648795681211,2.485723311536099,2.485718782657528,2.485000939787563,2.4850029075072166,2.484684293091747,2.4846823878393867,2.4842145390670756,2.484213758225944,2.4836279712096077,2.483629251789064,2.482510525085597,2.4825077765248236,2.4821179493996395,2.482114326296801,2.4818378460700314,2.4818319741447454,2.4811572961765944,2.4811660728308693,2.480499359442908,2.480500889891516,2.4802286574411556,2.4802287823757374,2.4795000077360556,2.479497758913614,2.477828039486643,2.4778307568137503,2.476570635409858,2.4765741023444385,2.476089730979823,2.4760902619517853,2.475971105596669,2.4759736355219006
3,3.2030000000000003,2.4994335389291265,2.499433226592668,2.498113636285066,2.4981181651637225,2.4962245629155646,2.496217847681713,2.4949219324841287,2.4949243374748535,2.493736459460331,2.4937338046004465,2.4921026899228855,2.4921045951752676,2.4904566455668466,2.4904541156415583,2.4893907974134417,2.489393202404144,2.4891506106796313,2.4891519849600328,2.4891981482880596,2.4891969301758845,2.4892720783269264,2.489273952345657,2.4886103935475705,2.488610018743827,2.48769643461483,2.4876942170260072,2.486637176765134,2.486642954989529,2.485710068470483,2.4857097561340304,2.4849950678622497,2.484995598834219,2.4846794831103756,2.4846815757646095,2.484201327235137,2.484206230917439,2.4836207562375643,2.4836155714524573,2.482498437664918,2.4824937213844986,2.48211420136222,2.4821136703902535,2.4818359720513214,2.481833004855036,2.4811510494475746,2.481147769914839,2.480497391723268,2.4805007024896444,2.4802086991419654,2.480207231160649,2.479490981212646,2.4794940108762122,2.4778091743650994,2.477811485654822,2.476554237746296,2.4765549561201277,2.4760853582695437,2.4760874196901015,2.4759774460265715,2.475978226867693
4,3.204,2.4994222948165756,2.4994220137137617,2.4980873063215587,2.498092459873134,2.496207696746821,2.496205198055155,2.4949154358858103,2.4949137492689384,2.493724778076838,2.4937233100954903,2.4920866358290326,2.492088572315062,2.4904398418655442,2.4904362187626603,2.489376055132768,2.4893782102543076,2.4891565450722744,2.4891606991471225,2.4891991477647144,2.4892050821573575,2.48926133395288,2.489263083037028,2.4886088006316527,2.4886078948559347,2.4876815986332583,2.4876808490257702,2.4866305552323187,2.4866384885782398,2.4857034469376753,2.4857045713489074,2.4849879153574794,2.484986978348121,2.4846796080449574,2.484677640325305,2.4842054188426625,2.484210759796001,2.4836005168354616,2.4835990800877816,2.482498531365857,2.4824908791227904,2.4821154194743817,2.4821097349509644,2.4818325363503577,2.481829600387715,2.4811387121577613,2.481136963073635,2.4804791200409038,2.48047977594745,2.4802105731606696,2.4802085742073863,2.4794835163714852,2.4794899192687154,2.477782313430453,2.47778490582298,2.476547303877132,2.4765497713350784,2.4760754572041237,2.4760812666620673,2.4759810378957297,2.4759813502321792
5,3.205,2.499405647283269,2.499408458311406,2.4980887430692724,2.4980844952934276,2.4961848024844318,2.4961881757181814,2.494904504109793,2.494902567623757,2.4937041951043186,2.4937088489175285,2.492074142370783,2.4920749232119226,2.490424256276417,2.4904207581081175,2.4893707141793895,2.489370089506479,2.4891691946986945,2.489169725670668,2.4892137651108017,2.489221261185718,2.489247684849802,2.4892479347189655,2.488609612706435,2.488608269659681,2.487673290483578,2.487675070801367,2.486635271512769,2.486636958129619,2.4856956385263453,2.485698636956297,2.4849828242732976,2.484982105899458,2.4846723618392548,2.4846698943812777,2.484208354805315,2.4842054813099517,2.4835945199755805,2.4835935517325796,2.48248513213208,2.482484444991887,2.4821131706519313,2.48211279584819,2.481815514013761,2.4818131714903773,2.481126780905334,2.481123376438016,2.4804784016670682,2.480478307966132,2.4801925825811195,2.480198798076484,2.479482454427554,2.479480236838758,2.4777693827014464,2.4777686330939686,2.4765426188304014,2.476537434045351,2.4760798923816916,2.476072396306927,2.4759772273910583,2.475982162306944
6,3.206,2.499401461974709,2.499402336516795,2.498060757722533,2.498060570320659,2.4961737145401655,2.4961726838298537,2.4948922605206563,2.4948963208946036,2.4936974798704936,2.4936946688423793,2.4920600559966037,2.4920607119031644,2.4904184468183463,2.490417697210854,2.489362999468951,2.489366685039121,2.4891663524369556,2.4891651967920727,2.489230787447592,2.4892287884942808,2.4892443116160883,2.489246279335754,2.488598618463233,2.4886002426127987,2.4876601411188606,2.4876657944086777,2.4866272132322664,2.4866249956434423,2.4856893605636374,2.4856891731617656,2.484978045525571,2.4849805442171937,2.484677109353336,2.4846804513533796,2.484202420412719,2.4842046067678862,2.483586211825954,2.483583525732464,2.4824710145244664,2.482471326860919,2.4821224782781863,2.48212026068938,2.481818731079209,2.481816763359566,2.481110476942591,2.4811151619893574,2.480471405330571,2.480470280919349,2.4801852114408858,2.480192270244669,2.4794731780349846,2.479472209791988,2.477747987654665,2.4777508299163538,2.4765319056902073,2.4765290009612335,2.476069272942442,2.4760736456527224,2.4759907827929246,2.475988409035914
7,3.2070000000000003,2.4993886874135023,2.499387281899435,2.498038269497477,2.4980349587310107,2.4961586286892343,2.496159128427567,2.4948755817538193,2.494873489099554,2.4936942628049854,2.493690889571251,2.4920453137158716,2.4920445953420227,2.490406453098457,2.4904089830237464,2.489353879244468,2.4893571587772456,2.489173005203445,2.4891682264556856,2.489244780120771,2.4892438431114066,2.4892363782701343,2.489236753073881,2.4886055523325252,2.488603709547442,2.487660765791768,2.4876589542403353,2.486608816615146,2.4866090977179542,2.485677772881225,2.4856753366568913,2.4849828867405885,2.4849829179742344,2.4846664274466534,2.48466189856809,2.4842007650295224,2.4841982975715458,2.483573031227673,2.4835804648352338,2.4824713893282073,2.482474387758143,2.4821199483529295,2.482116106614574,2.4818017087426147,2.48180673735948,2.4811106955781077,2.481108759092111,2.48046141056415,2.480454882732332,2.480183493590408,2.480182150543671,2.479459185362015,2.479455812128352,2.4777386487948294,2.4777423031312864,2.476519537166836,2.4765195684004806,2.476064369260201,2.476062245372351,2.4759973730919884,2.4759978415966604
8,3.208,2.499373601562498,2.499373507861559,2.498010721421783,2.4980163747116926,2.4961429806326785,2.496147103473927,2.4948585906505274,2.49486283842635,2.4936847053094007,2.493682924991596,2.4920304465005536,2.4920278853416153,2.490380185602555,2.4903864323316633,2.489356534104336,2.4893553472258065,2.4891636351097994,2.4891628855023074,2.4892539628125427,2.489257804550938,2.4892293819335456,2.489229819204582,2.488597181715542,2.4885985872295873,2.487649084408384,2.4876474602588234,2.4866015704094218,2.4865981659420773,2.4856697146007334,2.485672556862457,2.4849722985348373,2.484972735805872,2.4846672082877865,2.484666302512073,2.4841931127864356,2.484198922244451,2.4835655039191753,2.483557227003193,2.4824717328983046,2.4824685783001432,2.482116606352899,2.4821154819416713,2.4817940877332023,2.48179589928462,2.4810944853163033,2.4810911433162772,2.4804545703958802,2.480451540732311,2.480186741889493,2.4801906773287707,2.479449908969446,2.4794493779974793,2.477721033019085,2.477720626981701,2.476504045278976,2.4765044825500033,2.4760614020639387,2.4760556238396405,2.4759899082508663,2.4759933127181575
9,3.209,2.499357235132007,2.499358140907741,2.4979923560379875,2.4979967287484155,2.496131705286538,2.496124740183519,2.4948459097903504,2.4948397879957804,2.4936720244492454,2.4936696506921723,2.492014829677742,2.4920137989674367,2.4903772808735196,2.4903786551539224,2.4893541915809227,2.4893509432817913,2.4891745356520727,2.489174254549263,2.489275201691477,2.4892783562896716,2.4892208863819727,2.4892236349427765,2.4885772546497407,2.488580815285323,2.487629563380001,2.4876339048567147,2.4865942305027633,2.4865967291943907,2.485663686507188,2.4856644673483204,2.484961554160861,2.484963553114158,2.484660305652181,2.484659962082083,2.484195798879928,2.4841891773471345,2.4835494498255337,2.4835454831525925,2.4824571155523705,2.4824558349729164,2.482111952539771,2.482108673007031,2.4817886843125954,2.4817911830042054,2.4810801803068485,2.4810744333161514,2.480451915536051,2.480451290863149,2.4801825565810565,2.4801859922820126,2.4794401640722006,2.4794378840161126,2.4777107571499024,2.4777060408695157,2.4765002660079456,2.4764981733537397,2.476049845615342,2.4760494083443145,2.47599481193311,2.475997654194791
