,Frequency,Signal Run 0,Background Run 0,Signal Run 1,Background Run 1,Signal Run 2,Background Run 2
0,3.2,2.4731438048372394,2.4731400567998723,2.472682796241391,2.4726756125031186,2.4722580186737013,2.472263640729747
1,3.201,2.4731328730615867,2.4731556736222258,2.4726802975498203,2.4726846702600738,2.4722639530661956,2.472267388767106
2,3.202,2.473136621098952,2.473135059416716,2.4726799852133765,2.4726896676432353,2.4722592680194895,2.4722633283933
3,3.2030000000000003,2.4731278756784327,2.4731344347438227,2.4726562476434037,2.4726765495124576,2.4722473992345146,2.4722558323185786
4,3.204,2.473114445211208,2.4731363087625042,2.4726643683910243,2.4726687411012844,2.4722336564308627,2.47225364596345
5,3.205,2.473120691940143,2.473110072500945,2.472677486521797,2.472672176802199,2.4722464622251783,2.4722364674588806
6,3.206,2.4731197549308073,2.4731244399775125,2.472657496989197,2.472669053437731,2.472249585589644,2.4722405278326915
7,3.2070000000000003,2.4730910199776672,2.473100390071085,2.4726434418490837,2.4726428171761863,2.472248336243855,2.4722292837206012
8,3.208,2.473099765398193,2.473113820538312,2.472654685961168,2.4726484392322345,2.472243651197158,2.4722364674588806
9,3.209,2.4730935186692458,2.473099140725294,2.4726468775499963,2.472659371007873,2.4722105435338007,2.472228659047712
10,3.21,2.4730882089496418,2.4730882089496466,2.472642817176191,2.472652187269594,2.472217102599184,2.472215228580504
11,3.2110000000000003,2.473090395304776,2.473101951753319,2.4726446911948714,2.472644378858426,2.472223974001013,2.4722174149356313
12,3.212,2.4730991407252967,2.473076964837552,2.4726615573630015,2.4726593710078695,2.4722405278326876,2.472224911010351
13,3.213,2.4731213166130384,2.473099140725295,2.472633134746331,2.472625013998715,2.47220710783289,2.4722089818515696
14,3.214,2.4730857102580703,2.473077901846887,2.472643129512634,2.4726218906342448,2.4722080448422274,2.4721980500759337
15,3.2150000000000003,2.4730957050243805,2.473090082968326,2.4726181425968856,2.4726309483912092,2.4721786852162366,2.4721918033470027
16,3.216,2.4730975790430603,2.4730785265197888,2.4726234523164865,2.4726353211014653,2.472192428019889,2.4721858689545106
17,3.217,2.4730716551179492,2.4730804005384655,2.472621890634246,2.4726190796062264,2.472168378113496,2.4721864936274045
18,3.218,2.4730647837161124,2.4730750908188646,2.472620016615563,2.472609709512818,2.4721724384873016,2.472174624842429
19,3.2190000000000003,2.4730644713796632,2.473082586893597,2.4726128328772847,2.4726109588586054,2.4721674411041574,2.472169939795732
20,3.22,2.4730600986694062,2.473058849323618,2.472607210821244,2.472616893251097,2.472164005403244,2.472177748206897
21,3.221,2.4730529149311233,2.473060098669402,2.4726059614754545,2.4725978407278344,2.4721636930667943,2.472156821664964
22,3.222,2.4730594739965146,2.4730472928750733,2.4725950296998143,2.47259596670915,2.4721590080200917,2.4721649424125838
