,Frequency,Signal Run 0,Background Run 0,Signal Run 1,Background Run 1,Signal Run 2,Background Run 2,Signal Run 3,Background Run 3,Signal Run 4,Background Run 4,Signal Run 5,Background Run 5,Signal Run 6,Background Run 6,Signal Run 7,Background Run 7,Signal Run 8,Background Run 8,Signal Run 9,Background Run 9,Signal Run 10,Background Run 10,Signal Run 11,Background Run 11,Signal Run 12,Background Run 12,Signal Run 13,Background Run 13,Signal Run 14,Background Run 14
14,3.214,1.0474903767458807,1.0526413587091639,1.0327438000050013,0.9925973565491794,1.0209556129913189,0.9782074741989069,0.9810588521616513,1.0064560070593132,0.9935611856003453,0.9874687621647034,0.9808170370781231,1.0016387238654865,0.9908391513476028,0.9910777115106028,0.9939116877147913,0.9824312823722449,0.9917836503614635,0.9847872032868065,0.9894583411083396,0.9836218129984958,1.0028897203024163,0.9662307899610291,0.9771164489981338,0.9950812002857848,0.9878201383661988,0.9830822839767539,0.9948972625878024,0.9710691868411917,0.9948972625878024,0.9710691868411917
15,3.2150000000000003,1.0634579269245805,1.0565728255894038,0.9908508007240702,1.028410538216629,0.9810612539926449,1.0144167326093478,0.988800407741953,1.0004226499873439,1.0058321464258277,0.9750671198286466,0.9996763797627766,0.9809588667305603,0.9823227165989001,0.9916347914361621,0.9848865550297394,0.9905056032848599,0.9967574436217878,0.9757185268468614,0.9905480169751856,0.9789660705760107,0.9829937696005185,0.9878507492794232,0.9778374443467023,0.9867388324589108,0.984031785328895,0.9885932321416474,0.9849942154030563,0.9829686846112007,0.9849942154030563,0.9829686846112007
16,3.216,1.0482609704748855,1.0548387979903104,1.0203177932111451,1.0045066618458156,1.0184471467939693,0.984363489384085,1.003276083783385,0.9859728953367581,0.9866281124361458,0.996568078061998,0.994383034600003,0.9806815765872052,0.9757128446098652,0.9983818410560771,0.9808066346005102,0.9914544794124773,0.9904623141719207,0.9814390225045189,0.9823467303606678,0.9860461607287839,0.9822220475119142,0.9854619718586488,0.9904081539811399,0.9789479875896879,0.9830055124233706,0.9852772258727244,0.972181385599263,0.9992189954161776,0.972181385599263,0.9992189954161776
17,3.217,1.0534597744579854,1.0584127024195866,0.9984564048522119,1.0250557435369678,0.9930550209115101,1.0119895434928086,0.9852002363250968,1.0014607894647638,0.9974690732475876,0.9860767137694493,0.985268696527292,0.991526097146529,0.9809276354652889,1.0009636731474714,0.9807114024389971,0.9934431201419338,0.9922090515415244,0.9835616889878096,0.9854314900081176,0.9847543130596054,0.9640034005738893,1.0081956219876886,0.984779547813768,0.9850007781037823,0.9741750875521242,0.9921753200303863,0.9823367347277951,0.9838818292372576,0.9823367347277951,0.9838818292372576
18,3.218,1.0493944369492416,1.0510780579756904,1.011997006249299,1.0072100203163319,0.9904295566892765,1.0126642210243542,0.9832953950097253,1.006596499177474,0.9991397247191232,0.9848574779379744,0.9942994545011101,0.9843773871945214,0.9959416858040817,0.9786377121215788,0.9788131527492846,0.9960550957819764,0.9850308242496755,0.9875883854389625,0.9957298595265187,0.9758209118439743,0.9776254617117178,0.9914371471618005,0.9735491985673854,0.9976137767336067,0.9955946782447005,0.9737557140111086,0.9902469584328001,0.97941795789471,0.9902469584328001,0.97941795789471
19,3.2190000000000003,1.0551729349471264,1.0513865492537606,1.0179578748900766,1.0030227213294634,0.9973940516410148,1.002924238552521,0.9918087021713925,0.999184702636776,0.9913844558546167,0.9922185487933691,0.9792629455341717,0.9941632103326212,0.9846540847018825,0.9869054635846549,0.9922366319213494,0.9830165991554668,0.9823712536220013,0.9924285314375234,0.9794817707757133,0.9946829096456479,0.9765151068972664,0.991407221485942,0.9868012677053559,0.9870025994774017,0.9844800457364463,0.9841313867455914,0.9827883132625819,0.985052562543129,0.9827883132625819,0.985052562543129
20,3.22,1.0527546416549622,1.054806565489095,0.9980018275801955,1.023777974737695,1.008340486972049,0.9933000146506278,0.9893205718434287,0.9956983777456746,1.0072560551954908,0.9740783585426478,0.9782097199565895,0.9989761853894732,0.9977053856401861,0.9767477046932236,0.9588293365937132,1.0145201746327632,0.9750286402502868,0.9983686610218431,0.9916994442417268,0.977246442332325,0.9858248735998737,0.9821152613970761,0.9771531162375889,0.9941251388966641,0.9763020964242043,0.991707252417447,0.9731895437012498,0.9956956591575079,0.9731895437012498,0.9956956591575079
21,3.221,1.0490797607774367,1.0536566657367923,0.9937237929285205,1.0257568407812614,0.9790074255705891,1.0185098600314004,0.9907407325706694,0.9991373223642434,1.0032298283963281,0.9795554834178969,0.9989930521101079,0.9782431410760771,0.9772222071630134,0.9975634612418498,0.9890948770887693,0.9880071365983184,0.9775417586308512,0.995814847319577,0.9776154669496296,0.9938933845830797,0.988338241426853,0.9800511885723132,0.9858065100048973,0.9839197196008552,0.9828498746883346,0.9837291000024597,0.9786889077144991,0.9912447476562855,0.9786889077144991,0.9912447476562855
22,3.222,1.0580740352924258,1.0524040430609358,0.9781698102175688,1.035837018126523,0.977294080933018,1.0241673645429783,0.9905820977924019,0.9972483449259091,0.9730843806301099,1.0060066496860585,0.9936709694441245,0.9805040737503392,0.9824690135647192,0.9950511218588577,0.9852138511880476,0.9840156056473225,0.9794692452037663,0.9969537154087539,0.9775737404936901,0.9951738998537656,1.0003470556217378,0.9650716821687313,0.9872065239453499,0.9793687335134231,0.9798871496930158,0.9881084867713337,0.9899392763460332,0.9769584085776217,0.9899392763460332,0.9769584085776217
23,3.2230000000000003,1.0469494107700081,1.0520033789119028,1.0165896576133215,0.999094190901595,0.991951438754814,1.0062399946859575,0.989287089435146,0.9965034548722004,0.9940808838047782,0.9842731298153913,0.9952357737753394,0.9819073080110017,0.9887705137400601,0.9904288651626212,0.9950480914044336,0.9825140834400443,0.9878529955560295,0.9868372497984222,0.9732108144577,0.998006256925161,0.9880096912455596,0.9773719059573772,0.9804293340298013,0.9846346860861162,0.9730307177861676,0.9933595090371015,0.9776599780714252,0.9932364490735952,0.9776599780714252,0.9932364490735952
