,Frequency,Signal Run 0,Background Run 0,Signal Run 1,Background Run 1,Signal Run 2,Background Run 2,Signal Run 3,Background Run 3
70,3.16,743.2602,773.907,744.1095,776.6192,739.948,767.3688,746.3912,777.1603
71,3.168,741.8525,775.7581,744.7495,775.9371,743.9833,774.2172,744.107,775.2655
72,3.176,735.4432,766.8429,745.635,778.219,745.1105,777.2754,745.2288,778.8784
73,3.184,743.8236,774.6654,742.1671,771.2218,746.1633,776.2694,741.3273,774.1266
74,3.192,745.448,777.4425,745.4971,778.0215,744.6868,773.2906,742.0821,774.3693
75,3.2,743.9293,775.941,745.5969,776.6627,743.8769,775.5235,743.5645,774.4416
76,3.208,743.405,773.8385,746.0601,777.9476,744.4121,776.4998,746.9222,776.748
77,3.216,745.7331,775.398,746.8271,777.3333,744.662,776.2766,742.3649,772.6322
78,3.224,745.8408,780.0486,744.318,776.4495,745.623,777.0817,742.2317,773.0877
79,3.232,742.616,772.4261,745.6123,778.2129,743.046,776.9229,745.7783,776.0015
80,3.24,747.4,777.7719,746.0814,776.6406,744.599,778.6737,744.6048,776.9438
81,3.248,744.8613,775.4707,747.2345,777.9406,746.3116,776.9324,743.9705,774.3457
82,3.2560000000000002,748.2765,777.5777,745.5833,777.0193,746.6141,775.7177,742.7393,774.1023
83,3.2640000000000002,740.8035,775.1738,746.0879,778.7603,744.0328,775.5527,745.2591,777.1134
84,3.272,746.2423,777.5223,742.1631,773.956,742.8569,773.1776,744.1385,774.9179
85,3.28,744.9461,773.0836,743.3942,772.9434,741.5834,769.5201,742.4929,774.6308
86,3.288,745.5727,776.3407,743.563,775.4985,743.4451,776.2209,745.173,774.7879
87,3.296,740.6058,773.3647,748.5498,780.1562,741.6638,772.9576,744.8297,775.6031
88,3.304,744.0336,776.5756,747.3454,778.3868,748.8795,780.261,740.4305,771.3104
89,3.312,738.6817,767.3052,745.3587,778.4736,745.3634,778.3107,746.5809,777.818
90,3.32,743.5868,772.9455,740.9222,770.5169,742.5103,773.0034,746.6291,778.313
91,3.328,739.7839,769.2099,749.7294,780.2612,744.4429,773.8792,745.902,775.3191
92,3.336,745.5043,775.6826,745.1766,778.9801,739.0957,769.0869,742.4888,772.1318
93,3.344,744.2332,776.1421,746.4098,777.196,743.9721,775.7383,745.534,776.4504
94,3.352,744.8489,776.204,745.4803,777.9104,747.0223,780.162,744.4426,777.142
95,3.36,748.7967,776.1871,745.9558,776.1273,741.0894,773.1745,744.6684,776.1537
96,3.368,746.8934,777.3808,745.1714,775.1154,746.316,777.228,742.5664,774.5029
97,3.376,746.7004,778.134,746.4688,776.5779,744.7308,775.8298,742.4315,769.9445
98,3.384,741.064,776.4601,746.4789,777.6172,745.9745,777.2075,744.2557,778.9449
99,3.392,741.5098,773.2101,745.3423,777.7628,746.7368,778.9005,747.553,778.7806
100,3.4,744.5241,776.6257,745.3797,778.0924,745.7447,779.3759,745.8027,777.5473
101,3.408,738.9785,768.9561,747.0583,779.0095,744.1547,774.0452,748.0016,778.1709
102,3.416,745.6941,774.4963,745.9907,779.0639,745.5833,776.8605,744.0882,777.1754
103,3.424,744.539,776.9646,747.0133,778.1791,747.2236,779.5005,746.4395,779.8806
104,3.432,749.7062,780.5126,747.6381,776.9637,744.5852,776.5516,744.4704,779.1468
105,3.44,745.416,776.9661,747.5854,780.3894,742.1322,772.4351,745.1506,777.4683
106,3.448,743.4604,775.6683,747.5001,778.2575,747.2334,777.7327,745.4541,777.625
107,3.456,749.1933,779.2183,745.5964,778.9292,737.7371,764.7246,745.0845,772.9385
108,3.464,746.1244,777.1119,746.7,777.7228,742.0706,769.8233,744.5675,776.4126
109,3.472,746.1089,775.9143,745.8576,782.8815,745.0557,777.0098,747.3987,779.4433
110,3.48,744.1449,773.9482,743.4645,771.0625,747.1323,778.6381,744.7223,774.6195
111,3.488,744.1249,771.7268,740.093,768.7609,748.9496,780.2102,745.8993,776.1122
112,3.496,743.7886,778.0484,746.4189,779.8845,736.4671,771.1131,744.3854,774.3014
