,Frequency,Signal Run 0,Background Run 0,Signal Run 1,Background Run 1,Signal Run 2,Background Run 2,Signal Run 3,Background Run 3,Signal Run 4,Background Run 4,Signal Run 5,Background Run 5,Signal Run 6,Background Run 6
0,3.088,1.1877976444162124,1.2133837945146775,1.2445929849062003,1.2494036227092753,1.1980963960763924,1.2193432156212116,1.2436565811133886,1.2120066969293684,1.2269983324614422,1.1812847698458662,1.2390539703338548,1.1950982589345414,1.257954829544638,1.2647741164885646
1,3.08812,1.1401975599550338,1.143136036331367,1.2228985627288216,1.2131804582492556,1.1585955455063561,1.2195306121868346,1.2186723076646435,1.206785978723229,1.213284462454263,1.1797349491668558,1.2167561242544385,1.2180295330693853,1.2414502380209798,1.2015792890067638
2,3.08824,1.171555726680077,1.1387814154792117,1.122097545015027,1.2279646993855646,1.1777618971826136,1.2495279350172168,1.2332419816129572,1.2031390952193155,1.2037269216325877,1.2200759639275784,1.2621535935814263,1.2593437963534562,1.2533515942681752,1.2223479248562197
3,3.08836,1.2217222992470433,1.1700443214812517,1.1983206449439694,1.2003814561147055,1.1468984887499387,1.2143483000470823,1.1811735762785125,1.2133763059348752,1.22603131701416,1.181450316500394,1.2164647075941353,1.208551299907144,1.216906668888185,1.1955024173206232
4,3.08848,1.200787183053762,1.1757057766069912,1.1868743793897352,1.2549435726008473,1.2156376348434115,1.1945135524607435,1.20324778998972,1.2563556600517454,1.1926363940207136,1.1937901707526195,1.2833217142348878,1.21777403755973,1.2550725728873264,1.2697699741941437
5,3.0886,1.1842426075943708,1.1859820238156962,1.197719694026643,1.1639733912314327,1.2059410913653537,1.196370406272006,1.2084935113901343,1.2188537961898038,1.2190271413380456,1.231275499118219,1.2194547183570037,1.187979434206604,1.2564634230774767,1.2354417773210502
6,3.08872,1.165300834291962,1.1644487659259883,1.186463645620174,1.1791180686041516,1.195554268638685,1.1790203067357565,1.1691857045590832,1.1765959437423594,1.1868228534251082,1.2367561012193142,1.205342966237819,1.2395415398028709,1.2037322141529139,1.2239052383829798
7,3.0888400000000003,1.214541321856897,1.2002215397095675,1.188051581963573,1.1949764375709515,1.1980867050728665,1.2059679469390345,1.234837402382567,1.1662300549748983,1.2398126398893412,1.2435207352199222,1.2148296149253892,1.1950642087285601,1.2255912607143609,1.2629828723356813
8,3.08896,1.2048722664158242,1.1927257222224275,1.1788385312031386,1.1998351763582513,1.1684198575082227,1.1781048431869654,1.1831950341952773,1.229537948383276,1.27107618396126,1.1948996153134592,1.2720525552270783,1.2409732999807668,1.2096682257353284,1.2102672928496174
9,3.08908,1.177257480299634,1.1964387947957624,1.2080743523105408,1.1786355049785393,1.2366270874201368,1.1933975783112583,1.1662075591597698,1.1769473240135526,1.1702089234046786,1.2296219751627349,1.1816114699721239,1.2127753711055842,1.1931467645383649,1.2030656998146056
10,3.0892,1.2327228708893287,1.1994563060032928,1.1757919773298542,1.2138454362326325,1.1740475692865664,1.21628323968236,1.1998236179095283,1.2405319548573348,1.2667025016528866,1.2386341951316258,1.2002977570371585,1.2545347238077706,1.2586847728078503,1.2004426839105355
11,3.0893200000000003,1.212047610557704,1.1896929086617387,1.1996209106115938,1.182472900886512,1.1916359859292733,1.1828167853781502,1.2043347235222226,1.2531657361535817,1.2134090969039288,1.2066348013946626,1.233459357749085,1.2350385546589682,1.2294214565736088,1.2211907106730595
12,3.08944,1.2237446840637498,1.1992620315406992,1.2211073042507619,1.1726586068886846,1.2106961309893316,1.1704940777786943,1.2234245505450956,1.1939129177346137,1.2070823808243336,1.189453673754996,1.2745540570141687,1.2399681821293496,1.220234013172545,1.2531772958716851
13,3.08956,1.1927622682724193,1.1913408165567119,1.211659068959087,1.2012747425184658,1.2183059423683387,1.1888177319874007,1.1942218247959235,1.227396875384612,1.248248287668286,1.225091190869901,1.2171502938645518,1.1999048234860465,1.2367217432613562,1.2214565080980182
