,Duration,Signal Run 0,Background Run 0,Signal Run 1,Background Run 1,Signal Run 2,Background Run 2,Signal Run 3,Background Run 3,Signal Run 4,Background Run 4,Signal Run 5,Background Run 5,Signal Run 6,Background Run 6,Signal Run 7,Background Run 7,Signal Run 8,Background Run 8
77,626.0,0.6954501362692542,0.6957164672182327,0.6565661446542769,0.6567785191451607,0.5966998390430337,0.597174515302643,0.608479962421384,0.6082346050012527,0.6418642670523245,0.6422783965284002,0.664534209612603,0.6652801205685928,0.6448222521909635,0.6452634770255686,0.6407737375262467,0.6413397103225829,0.6467092133989759,0.6474259050905251
78,634.0,0.6924448004858508,0.6923379338944089,0.656778628478175,0.6568685819439914,0.5975896754771945,0.5977895564272842,0.6068314091440976,0.6071081565748735,0.6449193894331325,0.6455072103028668,0.6633428728746534,0.6644217521778076,0.6409063095565951,0.6421830239846653,0.6448578900478694,0.6450579740252981,0.6504058788762508,0.6505506789622905
79,642.0,0.6899881652179656,0.6905862932595958,0.653843443991946,0.6538978377328628,0.5995147730999428,0.599866591054957,0.6096006637797418,0.6095492060324703,0.642416106526708,0.6428442756100687,0.66389076128627,0.664895663235634,0.6405808998059341,0.6411659564762369,0.6463876766205843,0.6468007441643978,0.6463876766205843,0.6468007441643978
80,650.0,0.6883008819198688,0.6885365880955008,0.651480604006824,0.6510826848890764,0.5980856532186856,0.5984867581780802,0.6085623104351501,0.6085922793124339,0.6446260099905857,0.6452224982382334,0.6610981124098997,0.6625378050308957,0.6424565387157213,0.6429232191405921,0.6465011335530534,0.6474916210780592,0.6465011335530534,0.6474916210780592
81,658.0,0.6874218523178721,0.6877225092783945,0.6544004995038097,0.654488188514019,0.600864996342262,0.6013683452722829,0.6092780494550607,0.6092430207173618,0.6426205788361277,0.6430128914812476,0.6640134790592158,0.6650576107150064,0.6406141013696881,0.6409582826635877,0.6482442472819028,0.6488803556674881,0.6482442472819028,0.6488803556674881
82,666.0,0.6884401223904526,0.6889656786095162,0.652412387534059,0.6521930947424949,0.5976387594390093,0.5977271824361137,0.6124784403565839,0.6126688574565132,0.645054850620001,0.6457563938995946,0.6639695486333194,0.6648883232684543,0.6406291092320192,0.6411317397929945,0.6480745225957691,0.6486485693391981,0.6480745225957691,0.6486485693391981
83,674.0,0.6890257100513356,0.6889607280486271,0.6504320215602365,0.6502959825729542,0.5961495924961053,0.5968436396119732,0.609141979253466,0.6089648833856314,0.6429421156141302,0.643207244055382,0.6646027210293448,0.6657650259246848,0.6391650542410207,0.6394540765801318,0.6507758749200818,0.6509938090360476,0.6507758749200818,0.6509938090360476
84,682.0,0.6893205106333254,0.6897367952666372,0.6504802153543784,0.6502448527541792,0.5978205872354134,0.5982110258369423,0.6119495890401074,0.6121922291110091,0.6456849308549867,0.6461824546809924,0.6680721291363542,0.6687566031310068,0.6418565991242927,0.6425597977871563,0.6525400871152035,0.653539132718209,0.6525400871152035,0.653539132718209
85,690.0,0.6878471479194395,0.6882532971706227,0.6487209068818447,0.6484247319988975,0.5990977076673069,0.5997140606184587,0.610687741953001,0.6110113869953043,0.6442095536027155,0.6447596908444825,0.6664761267710279,0.6672456973569072,0.6390398846464427,0.6396103551050748,0.6486703237285334,0.6493827051473924,0.6486703237285334,0.6493827051473924
86,698.0,0.6876738937968736,0.68787286897716,0.6469483708595162,0.646598786118115,0.6002061653459425,0.6007190718288827,0.6127651982415455,0.6125956765843779,0.6494444387952337,0.6502270807358694,0.6663432580024903,0.6671958168969658,0.641316050695755,0.6418258338086741,0.6493417575886766,0.6505888623475972,0.6493417575886766,0.6505888623475972
87,706.0,0.6841815443957592,0.6842082180985317,0.6477451773188888,0.647888259534361,0.6001655769870147,0.6008911702952657,0.6166760965444493,0.6161644706468021,0.6429670870774322,0.6432871402320754,0.6679712282413648,0.6687681128264632,0.6372420960699631,0.6375717536250073,0.6540981091671537,0.6547978721214116,0.6540981091671537,0.6547978721214116
88,714.0,0.681022257045018,0.681117161069225,0.649921910460553,0.6495644860130545,0.6000367061677297,0.6006244176938164,0.6195048516477365,0.6191484735366077,0.644998770255455,0.6453319884815731,0.6688578164037479,0.6694335029225201,0.6369192318896234,0.6374505975815207,0.6544103382335329,0.6548976954538469,0.6544103382335329,0.6548976954538469
89,722.0,0.6812937884455263,0.6814664022702565,0.6453269285335891,0.6455807971920321,0.5993128307294795,0.5997026446522765,0.6169642911870725,0.6168190226084828,0.64842905793555,0.6489475709080978,0.6699675547335346,0.6703312884118728,0.6386749172331694,0.638706728891646,0.6541314825248723,0.6548016670312868,0.6541314825248723,0.6548016670312868
90,730.0,0.6844322896566296,0.6843396344656497,0.6464196131854453,0.6459692836937407,0.5992101494914709,0.5999983666379003,0.6198691943858885,0.6201690704740573,0.6483777250992182,0.6486305630243918,0.6713708286952976,0.6718392426049324,0.6391937113089892,0.639618975655809,0.6554741940392055,0.6556366568508066,0.6554741940392055,0.6556366568508066
91,738.0,0.6845929565223594,0.6848297090352947,0.6497851374913758,0.6496121020293656,0.5960219554331393,0.5967001357637313,0.6199177786115585,0.6200739009551431,0.6466114514888999,0.647172707974771,0.6709681464290127,0.6722608213716522,0.6381735984695047,0.6385051300671158,0.6545345083730435,0.6553214137350661,0.6545345083730435,0.6553214137350661
92,746.0,0.6830184430316056,0.68313186872152,0.6469283655870304,0.6468703643565281,0.5962645954974992,0.5973487220275694,0.6171030006540972,0.617045655313039,0.6501208076092914,0.650880055411767,0.6738720971032011,0.6740613273357979,0.6365117395857587,0.6370608773388149,0.6570692437974467,0.6569490715894754,0.6570692437974467,0.6569490715894754
93,754.0,0.682222667235654,0.6824482692685094,0.6476765565993906,0.6472211828421913,0.5970807513106849,0.5978812746004981,0.6202979256490525,0.6203232875358042,0.6487914797750185,0.6493572964007515,0.6736554747916733,0.673926959331413,0.6369682533783597,0.6376455279518988,0.6616106909833583,0.6618379796348559,0.6616106909833583,0.6618379796348559
94,762.0,0.6803613646264361,0.6804927810097932,0.6469382511051728,0.646786220385514,0.6023638145651242,0.6031455194579719,0.6194856116336712,0.6195439564441669,0.6483194115275798,0.6484222489314881,0.6724184273285109,0.6729333171848866,0.634947736309915,0.6349693501314827,0.6618210664894698,0.6624329842703467,0.6618210664894698,0.6624329842703467
