,Frequency,Signal Run 0,Background Run 0,Signal Run 1,Background Run 1,Signal Run 2,Background Run 2,Signal Run 3,Background Run 3,Signal Run 4,Background Run 4,Signal Run 5,Background Run 5,Signal Run 6,Background Run 6,Signal Run 7,Background Run 7,Signal Run 8,Background Run 8,Signal Run 9,Background Run 9,Signal Run 10,Background Run 10,Signal Run 11,Background Run 11,Signal Run 12,Background Run 12
0,3.2,1.4140092525452168,1.3936280776580618,1.38670343292002,1.3787015355501664,1.3737057539972477,1.3669368395018298,1.3681242426383948,1.357654242680344,1.353918076268004,1.3568728086179331,1.3479912526522242,1.3505793008151064,1.3494410524047546,1.346086625698603,1.344400511945556,1.3597303099327451,1.3395706071538698,1.3247764949796463,1.3270071087933206,1.3100456711438055,1.313583966372593,1.3248078294458494,1.3221929531198617,1.3320444961807751,1.3328627547883884,1.323337751940924
1,3.201,1.4021346440341944,1.4006413632452943,1.3880086883357075,1.383427868709178,1.3640461353674405,1.350880454712636,1.3693107475976365,1.3693222735012507,1.3739365350682593,1.3771849899003052,1.3234804650352003,1.3413143498037594,1.3365099627035817,1.3271516897005093,1.3291972392331253,1.3239923785798284,1.3263376489231673,1.3370014901794436,1.3449456939506454,1.3358020897443847,1.32400587219271,1.3351231872192373,1.3393489775463938,1.3311071435512103,1.322224250701334,1.3258291922596914
2,3.202,1.420671323288066,1.4050442466505162,1.3941305351695503,1.411953455939133,1.3878557911850635,1.3850124402691533,1.3434600370390148,1.3465047221770714,1.3492219163720878,1.3504203187894428,1.3253637857674598,1.325251439866194,1.3325566018148547,1.3420734166425354,1.3258373798083263,1.3292792000059381,1.331766140148669,1.3160664823731827,1.3285711638767668,1.3283848548650072,1.3225961095551222,1.3176701074777035,1.330303224270613,1.3472432064143929,1.3236426555810932,1.3250549475050635
3,3.2030000000000003,1.4130883965441983,1.3988089499751717,1.3983769591122501,1.4020516227904816,1.364030270203378,1.3635788817589996,1.3520617436719062,1.3666265314131099,1.357710714723805,1.3375311486204842,1.3336041475017284,1.335410580927226,1.3393936080599365,1.3523711416347635,1.3508022753099094,1.3403337718331334,1.337191640301004,1.3372517588432131,1.3206567882128293,1.3140798662348454,1.3075658126215597,1.3127249152731435,1.3115132131453788,1.3333415634862908,1.3261217005253774,1.3260019809533763
4,3.204,1.4003128227356594,1.3969057962191718,1.3743679674317548,1.3742249252686378,1.3776890987913808,1.3768805265322692,1.3597933051337845,1.3597359309776298,1.346414949599566,1.3478326202408586,1.3442783282380761,1.345637705555936,1.3202528750481488,1.3223885962201625,1.3194475108302919,1.32388244206841,1.3231872697911646,1.3324782058682967,1.334298505621686,1.3350240547189136,1.3117305667774966,1.323339689555378,1.3205011858566802,1.3251373728083269,1.336730288464288,1.3451656071399283
5,3.205,1.4069116337889096,1.3939395417029263,1.3876162028196548,1.386261509138523,1.3831079099801133,1.4017203297109413,1.3599458768468333,1.3581061001607686,1.3616387144853326,1.3650753474461792,1.3629283493096402,1.3558330647619332,1.336639460040186,1.3407057288352446,1.353859293967543,1.348071582396564,1.32901649365677,1.3379690759133849,1.3293628441415064,1.3273763238475376,1.3267099829929032,1.3263294621877129,1.3288034175419117,1.3201901577378805,1.330897131472153,1.3368215520669435
6,3.206,1.4120619984932077,1.4001903546356789,1.4028765984788667,1.3967175481613416,1.3560785410490372,1.3560090141331442,1.3544460833569596,1.35981610531489,1.347823961183538,1.3483337241101878,1.3371494415130356,1.3483825155175855,1.348622760459116,1.3465323911453149,1.346429039955814,1.3561499348074288,1.3284433258464619,1.3246327958894788,1.320519544661035,1.3377101446629966,1.3409830259833357,1.3352766410878931,1.3287341125458416,1.3323831339539742,1.3304172265951177,1.337893460500607
7,3.2070000000000003,1.404146744328192,1.4031876870496638,1.3903543583973876,1.38690813930492,1.3656059446629285,1.3729732915366872,1.3705082158940984,1.350075157008935,1.3307385562081593,1.341907289293073,1.3330674322219274,1.3322119736585276,1.3387223314142003,1.333250737189298,1.3472747850401552,1.3498558962509304,1.3355061815893616,1.3333623701636828,1.3259707771113736,1.3249221114570258,1.3203404236751932,1.3156783034834139,1.3199555941628742,1.326000110551772,1.3341260618211035,1.31458578387345
8,3.208,1.4024535720767894,1.404159613111421,1.3648523709010332,1.3835937814316452,1.3712430457546123,1.3703760342084355,1.377729107139398,1.3749087192857852,1.3589248857629832,1.360407106467537,1.3460407744100849,1.3527507206258607,1.3452096438818317,1.3383692421201434,1.3485899360944347,1.3440375154540538,1.3441437427404168,1.3417543091716968,1.2980484344881806,1.3042348740598773,1.3329746680885786,1.330177071608572,1.3563438309414657,1.3512566308294098,1.3325421702716034,1.3274584028056873
9,3.209,1.4135402212897081,1.4030350155407156,1.4077601606757488,1.4030368888841196,1.3713040129777552,1.3765502929407931,1.3678845251264193,1.3708729882060469,1.3577326351409635,1.3617030817389202,1.3422546367672592,1.3404472450362221,1.329236847548738,1.350378341330504,1.3473211927893385,1.3382013906965882,1.323674891629527,1.3452698665230156,1.3361614561848787,1.3218268332185714,1.321411735546347,1.33268378455766,1.3334255526534264,1.330490656282957,1.330076313014929,1.3378745927749143
