,sweep,average contrast
0,2.79,1.000230680574752
1,2.7908040201005027,0.9997121236213924
2,2.791608040201005,0.9996272288570784
3,2.7924120603015075,0.9996074463501584
4,2.79321608040201,0.9988400562266948
5,2.7940201005025127,0.9987738552056354
6,2.794824120603015,0.9995241700738488
7,2.7956281407035175,1.0005087380248605
8,2.79643216080402,0.9994034790854621
9,2.7972361809045228,0.9995248770445755
10,2.798040201005025,0.999385267959448
11,2.7988442211055276,1.0002640647665784
12,2.79964824120603,0.9987246445714839
13,2.800452261306533,0.999836021675652
14,2.801256281407035,0.9997905583766266
15,2.8020603015075376,0.9998963368962579
16,2.80286432160804,1.0000312222822307
17,2.803668341708543,0.9997715658757939
18,2.804472361809045,1.000594543231517
19,2.8052763819095476,0.99938831668063
20,2.8060804020100503,0.9984940409452447
21,2.806884422110553,0.9999202857773204
22,2.807688442211055,0.9997093731599059
23,2.8084924623115577,0.9996619354801357
24,2.8092964824120603,0.9988579318042711
25,2.810100502512563,0.9992162840231954
26,2.810904522613065,0.9969285018807847
27,2.8117085427135677,0.9974896186328756
28,2.8125125628140704,0.9990588524839482
29,2.813316582914573,0.9981823481761062
30,2.814120603015075,0.9979514263023199
31,2.814924623115578,0.9971235625423447
32,2.8157286432160804,0.9980927800433458
33,2.816532663316583,0.9970747568859731
34,2.817336683417085,0.996836113240118
35,2.818140703517588,0.9966273674006677
36,2.8189447236180905,0.9958162637596957
37,2.819748743718593,0.996370701115756
38,2.8205527638190953,0.9945639011298025
39,2.821356783919598,0.996900318604181
40,2.8221608040201005,0.9965423763423011
41,2.822964824120603,0.9947520206329277
42,2.8237688442211053,0.9951454549457865
43,2.824572864321608,0.9946333614592312
44,2.8253768844221105,0.9942673063065093
45,2.826180904522613,0.9941116301965975
46,2.8269849246231153,0.9942378890999682
47,2.827788944723618,0.9932181520230675
48,2.8285929648241206,0.9921233194668223
49,2.829396984924623,0.9934969347723911
50,2.8302010050251254,0.9919121118199397
51,2.831005025125628,0.9925808309222314
52,2.8318090452261306,0.9919379090375777
53,2.8326130653266333,0.9912170035501326
54,2.8334170854271354,0.9908335984380905
55,2.834221105527638,0.9903507895021701
56,2.8350251256281407,0.989627242034711
57,2.8358291457286433,0.9889339168500911
58,2.8366331658291455,0.9878747545598696
59,2.837437185929648,0.9881383605934767
60,2.8382412060301507,0.9873409762095922
61,2.8390452261306534,0.9871111014027159
62,2.8398492462311555,0.9864378279794778
63,2.840653266331658,0.9866804684087459
64,2.841457286432161,0.9868498130155385
65,2.8422613065326634,0.9872764492784081
66,2.8430653266331656,0.9868147256481863
67,2.843869346733668,0.9865287606525077
68,2.844673366834171,0.988152048558142
69,2.8454773869346734,0.9882745592822505
70,2.8462814070351756,0.9883799585282088
71,2.8470854271356782,0.9892641434967931
72,2.847889447236181,0.9900192080327573
73,2.8486934673366835,0.9892618690070647
74,2.8494974874371857,0.9900860418732053
75,2.8503015075376883,0.9905833965216844
76,2.851105527638191,0.9912661376038159
77,2.8519095477386935,0.9907047995694672
78,2.8527135678391957,0.9914168405690204
79,2.8535175879396983,0.9930367612009728
80,2.854321608040201,0.9928212410113542
81,2.8551256281407036,0.9927658459885442
82,2.8559296482412058,0.9930859797366814
83,2.8567336683417084,0.9948034759810547
84,2.857537688442211,0.9946673166636563
85,2.8583417085427136,0.9941749520214245
86,2.859145728643216,0.9963434375574055
87,2.8599497487437184,0.9949522202920874
88,2.860753768844221,0.9954599055664339
89,2.8615577889447237,0.995644015777872
90,2.862361809045226,0.9958725431947854
91,2.8631658291457285,0.9967815493313262
92,2.863969849246231,0.9971692719109645
93,2.8647738693467337,0.9947728499973302
94,2.865577889447236,0.996520957701484
95,2.8663819095477385,0.9955419549770801
96,2.867185929648241,0.9965981892634589
97,2.8679899497487438,0.9970068195139735
98,2.868793969849246,0.9960574252250555
99,2.8695979899497486,0.9950513312626156
100,2.870402010050251,0.9961678358812073
101,2.871206030150754,0.9953720935084691
102,2.872010050251256,0.9959940244787807
103,2.8728140703517586,0.9965052658989103
104,2.8736180904522612,0.9958509420715342
105,2.874422110552764,0.995434531445029
106,2.875226130653266,0.9951615574408638
107,2.8760301507537687,0.9954388554265271
108,2.8768341708542713,0.9947009642729596
109,2.877638190954774,0.9958239688585191
110,2.878442211055276,0.9945252375759751
111,2.8792462311557787,0.9945460337719558
112,2.8800502512562813,0.9940717151808061
113,2.880854271356784,0.9930622167975047
114,2.881658291457286,0.9938247440413627
115,2.8824623115577888,0.9929446582075206
116,2.8832663316582914,0.9931349559391256
117,2.884070351758794,0.9926107965841483
118,2.884874371859296,0.993392724534976
119,2.885678391959799,0.9927046684120264
120,2.8864824120603014,0.9922730615373676
121,2.887286432160804,0.9919199746566485
122,2.8880904522613062,0.9923628167891677
123,2.888894472361809,0.9927384886895577
124,2.8896984924623115,0.9922275107165355
125,2.890502512562814,0.9902662529213473
126,2.8913065326633163,0.9914396197375228
127,2.892110552763819,0.9909054274703624
128,2.8929145728643215,0.9910179711478878
129,2.893718592964824,0.9913315216075081
130,2.8945226130653263,0.9897932059843857
131,2.895326633165829,0.9900736128470248
132,2.8961306532663316,0.9885165060544596
133,2.896934673366834,0.987467709595586
134,2.8977386934673364,0.9871291198722539
135,2.898542713567839,0.9878623256523682
136,2.8993467336683416,0.9873181235598686
137,2.9001507537688442,0.9861184117386131
138,2.9009547738693464,0.9868570517838613
139,2.901758793969849,0.9868302249273206
140,2.9025628140703517,0.9867194407491041
141,2.9033668341708543,0.9860239233024387
142,2.9041708542713565,0.9877739381441237
