,Frequency,Signal Run 0,Background Run 0,Signal Run 1,Background Run 1,Signal Run 2,Background Run 2,Signal Run 3,Background Run 3,Signal Run 4,Background Run 4,Signal Run 5,Background Run 5,Signal Run 6,Background Run 6,Signal Run 7,Background Run 7,Signal Run 8,Background Run 8,Signal Run 9,Background Run 9,Signal Run 10,Background Run 10,Signal Run 11,Background Run 11,Signal Run 12,Background Run 12,Signal Run 13,Background Run 13,Signal Run 14,Background Run 14,Signal Run 15,Background Run 15,Signal Run 16,Background Run 16,Signal Run 17,Background Run 17,Signal Run 18,Background Run 18,Signal Run 19,Background Run 19,Signal Run 20,Background Run 20,Signal Run 21,Background Run 21,Signal Run 22,Background Run 22,Signal Run 23,Background Run 23,Signal Run 24,Background Run 24
21,2.856,38.914,41.068,37.956,38.573,35.869,37.836,37.942,39.486,37.087,39.967,36.503,37.516,38.714,39.745,36.362,36.718,37.549,40.43,36.535,38.303,35.256,36.841,35.685,36.733,36.108,39.263,35.197,37.705,36.113,38.163,33.442,35.463,36.89,37.806,36.688,38.207,35.172,37.508,36.021,37.68,35.093,35.672,37.232,38.631,35.944,37.585,38.906,39.62,35.972,37.519
22,2.8586666666666667,34.359,37.163,37.574,39.302,37.011,37.705,37.071,39.399,36.365,38.116,33.278,37.264,38.144,37.427,37.146,38.222,36.053,39.168,37.499,38.982,35.962,37.948,35.807,38.132,36.13,35.757,33.382,32.912,37.644,40.978,37.781,38.86,36.521,36.581,36.927,36.492,36.297,37.234,36.403,37.414,34.97,36.143,36.104,37.701,36.429,39.232,34.989,36.99,35.04,37.57
23,2.861333333333333,36.632,38.746,34.833,38.5,37.075,39.627,39.245,41.529,38.074,38.67,32.862,36.041,36.379,35.855,36.628,36.643,35.36,37.909,32.499,35.102,36.375,39.679,37.581,39.778,35.552,36.556,38.56,38.248,35.966,39.355,35.814,35.23,37.507,39.836,37.153,38.344,37.096,39.467,36.092,40.033,35.955,37.809,36.754,39.293,33.088,33.286,38.529,39.976,36.302,37.524
24,2.864,36.823,39.234,36.096,39.866,36.447,37.926,37.081,39.93,38.027,39.16,32.873,33.189,39.075,41.186,37.063,37.976,33.842,34.189,39.557,39.77,36.907,38.986,36.757,36.833,35.111,36.692,36.856,39.744,38.708,39.045,37.012,37.238,38.045,39.505,36.341,37.772,36.326,38.818,37.456,38.174,35.247,38.98,35.749,37.576,34.271,36.223,37.739,38.175,37.803,39.084
25,2.8666666666666667,37.584,38.774,36.511,36.682,36.815,39.323,36.288,40.128,36.878,39.372,35.283,37.01,38.673,39.854,36.271,38.413,36.967,39.631,37.593,38.559,32.679,34.677,38.717,38.623,34.782,37.454,35.159,37.528,37.229,38.686,36.829,36.11,36.916,37.749,36.737,37.588,36.67,38.64,37.669,38.468,36.062,36.988,35.644,38.126,37.83,38.362,36.668,37.792,35.711,38.192
26,2.869333333333333,36.328,40.508,38.109,40.648,36.915,37.262,38.817,41.003,36.255,38.914,38.395,40.295,34.517,38.147,37.449,38.992,38.656,40.07,36.875,40.771,35.425,36.735,37.522,39.098,35.087,36.099,39.022,40.663,36.648,39.595,35.615,36.581,37.515,39.217,35.865,35.649,37.343,37.507,36.283,37.977,35.958,39.196,35.109,36.498,36.222,37.217,36.978,39.416,35.703,38.565
27,2.872,36.901,39.245,36.564,39.432,38.27,37.852,39.337,39.654,36.871,40.892,37.928,40.304,37.908,38.908,37.107,38.347,37.819,40.54,36.62,39.802,35.958,39.102,35.334,38.653,37.339,40.071,38.895,40.053,35.013,38.098,34.568,36.648,36.346,38.283,33.435,34.883,35.379,38.352,35.707,36.634,35.783,36.28,38.034,39.679,35.926,37.97,36.639,39.607,34.966,37.158
28,2.8746666666666667,38.267,41.281,37.67,38.651,35.967,37.474,38.067,39.015,37.425,41.553,38.006,39.963,36.401,37.979,36.015,37.84,36.618,38.143,38.603,39.244,35.378,36.138,38.261,37.922,36.578,39.028,37.801,42.819,38.332,39.944,39.563,41.664,37.208,38.931,35.611,37.683,34.286,36.239,34.084,35.64,34.409,34.869,37.323,37.957,37.996,38.871,34.539,34.281,34.912,35.168
29,2.877333333333333,37.969,39.619,35.937,39.81,36.555,35.584,41.821,43.55,38.274,38.079,39.142,40.196,35.02,36.185,36.862,38.99,34.831,38.308,38.301,40.961,34.46,36.327,37.103,37.076,36.486,39.531,38.097,40.334,38.574,40.301,39.117,41.568,36.878,38.826,35.884,40.019,38.459,39.532,38.039,39.649,34.832,38.287,36.135,38.161,37.922,40.716,34.212,36.432,34.741,35.099
30,2.88,35.743,37.532,36.158,38.595,38.74,39.619,37.262,39.05,38.064,38.258,35.91,37.678,33.732,36.445,38.97,40.185,36.629,38.742,37.238,39.419,34.503,36.632,37.061,38.545,35.751,37.594,38.795,39.47,32.539,35.98,37.074,38.537,36.974,39.131,40.343,40.394,37.353,38.645,36.719,37.621,34.884,35.717,36.984,37.819,37.707,39.337,37.102,38.932,36.534,37.418
