,Frequency,Signal Run 0,Background Run 0,Signal Run 1,Background Run 1,Signal Run 2,Background Run 2,Signal Run 3,Background Run 3,Signal Run 4,Background Run 4
0,2.7,1.3084882823577155,1.2992271179229324,1.2362605181496737,1.3365784554445785,1.2987319039843965,1.3434777289378417,1.3182802269250369,1.3286311048194621,1.2865148112210945,1.3079361996547105
1,2.7666666666666666,1.3117314147152375,1.3047150425418335,1.3051455226971485,1.3404862085179134,1.330836903899211,1.3300906260400025,1.2976852146722677,1.2917774521613292,1.3154008669927995,1.286192137571516
2,2.8333333333333335,1.253573348559994,1.3160304795003335,1.3068475735835468,1.3205620410454473,1.3106020249930654,1.2892673154392351,1.3140590498544402,1.3000204507235171,1.3645742653637303,1.3464104008405848
3,2.9,1.3006731823704072,1.2968397849054982,1.2860123212071974,1.3041913553150226,1.3019189309034613,1.3156288938355742,1.264489019349623,1.2869207156985931,1.333598967656675,1.317742806613665
4,2.966666666666667,1.2683905785721945,1.3337006776908702,1.3126736293858443,1.2974131699142495,1.2488490622375492,1.3578157444503496,1.3306575945176413,1.3059158815754854,1.3373987830482987,1.3160151600403447
5,3.033333333333333,1.3154549347853932,1.3208084912098488,1.2981894420930076,1.3150083670545407,1.2879437798002777,1.3250514570118044,1.3054171580742313,1.3066349537270887,1.3253156699090716,1.307867095050676
6,3.1,1.2895674990743458,1.318930305512785,1.3147218990730982,1.2975101599921768,1.2984872947699235,1.2725374185098666,1.2814554518921868,1.3041447833178346,1.285767548427485,1.325314305211895
7,3.1666666666666665,1.272372588063373,1.2734106730849366,1.34081220585052,1.3224344386272404,1.3530838049430673,1.3142566090515906,1.2703012081436877,1.2263538616643526,1.2766004180516544,1.3201973444771384
8,3.2333333333333334,1.3464984780135076,1.3161736999981162,1.2594401524671603,1.324597513749161,1.3335241795079074,1.3542225422590228,1.3392078048706857,1.358701462207256,1.350413668485466,1.2999542206377577
9,3.3,1.3172608029657877,1.302417207923967,1.3265310148594784,1.3215444544706343,1.2855598787241813,1.2928130064327301,1.310039646859803,1.3310857222160508,1.2795907121742485,1.256843696635515
