,Frequency,Signal Run 0,Background Run 0,Signal Run 1,Background Run 1,Signal Run 2,Background Run 2,Signal Run 3,Background Run 3,Signal Run 4,Background Run 4,Signal Run 5,Background Run 5,Signal Run 6,Background Run 6
0,2.8,2.8064656992658623,2.8057681309013263,2.650847780773062,2.651959225546697,2.4666337548896173,2.466931159239392,2.5243676180679535,2.5244185368162446,2.410877899829489,2.4110325140390656,2.3928943749342326,2.3929622712186367,2.35476309698214,2.3554961353147106
1,2.8015,2.7528285692548726,2.752898075736703,2.6009483566696683,2.6012186619178532,2.624961542128208,2.62502219219199,2.4664586952213843,2.4661694755012022,2.3768627228587844,2.3773908841645692,2.2405201751135317,2.2416721955586083,2.324054041055275,2.3243949132430184
2,2.803,2.7969073346451294,2.7966135689830476,2.6336056988745096,2.6331837002507417,2.5219338608635744,2.5220801493298532,2.4480882867091465,2.449373166649456,2.4574759430098325,2.4584970926100964,2.302086760280189,2.3017998353587585,2.375251703781728,2.3745352223582734
3,2.8045,2.7760859951991863,2.7761592487618874,2.563646641926519,2.563095941522971,2.591490231970556,2.5912009650497203,2.4789875420868905,2.479065575320726,2.406182927927839,2.4062630538223297,2.3092415260746946,2.309279965678275,2.316129059520989,2.3162582612009897
4,2.806,2.6555016168572463,2.655508347870883,2.579428080732678,2.5793836906782976,2.5705784965900738,2.570223364360348,2.512175775525306,2.5124037059988003,2.3762907177415262,2.3769440039012952,2.371639867956018,2.3713755763029685,2.2266843439900175,2.227227234851776
5,2.8074999999999997,2.7352943086348023,2.7358738105976728,2.626183286635866,2.6273260476577303,2.52909678358528,2.529018281849765,2.434439484289867,2.4344772046767673,2.331054833216626,2.3306912513493216,2.4492052612518536,2.449323529765225,2.349147392312497,2.349109125031806
6,2.8089999999999997,2.723020618601286,2.7237078160635404,2.5638769889341564,2.5630305861381677,2.480922560665683,2.4804295259027995,2.406493838011065,2.406970159176119,2.3957055833957193,2.396653556397064,2.3493524427281196,2.3501848339641334,2.3641769340715704,2.36431569475308
7,2.8104999999999998,2.676900465374277,2.677246727532181,2.4899303415196217,2.489271572883918,2.5428017642300977,2.5426045728127575,2.4665757072494374,2.4673688324920384,2.2923095903389816,2.292906383509836,2.3018943865388763,2.302021558203049,2.2808884361605157,2.281081379739236
8,2.812,2.6706262565154293,2.6706533864304496,2.5877946450917126,2.5882724356870392,2.5192144185879055,2.5191287789675174,2.4507427865839446,2.451121207387146,2.3309674507256335,2.3304527692341193,2.368700405490091,2.3688422124906974,2.3530656460573733,2.3532482493770046
9,2.8135,2.678386758303861,2.678457043527854,2.5672920672431787,2.5674676111717853,2.507867958520788,2.506951175656077,2.4388564561151345,2.438366404889085,2.358621854223875,2.358951761889604,2.381068845246812,2.3803332771612653,2.381068845246812,2.3803332771612653
10,2.815,2.6935705671071375,2.6930251607411826,2.5860182991981464,2.5867311426146586,2.5521827982471916,2.551944324548973,2.4293009756824975,2.429560644809462,2.333621833327777,2.3343236951003705,2.357748343047434,2.358069160306591,2.357748343047434,2.358069160306591
11,2.8165,2.77645009897478,2.7758841838996346,2.531286717656792,2.5315634891985863,2.5458393259876355,2.5467631516285794,2.4777221945816583,2.477312768914037,2.316575790761393,2.3172679059266446,2.3584187786642064,2.3590277696620006,2.3584187786642064,2.3590277696620006
12,2.818,2.714166077239708,2.71436198869768,2.510680225647454,2.5095559116893593,2.5548086230842992,2.553723466838543,2.500334874982444,2.5001731230625643,2.4280605588623527,2.4283764712042664,2.3019916518330716,2.3023838176606284,2.3019916518330716,2.3023838176606284
13,2.8194999999999997,2.6249436237371184,2.6241570585114338,2.524669330345238,2.524546704679136,2.525370783257067,2.5255577912603013,2.4764663776731335,2.476551611045637,2.3622003548702173,2.3623349610863196,2.383078985243035,2.3827074999374034,2.383078985243035,2.3827074999374034
14,2.8209999999999997,2.674823148493786,2.674738430242207,2.584724398626401,2.5858913857680417,2.4984402385363595,2.498001792643033,2.446073049411911,2.4465301594527986,2.424557307931821,2.423961937039427,2.3753042952775645,2.3748515737494795,2.3753042952775645,2.3748515737494795
15,2.8225,2.6850096326824207,2.685072343699806,2.5159293084453127,2.5162838627679265,2.4835065371480303,2.4841483131525055,2.4900383712168375,2.489964258238125,2.384818184872651,2.384958180315782,2.3444370301214836,2.34480929658189,2.3444370301214836,2.34480929658189
16,2.824,2.6917410967918722,2.6924765413713767,2.6089760015336307,2.609080571367615,2.537825830319462,2.537326205623797,2.3939575298357214,2.3933756846649032,2.3995675931016085,2.398712959323932,2.3731627265487814,2.37321720559608,2.3731627265487814,2.37321720559608
17,2.8255,2.6389426870429853,2.63975714803664,2.5616105309407464,2.562023469940974,2.4732352240213102,2.473213686233112,2.4248886209684057,2.4247373487173745,2.3716027918465166,2.371219185883444,2.289366119390051,2.289791179404028,2.289366119390051,2.289791179404028
18,2.827,2.6590560752482184,2.6576473502997335,2.5742627032985577,2.5745486115210836,2.565231545490794,2.5654010595580075,2.386371379017843,2.385692587194922,2.406250382987671,2.4063919870536234,2.3473591161202436,2.3466714044771404,2.3473591161202436,2.3466714044771404
19,2.8285,2.5615006807910286,2.561887956953838,2.5903055905161763,2.5907786018310626,2.533511533598559,2.5343625117735042,2.4217768065240723,2.4219516311166727,2.308632289462275,2.3092183195184033,2.342917824270032,2.342698844487477,2.342917824270032,2.342698844487477
20,2.83,2.563018903757172,2.5630691817733506,2.562668705399948,2.5625693677900947,2.498858607951372,2.4991138709837424,2.4246387407694288,2.424860735539229,2.2829743916593483,2.2824952276652275,2.416991977074994,2.417329599900911,2.416991977074994,2.417329599900911
21,2.8314999999999997,2.70974439430479,2.710186167479723,2.553732397763132,2.5541068519083083,2.482493251119312,2.482243547464321,2.4464527229293394,2.4463912612023226,2.4258374334030206,2.42625074732183,2.348989571048397,2.349324289565367,2.348989571048397,2.349324289565367
22,2.8329999999999997,2.7193828076168174,2.7189683693651037,2.542152399019639,2.5422755409091486,2.456040127985746,2.45616778274209,2.4166598048296666,2.4169585376982923,2.380836908092619,2.3803997435572315,2.3687711638707376,2.368835015025839,2.3687711638707376,2.368835015025839
23,2.8345,2.6871522943869137,2.6867580990332396,2.5637895375972275,2.5631489650382626,2.4738584434196897,2.4745802827965475,2.425172781895301,2.425500970101667,2.4079310020688363,2.407967471596971,2.377019743966691,2.376298733147717,2.377019743966691,2.376298733147717
24,2.836,2.6703934255223585,2.6706966561225127,2.551104518393609,2.5510450574293877,2.5518752370925473,2.551170734292395,2.479470145570886,2.4796346776179545,2.410987484837203,2.410370355753188,2.3791656346000503,2.379284152325582,2.3791656346000503,2.379284152325582
25,2.8375,2.7141484071685738,2.713989216946117,2.5788280092683253,2.5782196583886465,2.4894853719934646,2.489483310031134,2.414537662511767,2.4140388645810273,2.3965853690217673,2.396192798507831,2.4316266856154396,2.4314436917564284,2.4316266856154396,2.4314436917564284
26,2.839,2.6571548257325444,2.656876741054921,2.613366345738119,2.6133927416567206,2.4627267163204287,2.461636639485174,2.4854836982883115,2.485739508505428,2.3935560661661026,2.3938681225484326,2.389439369232503,2.3898289116119797,2.389439369232503,2.3898289116119797
27,2.8405,2.727274189417978,2.7274306151209338,2.6076873513731718,2.6064456899821105,2.439194844735202,2.4390458547976035,2.4566520436610984,2.4562848217651854,2.4072134468912862,2.407064221057311,2.341049588582493,2.341241938660569,2.341049588582493,2.341241938660569
28,2.842,2.625934498288264,2.6268483131845657,2.616617847757842,2.6165641654997582,2.4718310465262574,2.471618376659011,2.453313754995889,2.4540658485316706,2.3803446869853526,2.3805660724799695,2.353225628163315,2.35319734202661,2.353225628163315,2.35319734202661
29,2.8435,2.709869532170216,2.71018544606955,2.561998551144953,2.5617898621496513,2.5722821861059404,2.5726024422122373,2.4197322009747837,2.420162398740777,2.4630870829776135,2.4640531904521463,2.361910299273303,2.362354273088232,2.361910299273303,2.362354273088232
30,2.8449999999999998,2.684170721074112,2.6840649957319638,2.5571555737968277,2.557886849455294,2.5568604309476552,2.55607958235192,2.525748987693101,2.5255126388450093,2.3966533135817136,2.397236298391645,2.4124341360296016,2.411810322745519,2.4124341360296016,2.411810322745519
31,2.8465,2.6640140781236643,2.6644830278724574,2.610543464094052,2.611938443627249,2.513143512366558,2.513079380615954,2.480907020200384,2.4799068000752413,2.405027742141893,2.4048380633742403,2.346577209170447,2.34707353818264,2.346577209170447,2.34707353818264
32,2.848,2.673900965745609,2.673714018722549,2.5688474709154905,2.567732981412692,2.5543570411330827,2.5541423387552724,2.4025473202123755,2.401957775308022,2.368529055033847,2.368888654495265,2.315719432578791,2.3158079620447514,2.315719432578791,2.3158079620447514
33,2.8495,2.6733032338267577,2.672876706130916,2.6332454407187638,2.6334567367010644,2.536145022545308,2.536508698686573,2.5117754928283307,2.5124218294502274,2.3923520263409777,2.3913113067866547,2.3670162034764854,2.3661533077322843,2.3670162034764854,2.3661533077322843
34,2.851,2.612260450376627,2.6127021601548504,2.6259700955232272,2.6258513584616576,2.5632195684108487,2.5633970809346995,2.431499590153007,2.4318467725244814,2.4283946865018478,2.429109372119465,2.3818625684277213,2.3819061781275237,2.3818625684277213,2.3819061781275237
35,2.8525,2.6941709584934603,2.6927808985733703,2.587206867612009,2.5873675729334455,2.5904720728709765,2.590896663982249,2.4326637587981614,2.433180845918566,2.4712307842140806,2.470945593697552,2.4044764106204486,2.4043011939657095,2.4044764106204486,2.4043011939657095
