,Frequency,Signal Run 0,Background Run 0
0,3.088,0.0057167830557729275,0.005622769232198559
1,3.0902000000000003,0.005707412907191633,0.005654627737192276
2,3.0924,0.005613086745418805,0.005557178192548343
3,3.0946,0.00567961479995861,0.005720531115136743
4,3.0968,0.005675554402224851,0.005719906438613214
5,3.099,0.005638698484845318,0.0056758667407019745
6,3.1012,0.00558966137415293,0.005655564752058326
7,3.1033999999999997,0.0056424465440994285,0.005574044459903317
8,3.1056,0.005650255001200913,0.005574981474739782
9,3.1078,0.005645882265255893,0.005743331809860332
10,3.11,0.00561558545166171,0.005661811517701921
