,Frequency,Signal Run 0,Background Run 0,Signal Run 1,Background Run 1,Signal Run 2,Background Run 2,Signal Run 3,Background Run 3,Signal Run 4,Background Run 4,Signal Run 5,Background Run 5,Signal Run 6,Background Run 6,Signal Run 7,Background Run 7,Signal Run 8,Background Run 8,Signal Run 9,Background Run 9,Signal Run 10,Background Run 10,Signal Run 11,Background Run 11,Signal Run 12,Background Run 12,Signal Run 13,Background Run 13,Signal Run 14,Background Run 14,Signal Run 15,Background Run 15,Signal Run 16,Background Run 16,Signal Run 17,Background Run 17,Signal Run 18,Background Run 18,Signal Run 19,Background Run 19,Signal Run 20,Background Run 20,Signal Run 21,Background Run 21,Signal Run 22,Background Run 22,Signal Run 23,Background Run 23,Signal Run 24,Background Run 24,Signal Run 25,Background Run 25,Signal Run 26,Background Run 26,Signal Run 27,Background Run 27,Signal Run 28,Background Run 28,Signal Run 29,Background Run 29,Signal Run 30,Background Run 30,Signal Run 31,Background Run 31
0,3.2,1.7170968659677466,1.7173738768324383,1.6994243573067769,1.699255602005482,1.6816125190777784,1.681951310051325,1.6374562188273294,1.6376856298043343,1.6211356623473485,1.621640116499351,1.635330312031749,1.6352530089281925,1.6497783800710928,1.6495984120446385,1.605447616369965,1.6053041916214668,1.6129381489675623,1.6134489747821725,1.6088729689182677,1.609793954331896,1.5560966718668372,1.5570432062306652,1.583708456186833,1.583983124518482,1.6415502917110059,1.6414437539512354,1.6393101268676296,1.638467537841399,1.668521513938564,1.6679457535337827,1.671896558943093,1.67206290907072,1.641091632666094,1.6417613125499033,1.705586224584914,1.7055449024313727,1.6783089413672974,1.6776372938674968,1.7919317648784767,1.7916545041170813,1.7555295833832918,1.7543886194115466,1.6825163667404879,1.6821167951808667,1.6823073416415528,1.6823072479989776,1.7980028024287806,1.797748998044934,1.9191321711791585,1.918717888421031,1.9175202994135172,1.9183722901469231,1.9148394891366578,1.9151388010141968,1.8958898336781314,1.8950810393062474,1.8255715932200138,1.8255793704489904,1.8190075637875867,1.8176342529182115,1.8942506980428082,1.8930255281097588,2.01107053018655,2.01086748029359
1,3.201,1.698064576025341,1.6980319681187048,1.6644412471814993,1.6642663390277304,1.6701683645525383,1.6704214505006683,1.6562905858363657,1.6560315031444075,1.6552089673372943,1.6560045810707782,1.6455316119366292,1.6449036911772654,1.6266185014685945,1.6262358272036828,1.603759310251498,1.6033375940632018,1.582397394317171,1.5819252046748242,1.5904638776395488,1.5908365571385403,1.6382237835331126,1.6376045459691206,1.5702261268269293,1.5699421197247554,1.611062882061918,1.6108017378580277,1.6288993947374015,1.629196426270972,1.6355679619995924,1.6355063381057184,1.6431448678050962,1.642806795246208,1.6848405496433774,1.6847434130249426,1.6747020599573004,1.6734252298694503,1.6833835901613012,1.682914742358285,1.761496792741635,1.7616076408023014,1.7546495098040893,1.7537915225710539,1.7185629779468974,1.7194207778844612,1.737951498732419,1.7370672752279714,1.7788219637189158,1.7785068788154188,1.9146887630447786,1.9147317405041973,1.9181898934298245,1.918934315582018,1.8908739919154418,1.8915737186724615,1.8587828937214668,1.8588317742184721,1.8407402234615544,1.8404377884385308,1.8183915762111995,1.81911310396605,1.895001988506328,1.8947565234479964,2.0383531655629676,2.037864765409968
2,3.202,1.7206242966479723,1.7202980929384042,1.6594422232955006,1.6596501766180491,1.6500307471601037,1.650329121810822,1.6233971672475271,1.6229061437673211,1.5893935098258634,1.5896018693361558,1.6482073622280649,1.6478349014443903,1.6676022173222937,1.6678823826995903,1.5888562846137246,1.5884918509025447,1.5932295855108525,1.5928757711333155,1.6128612529389064,1.6129900291662131,1.5861342189587064,1.5864844726123895,1.612839174435355,1.6134758403209546,1.623802417241816,1.623811350070261,1.6134132452344143,1.6132478631775597,1.675524212417317,1.674317439244215,1.6466646379746661,1.645494189641533,1.6664654360044755,1.6659246259354554,1.7163273683096694,1.7171538409547156,1.6653216067757064,1.664805096515206,1.7808641385183877,1.7809634926835773,1.7477705892012572,1.7475341820628425,1.7196067426842678,1.7198216298775009,1.6973868385254784,1.6983410878375558,1.791477065293733,1.791897469765241,1.9042844307560975,1.9048659070524532,1.9323151386133925,1.9317667076039113,1.9025633582595307,1.9027962672753274,1.8543074871161755,1.8544828328495082,1.804162859244954,1.8047201607177639,1.8355698779334817,1.8355495449480905,1.9460596563716288,1.9461080684156136,2.0012505210548777,2.0013681468683577
3,3.2030000000000003,1.6884947234838847,1.6885953580405566,1.7131382688349972,1.71362292085417,1.6959351885853176,1.6965432757744472,1.6116363037742019,1.6116397706699026,1.6386011277585115,1.638634172999021,1.6503322733102022,1.6507395595431211,1.6654214225138624,1.6654267946131902,1.5744316410114287,1.5740067078253703,1.6017437734907864,1.6016115616530182,1.595062564141915,1.5955017712461947,1.576054913450485,1.5757095010054618,1.6292105425714014,1.6290086172232765,1.609336423908656,1.6094168504919872,1.6203069367647707,1.620155079054244,1.6585559899912388,1.6579219165286374,1.6675664200144162,1.6674989553577209,1.7180757936572415,1.718223560034639,1.720228538016158,1.7204416450551718,1.6842310803631408,1.6836698123331963,1.7792192472569157,1.7789936468983998,1.748078397455055,1.7480711200475365,1.6573250494701726,1.657129433356313,1.75242077143245,1.753208014680485,1.7946328533094726,1.7952248238697652,1.8931282265711147,1.8936145653509957,1.893780065013043,1.8939646557137189,1.9066856691477343,1.9061244321507387,1.8352024733162609,1.8356979008825278,1.8699507514534845,1.8700877421396847,1.8025269284344867,1.8027095201691017,1.880112644776537,1.8800547065951247,2.000995314091929,2.0016336045064675
4,3.204,1.6884258782146917,1.6881651399488502,1.6512998980119373,1.6508808053672677,1.6982001597911722,1.6989050711700686,1.6318487569238662,1.6318710889389838,1.6613358774783984,1.6606957758319463,1.625394829011288,1.625690548770145,1.65967456180384,1.6597998711139939,1.6265562924591694,1.626577468837237,1.5940333863631688,1.5941616315008489,1.6046994381986632,1.6049994995236747,1.5944861737671279,1.5953227659320997,1.613979569192388,1.6141864293262924,1.653862832603768,1.6539041234117289,1.5923013537469166,1.5919280808656386,1.6734587334378517,1.6730918321491015,1.687763288476812,1.6875986248616088,1.6695439140080357,1.6698082440353126,1.7365511653103494,1.7363281259318504,1.6703468413835043,1.6700993462872666,1.755667788605601,1.7551279156471278,1.7534588827745574,1.7533520014460127,1.7388404306750669,1.7394690695564081,1.7212847413213221,1.720697361882584,1.795567869263452,1.7960939684406156,1.895707650841553,1.8958551046392538,1.938545490210808,1.9383821695652128,1.8962478651665184,1.897338980309309,1.8506277584878452,1.8510850809711596,1.8246412330325263,1.8243668457590465,1.8232380374267043,1.8239831467024898,1.9009855036264103,1.9009481169918665,2.025547782345617,2.0264092370063054
5,3.205,1.6862828012823494,1.6865391354530228,1.6569538383697264,1.657147923957889,1.6672735714705436,1.6675607645652537,1.6032711359013712,1.6030014648517104,1.6465251210679241,1.6460682045356156,1.6366283112811215,1.6364146420566623,1.625240255079135,1.6248073572723547,1.5495643856940984,1.5494289566725357,1.5892239703696418,1.589631693921837,1.6036543925820537,1.6037706753389307,1.627290738990661,1.6280034274749766,1.6033726341474834,1.6035865843809813,1.612538804374788,1.6120655217029831,1.6132992380962985,1.6134079310157887,1.6412940526969666,1.6407828521786898,1.6942238724341228,1.694406589037506,1.7018033303517375,1.7013506928464657,1.737431452039651,1.7376053296175993,1.6746166739972284,1.6736884422759168,1.7701960736835127,1.7697761688628453,1.7268902918820637,1.725670431892364,1.699506314453577,1.6991576224235447,1.7405696318726303,1.740705654371421,1.802892733360723,1.803142664682868,1.930632056543936,1.9309263086313655,1.902978393999829,1.9036811504803628,1.9265554694214484,1.9268978837678343,1.8307604954536958,1.8310218584678744,1.8324986736746665,1.8328807857092717,1.878042132352219,1.8770860712023931,1.90390534873172,1.9041371645819258,2.0246003464353763,2.0252953568998464
6,3.206,1.6504194636199718,1.6500008394304484,1.7069910887135387,1.707215564786536,1.6436734297686435,1.6441659211987274,1.631022279455486,1.6312989780172296,1.6493982670847334,1.649910810659445,1.6143449744841858,1.6142971245678788,1.6478800604949975,1.6482942806529788,1.583534671554282,1.5834475297420323,1.5710208345722072,1.5715130137682107,1.587660100317053,1.5877443997860738,1.641139319918023,1.6412220889862765,1.5879714371014306,1.5880614523835819,1.6323798836653234,1.6325834332221267,1.6269888404242394,1.6275792493392207,1.6589605976064792,1.6583304907096605,1.6590137195547763,1.6594425570314593,1.6777502999523277,1.6786694428161024,1.7346815506501865,1.7344428008899366,1.7046801050620262,1.7047237072218548,1.7387153115352354,1.7386876385213046,1.7179808788307644,1.7175119996894281,1.6730942352146478,1.673265645460598,1.740442782449323,1.740482605409186,1.831427950912698,1.8319857833388793,1.8817446619071914,1.8816036732826789,1.925587914407855,1.9258821661641015,1.8892453929024178,1.8892082250603504,1.8373995224483086,1.8373432706124662,1.8687232637956848,1.869233371290224,1.8299311791904165,1.8295316073708583,1.9303965471795108,1.929886189893511,2.0072635579254254,2.0063660285249116
7,3.2070000000000003,1.6593899949643165,1.6598287021365838,1.6667211785110696,1.6669119222105067,1.6565562356373342,1.656057716037029,1.6215902953396468,1.6211878190853906,1.6531590186642915,1.653335519840903,1.638436326147855,1.638878843982808,1.6299136139428807,1.6296823915348302,1.5731902630469548,1.5739611084418321,1.5498908098607596,1.5498497688849922,1.6093090832139922,1.6095756309210603,1.5840905658256765,1.584177020429398,1.631012568441942,1.631420979134404,1.6492679579691332,1.6490236798589197,1.6518865908337452,1.6521961472593851,1.6217050046179466,1.6214585713766676,1.6460111092554048,1.6458099960899937,1.6835161738138995,1.6829823602116891,1.7560608114236325,1.7555002930218921,1.6845053815506024,1.6841436650504351,1.7608252120708991,1.7608183718509045,1.741388035131789,1.7408509418697566,1.7233167604363524,1.7230160743137204,1.7592825193091042,1.7588579608716841,1.759665137971793,1.7597342582128985,1.9164308719494434,1.9172426026797722,1.9242885617207834,1.9236820986029306,1.858659393478947,1.8577362214982869,1.8005686765134379,1.800646666815073,1.8282744862290816,1.8278140403301113,1.817658678626096,1.8182042051221736,1.937046438050158,1.9366953094991706,2.024865175893138,2.024982833050427
8,3.208,1.7304639825234223,1.7298248803741698,1.633486645116136,1.6337906730762184,1.6810600865416774,1.6795544390567714,1.6271086845554328,1.6269771285435086,1.6444917163274084,1.6447003880951048,1.653260954954402,1.6528919298387628,1.6552771877753358,1.6557871390185184,1.6112357565807156,1.6120561697642435,1.568092562974444,1.5680766962940822,1.5425826195051229,1.5427822647712484,1.5883107257034674,1.5884912559929856,1.563194820428635,1.563228209264857,1.6446452891965164,1.6446179597587383,1.6375685654128243,1.6374080246400313,1.6486431911311359,1.648610583252503,1.6865351237677955,1.6861957705231947,1.6522438670677027,1.652084388255779,1.7127644868399512,1.7128074329793725,1.6827140418801565,1.683551071464198,1.7694738582234004,1.7693578252522133,1.7280298828871812,1.728248205806036,1.6931233823148912,1.6930743455759978,1.7166877377597771,1.716227416781434,1.83506832492215,1.8353009841894057,1.9228298942579,1.922550603232174,1.989568054640259,1.9890510131493593,1.937479800929685,1.9361177027053615,1.805169702034583,1.8054142924769898,1.8110210644882005,1.8108716117435066,1.810341955006175,1.8106116884406986,1.927612135304755,1.9272330214771245,1.9938785754919448,1.9940201576056789
9,3.209,1.6958015083943625,1.6964977680132076,1.6634764409604654,1.662742732276855,1.686839344070606,1.686621083730739,1.6331905232623205,1.6333473471399742,1.6265076513161478,1.6258090180267197,1.6832686833737867,1.683664069585364,1.5736683607520043,1.5740424142384397,1.6261358749490593,1.6263507309310585,1.6068936341961242,1.607233518331715,1.562893787923646,1.5637568661590668,1.5852425252606979,1.5844720858496366,1.6578880688164859,1.6574091639586521,1.602155218595369,1.602742535545142,1.5901114728485384,1.5906458799124101,1.6334101381515207,1.6331558964998625,1.6708841760910909,1.670710048741661,1.6592958972275287,1.6594346055141111,1.7321148695662167,1.7326702032235153,1.6773862101876076,1.6780272488950272,1.74683998546914,1.7470746748123511,1.7387045611822585,1.7380120493994924,1.7159687103593049,1.7163066581734572,1.7083657079479864,1.7082567650892608,1.7996080199886477,1.7992322170293042,1.871159962674386,1.8717214494603818,1.945962542740587,1.945789445978439,1.8815966107930995,1.8811033070183814,1.8757750382064324,1.8755816397087042,1.8183345767394963,1.817708092806577,1.847990302883094,1.8481707394090074,1.9478152643581186,1.94811960462731,2.0645013726773627,2.0643884007278612
