,Frequency,Signal Run 0,Background Run 0,Signal Run 1,Background Run 1,Signal Run 2,Background Run 2,Signal Run 3,Background Run 3,Signal Run 4,Background Run 4,Signal Run 5,Background Run 5,Signal Run 6,Background Run 6,Signal Run 7,Background Run 7,Signal Run 8,Background Run 8,Signal Run 9,Background Run 9,Signal Run 10,Background Run 10,Signal Run 11,Background Run 11
51,3.2755,1.9373301052759693,1.937086763974394,1.9575273804730637,1.9572732949205711,1.9347293065046467,1.9356580382068074,1.973202097218953,1.9736462080643349,1.9004680863271612,1.900981535848395,1.86433968795079,1.8645949290811616,1.8764601118522681,1.876767950318251,1.8399259317580512,1.8395420080890554,1.8814737949218547,1.8815567201710426,1.835316850943163,1.8356728828634623,1.8240045642303775,1.8241658859213392,1.8040805140445053,1.8037119261248813
52,3.276,1.9933358870422901,1.9929657373014091,1.9322215662937272,1.9317883872102721,1.898546168134638,1.8984135502916033,1.8730479097520263,1.8732835986812835,1.8458250026986622,1.8449327207230473,1.8696718682514903,1.8698574894124158,1.8109593802069748,1.8104188824740148,1.8401266765646935,1.8400106437537427,1.8208187270599676,1.8209261394334186,1.8046873305996896,1.804803301020438,1.800995634878383,1.8007555732646237,1.773990270585943,1.7733472641056582
53,3.2765,2.0228210836526226,2.0234464120799474,1.9582861763828217,1.9587740454159626,1.9454538388910259,1.9444050450501424,1.8687693521524706,1.8682423161405888,1.8835804777738514,1.8833380112684532,1.885653577952669,1.885394338929014,1.8893348976571236,1.8892064963339714,1.8188037370652352,1.8188011132454773,1.8146062496045003,1.8152565648655614,1.7962738667384395,1.7962972919016384,1.8189516187757013,1.8191313058491152,1.7882323349514333,1.7882485451480254
54,3.2769999999999997,1.944871459559827,1.9448222977987228,1.9780677375116578,1.9784451957603935,1.904698340989546,1.9044920740845634,1.9360035802118465,1.936552729699914,1.915920292828764,1.9158816255676818,1.7917687368780513,1.7917713918408218,1.8419144489020707,1.8417148974007682,1.7626820810362909,1.7628428403936243,1.8378246641461984,1.8383455158854285,1.8101366490399184,1.8100710585781719,1.8348514525134936,1.8348160647212182,1.8115102137993782,1.811791566193788
55,3.2775,1.99548157192414,1.995225456236195,1.9587476867573819,1.9587256045371086,1.9026028403596709,1.903049980782772,1.9676568188228718,1.9675827326376787,1.900600640463504,1.9002473882559734,1.8489293678054592,1.8490520845483671,1.8500146082526436,1.850272597868788,1.767854063347375,1.7679345524059404,1.8509432772315344,1.8510786436322224,1.8327792746537155,1.8332016468200847,1.8353581078610213,1.8353850624348125,1.8029289341810233,1.8021990670108219
56,3.278,2.0206394242334067,2.020494125376362,1.9899785964012038,1.9905775322094734,1.89775584432424,1.898212667271644,1.8841330576326323,1.884298252332498,1.9065772872019129,1.9063407550639286,1.8366991565515407,1.8365804999782216,1.8314440355899488,1.831961639070364,1.835210065629708,1.8346895886332117,1.8282793546671907,1.8283051849190284,1.8149818638086308,1.8145644888860957,1.8143118749526428,1.8146491981275885,1.8209559443399361,1.8203396738060682
57,3.2784999999999997,1.978041477158339,1.9779239138817508,2.0019071423750305,2.000956390834903,1.9413483370068698,1.9414847028844702,1.919718494962644,1.9195020146384505,1.864084539264566,1.8642045701024668,1.8667498608626825,1.8671985317879298,1.8348191474129016,1.8350273819046434,1.8254416909805673,1.8258697477630998,1.835229584116504,1.834603506239257,1.8127376351912492,1.8124968864934947,1.7968183561803177,1.7966479143585417,1.7906952314972313,1.790858895627613
58,3.279,1.9935238191027973,1.9939860768167965,1.9594205409339354,1.959726755316407,1.929179839075324,1.9292805987428547,1.933604580660616,1.9335573242639599,1.8675104939748803,1.8676437991148032,1.8247752889871867,1.8250292807785722,1.8118999551314072,1.811914197621475,1.8140982024130516,1.8138614203296095,1.8004374608874176,1.7998009197094256,1.837847590827819,1.837539471064208,1.8146929781018069,1.8146601203724375,1.8080609281960878,1.80811683647159
59,3.2795,1.9673918021045504,1.96654943125665,1.9721619658901877,1.9727809540843995,1.9321163617642634,1.9320232543495135,1.9353229312822622,1.9360855625930962,1.900787577798687,1.9005886197281965,1.8641066888535962,1.8638653467217918,1.8422328524533946,1.8430145049625348,1.7996700157105667,1.7998959907979348,1.8256692221400797,1.8255793006349945,1.8071302622125789,1.8072515736154842,1.7629464128159762,1.763004601104799,1.7829637921467256,1.7826141006428042
60,3.28,2.012706697052945,2.012980553545162,1.9513526832775996,1.9513527145068468,1.8969175778118137,1.8981637679971568,1.9277586590563172,1.9275132252536882,1.9108143160732802,1.910522469108339,1.869315926403846,1.869084797693307,1.8306266893052132,1.8307363503486642,1.8431911849073734,1.8429827004727601,1.863798752886607,1.863557191994846,1.845370480416662,1.8457847943377095,1.756937624067107,1.7573222972219698,1.8008875046065143,1.801233510581615
61,3.2805,1.9879494678009022,1.9873760807683736,1.9537627308943375,1.9539677796404642,1.9433613091177642,1.943895872559031,1.9052878064127814,1.9050368130496842,1.8673372468854805,1.8670138540104202,1.813438890683578,1.8134800566177918,1.8399840636062061,1.8397856677955857,1.8434848803863948,1.843090899570734,1.8346984569793028,1.8355635344624912,1.831077012792087,1.8303746312328673,1.7967534547155763,1.797366570643576,1.7958744123093295,1.7955355901121741
62,3.2809999999999997,1.9540272894444433,1.9539932760750687,1.9660165634657314,1.9659004368443225,1.9445433797738263,1.9446071588802745,1.913894456082813,1.9138335504233142,1.8944691081773621,1.8941201661814169,1.8338494643363,1.833492589070386,1.8471899036665036,1.8474081017045485,1.817177145664112,1.8172582280700063,1.7866278642977933,1.7865001188832494,1.8188595748481406,1.8193215825529263,1.7630982756431175,1.7628090833912355,1.7956256687944052,1.7963594400487508
63,3.2815,1.9315235839239067,1.9312643761878403,1.9602435502258964,1.9602809369259404,1.9079180858559988,1.9082669967181485,1.962987457787765,1.9628032729456955,1.8945663341158234,1.8954182622756088,1.8448550643993178,1.8445123379079942,1.8247433642571327,1.8247224690062758,1.7786830253490846,1.7789326757716397,1.8104178484303353,1.8095723856860118,1.8169145377968359,1.8168414198757892,1.812105994728442,1.8114890370352514,1.7991119018903303,1.7996140446676923
