,Duration,Signal Run 0,Background Run 0,Signal Run 1,Background Run 1,Signal Run 2,Background Run 2,Signal Run 3,Background Run 3,Signal Run 4,Background Run 4,Signal Run 5,Background Run 5,Signal Run 6,Background Run 6,Signal Run 7,Background Run 7,Signal Run 8,Background Run 8,Signal Run 9,Background Run 9
38,3862.0,2.154589289597762,2.1551274492370753,2.169958541378669,2.1710854603445555,2.1363936767493708,2.1381293433939654,2.2498517056987075,2.2489237466458367,2.251607677522345,2.2507190737651785,2.0924922783802247,2.0934424131567417,2.241807417799434,2.2436411593194756,2.220638647680657,2.2193308848416646,2.2476737639352233,2.245116020676086,2.2360213360845873,2.2347485552169517
39,3961.0,2.1164049288448523,2.116072287915927,2.0904833118027204,2.0898717519331225,2.1784216769402147,2.177538694967189,2.138626271889024,2.1409631917774576,2.1329788901257727,2.131748900105925,2.18589783691453,2.186058691115548,2.24554674075605,2.24621764496567,2.178025950051062,2.1801283029472454,2.2764676690458594,2.2781255642737395,2.321254581547698,2.3192471793267093
40,4060.0,2.214371885966307,2.213234035529251,2.192365420343147,2.192443504855107,2.1434693966452043,2.1424314944189136,2.1775805542468665,2.1796719753659275,2.1688528842585555,2.168288799600913,2.201858037946048,2.2044326470150524,2.2169224403225614,2.2155472121252053,2.2602788324672782,2.2621550522061358,2.291430264699256,2.292044635572582,2.2222978165397627,2.216126936172203
41,4159.0,2.2390347998470177,2.2379038207534396,2.155552540620946,2.1544412387933494,2.1810718718463002,2.1798740525021074,2.2078193268232917,2.2082640981743356,2.177173883445504,2.176990540675237,2.202791291361922,2.201624393316041,2.251691379973925,2.248559557497397,2.2122601695496322,2.2130388310384674,2.1559123615152167,2.1569037254197485,2.233313674178924,2.2336188289487575
42,4258.0,2.20876384467631,2.211740746523708,2.175338273703944,2.1745361873941875,2.255396360934093,2.256695065371351,2.2045791221907156,2.202827838158282,2.215190210796727,2.2123685415642895,2.154801714000135,2.154576519068094,2.3079945351573232,2.309676168201221,2.243430955185751,2.2433937867211657,2.218542246927519,2.2189004996788975,2.284392653029094,2.2839535043771475
43,4357.0,2.216985233784234,2.2137634585207935,2.2242749110896853,2.225539884238882,2.148809149217691,2.148773854720967,2.2096705565572363,2.2118638003757995,2.2292017352142994,2.2269813182022165,2.205078242766831,2.20445044164111,2.2716214156046175,2.272236410752467,2.3103248976939996,2.3116613960779415,2.3199371321594993,2.3170192620029706,2.2569040072043967,2.258014059415313
44,4456.0,2.1242661860033216,2.1239629050954574,2.141464206620866,2.140853584962105,2.18460101198381,2.1862395422553247,2.116508950904397,2.1170789700078645,2.2322720239706126,2.2347957217408654,2.2799836628313503,2.2757539695184894,2.1624627336380806,2.163814223853195,2.1716764173007417,2.169380726503411,2.2853121646160988,2.284708101264162,2.156359943834744,2.1543569153798336
45,4555.0,2.2074588829807364,2.208744157590801,2.181576305999163,2.180278537808179,2.15571495391151,2.153908698495674,2.1906581823854214,2.1877543678881604,2.146927315565311,2.1473755218949546,2.0595755026795715,2.058608501604312,2.33968914251953,2.337754514512811,2.2567312961771337,2.2585091298628224,2.1556218822128184,2.154274452289526,2.2551983217162617,2.254628615655103
46,4654.0,2.292065244968139,2.294776659333462,2.2180493630306928,2.218808346718942,2.163327277272658,2.163078656232521,2.1363864845232876,2.136196582415396,2.128855696318635,2.129817387956897,2.187412363485726,2.187672230193098,2.2611724266098268,2.2628537469124153,2.3002981841595687,2.29899448149473,2.163149260440019,2.1615756968681916,2.1826913478955423,2.1884936677066174
47,4753.0,2.140464076276671,2.140909159306752,2.205416837713135,2.2060040348678704,2.2343119263532545,2.234181680724436,2.1141454699905324,2.113316522356982,2.242720074670744,2.2463494530743335,2.211575512286446,2.2075204163258886,2.2779078651154534,2.278382932375857,2.309022442680608,2.3063100910716035,2.2169146306790464,2.215161472470152,2.1186294071493936,2.1188948951577258
48,4852.0,2.265703529412025,2.2640902991715413,2.1771910594077952,2.1785865893658967,2.1754766469170423,2.1735829365435917,2.1462236019758945,2.146113034210226,2.0915646195193873,2.088660493148721,2.179533292089486,2.179091644663445,2.3411458730631853,2.3402179139926904,2.289561538152826,2.2900412904645857,2.178319860267942,2.1755953284022733,2.1205359252874887,2.1220585776028296
49,4951.0,2.2563580383014785,2.2567540844859915,2.152514732520368,2.1535260853947924,2.206455341891754,2.2045263368767154,2.1240437991331773,2.122133221765736,2.227817456393432,2.2296849304547557,2.1781586979288012,2.179337153130431,2.2277484198039663,2.222815026620047,2.297431559640849,2.299307778858373,2.1827328932630863,2.1811315318360496,2.2282866011725235,2.2259887237090483
50,5050.0,2.2128745261179312,2.2116164249035255,2.197172659937204,2.2000671043616644,2.141774022379765,2.1443620626849786,2.0743710030258313,2.072780261960601,2.2297258386000816,2.2310829510710137,2.223627764729747,2.2264163265866124,2.288424310092686,2.290827758326882,2.2113243875852002,2.2109845631879907,2.2993514945027527,2.298422285763911,2.2256751173957037,2.2242186808176183
51,5149.0,2.249327914602976,2.2507340645938774,2.1592987277142224,2.159592638435235,2.139353082823319,2.1413045757900946,2.2087326005551344,2.2119300144228493,2.2139736676262554,2.2136972473005785,2.2338103009649073,2.234020817175471,2.2723379263201475,2.2744246628956573,2.328602038518461,2.330765921979396,2.165880655859233,2.163285744480287,2.2972597600332842,2.298024678297373
52,5248.0,2.1950818361253495,2.1968771596126295,2.1480058159749342,2.1494766199439295,2.1921642735182916,2.188490543394285,2.111100474998493,2.1062123720305435,2.14657998550046,2.1422147378687186,2.325931244333634,2.3265731011936204,2.197235730790556,2.199088525582809,2.1759501411075135,2.1724606913782245,2.2527723965069617,2.250546044896537,2.280742035645827,2.281935795642548
53,5347.0,2.217222283174752,2.223098939569556,2.1474738953013457,2.148852558758846,2.1645285534281204,2.167112221155643,2.2420572964963275,2.24230779284533,2.2435309131538563,2.2449751692354765,2.2502927300206768,2.248087305459865,2.1832938596899054,2.1811124853029775,2.387522271917577,2.3912943897809305,2.2335716680004665,2.229863892936846,2.2258925073915865,2.2301134552420567
54,5446.0,2.2243351879388684,2.222414928427714,2.243185159705707,2.2382330259297363,2.046745582985734,2.045838551675268,2.1769727515308595,2.174966599256809,2.2222040901797087,2.223179836582044,2.2137806255151053,2.213664435254232,2.25916222088447,2.2565432594375223,2.147140020061499,2.149503800444897,2.16627670381256,2.168021428603058,2.2735276270292766,2.2759076492191754
