,Duration,Signal Run 0,Background Run 0,Signal Run 1,Background Run 1,Signal Run 2,Background Run 2,Signal Run 3,Background Run 3,Signal Run 4,Background Run 4,Signal Run 5,Background Run 5,Signal Run 6,Background Run 6
0,1e-08,2.444194608451734,2.444204603299125,2.442533589753345,2.442514849414543,2.4419120351830967,2.441911098166153,2.4417096395241544,2.4417215084053847,2.4413898044089213,2.4413873056970785,2.440734204890919,2.4407516958737654,2.4399820926289775,2.4399558561547283
1,1.59e-08,2.444145258892762,2.4441296419437113,2.442520471516179,2.442523907244966,2.4419239040643346,2.441932337216792,2.4416759069143383,2.441688400473533,2.441417914917073,2.441413542171378,2.440711716484406,2.4407129658403224,2.439992087476301,2.439978969239177
2,2.18e-08,2.4440765443169683,2.4440787306898377,2.442487051245307,2.44248299083856,2.4419626340978366,2.441972941284177,2.441673095863521,2.441668410778824,2.4414257233915757,2.4414282221034176,2.4406745481458603,2.440685792349114,2.4399542944598345,2.439967725035933
3,2.77e-08,2.4440168875716415,2.4440034569954725,2.4424836155165264,2.442479242770807,2.4419648204706994,2.4419685685384587,2.4416865264396455,2.441665287389029,2.441423537018717,2.4414354058999437,2.4406745481458603,2.440681731942389,2.4399567931716715,2.4399624152732873
4,3.3599999999999996e-08,2.443992837470112,2.4439919004531747,2.4424792427708035,2.442482990838562,2.441972628945196,2.4419751276570416,2.441695271931083,2.441679030304133,2.441441652679533,2.441442589696479,2.4406561201460772,2.4406561201460835,2.4399180631382613,2.4399074436129817
5,3.95e-08,2.4439372411315348,2.4439378658095006,2.4424929856859157,2.4425089149739123,2.4419957420297123,2.4419848101654154,2.4416834030498578,2.4416918362023066,2.441452272204847,2.441448524137093,2.440641440214057,2.4406620545866975,2.439908068290937,2.4399246222568274
6,4.5399999999999996e-08,2.443926621606186,2.443936928792565,2.4425026681943125,2.4425061039230944,2.4420144823685064,2.4420051121991126,2.4417271305070236,2.4417161986427245,2.4414132298323934,2.4414069830527962,2.4406248862481505,2.440634881095486,2.4406248862481505,2.440634881095486
7,5.13e-08,2.4439069442504002,2.4438991357758937,2.442469247923438,2.44248111680468,2.4420004271144116,2.441986371860313,2.441715886303747,2.4417340019645826,2.44137606149381,2.441376686171776,2.4406376921462987,2.4406433142479362,2.4406376921462987,2.4406433142479362
8,5.7199999999999996e-08,2.443886642216657,2.443876959708252,2.44245269395749,2.4424645628387314,2.441983873148475,2.44199636670767,2.441709951863135,2.441709327185171,2.4413757491548296,2.4413769985107527,2.440632382383648,2.4406117680110144,2.440632382383648,2.4406117680110144
9,6.31e-08,2.443825736115414,2.4438310458780825,2.442452381618513,2.442451756940544,2.4420169810803536,2.4419994900974715,2.441675282236383,2.4416655997280072,2.441399486917284,2.4413776231887137,2.440556171672696,2.440546489164343,2.440556171672696,2.440546489164343
10,6.9e-08,2.4437891924546733,2.4437898171326333,2.4424645628387327,2.442472683652219,2.4419863718603145,2.4419773140298986,2.441639987931666,2.4416434236604436,2.4413573211550266,2.441347950985642,2.4405327462492545,2.4405246254357897,2.4405327462492545,2.4405246254357897
11,7.49e-08,2.4437582708955765,2.4437498377431046,2.4424570667032093,2.44246518751669,2.4419626340978438,2.4419798127417427,2.4416281190504368,2.4416171871861354,2.4413560717991123,2.441367940680346,2.4405096331647838,2.440504948080097,2.4405096331647838,2.440504948080097
12,8.08e-08,2.44368518357411,2.4436883069639106,2.4424167749747765,2.4424230217543856,2.4419298385049513,2.4419557626402804,2.441605630643885,2.4416103157285884,2.441347326307682,2.4413566964770737,2.4404734018432013,2.440466218046681,2.4404734018432013,2.440466218046681
13,8.669999999999999e-08,2.4436152196424374,2.4436099098797697,2.442400221008825,2.4423945989071942,2.441922967047391,2.4419273397931134,2.441573772067946,2.4415825175593873,2.4413239008842145,2.4413285859689178,2.440453099809547,2.440450601097707,2.440453099809547,2.440450601097707
14,9.26e-08,2.443550565473455,2.4435596233038948,2.4424002210088287,2.442385541076769,2.441911722844121,2.4419076624373774,2.4415734597289727,2.441584079254293,2.4413204651554317,2.4413248379011554,2.440443417301178,2.4404346718097636,2.440443417301178,2.4404346718097636
15,9.85e-08,2.443506525677192,2.4435155835076254,2.4424008456867923,2.442394286568208,2.4419004786408394,2.441884861691852,2.4415834545763326,2.441576583118776,2.4413304600027805,2.441326399596055,2.4404059366236805,2.4404118710642804,2.4404059366236805,2.4404118710642804
16,1.044e-07,2.4434774781519972,2.4434806015418036,2.4423908508394225,2.442386165754726,2.4418957935561356,2.4418936071832857,2.4415319186446656,2.4415250471871244,2.441331084680738,2.4413232762062544,2.440361896827603,2.440369080624129,2.440361896827603,2.440369080624129
17,1.1029999999999999e-07,2.4434581131352053,2.4434659216097225,2.4423917878563666,2.442368362432863,2.441878927251227,2.44189579355614,2.4415334803395656,2.4415237978312017,2.441300163121764,2.441295790376048,2.4403344109974334,2.440347529234563,2.4403344109974334,2.440347529234563
18,1.162e-07,2.4434528033725362,2.443452803372531,2.442369611788782,2.4423655513820433,2.441878614912251,2.441877053217355,2.4415434751869243,2.4415181757295645,2.4412736143084994,2.44126799220686,2.440299116692784,2.440293182252181,2.440299116692784,2.440293182252181
19,1.2210000000000001e-07,2.443448742965788,2.443435000050641,2.442348060399148,2.4423605539583577,2.441855814166718,2.441850192065076,2.4415306692887553,2.4415247348481426,2.4412754883423777,2.4412673675289027,2.4402875601505576,2.4402763159473047,2.4402875601505576,2.4402763159473047
