,Duration,Signal Run 0,Background Run 0,Signal Run 1,Background Run 1,Signal Run 2,Background Run 2,Signal Run 3,Background Run 3,Signal Run 4,Background Run 4,Signal Run 5,Background Run 5,Signal Run 6,Background Run 6,Signal Run 7,Background Run 7,Signal Run 8,Background Run 8,Signal Run 9,Background Run 9,Signal Run 10,Background Run 10,Signal Run 11,Background Run 11
171,2.7783132530120485e-07,1.0942660215871058,1.0965398459191376,1.1710166516451863,1.1751545124993654,1.257502880145032,1.2571074594331546,1.3380306329040477,1.341494467688798,1.4760396275430183,1.4798092425176697,1.5591744893237616,1.5613583612110369,1.6066846333496259,1.609037792860128,1.6587293133358103,1.6619670159857285,1.651962808532267,1.6534598478584044,1.7236129906500768,1.7226553603425916,1.67577051357384,1.6771394941475892,1.67577051357384,1.6771394941475892
172,2.793975903614458e-07,1.1329060422168749,1.131059809226304,1.150461653551046,1.1517503624010248,1.2558790318937876,1.2595624403719508,1.3362846603559166,1.3400873825452568,1.4853682452166395,1.4906508283328126,1.5268833604470882,1.5303681227676271,1.6143122550328894,1.6175927482296983,1.6615147497727296,1.6637604648781652,1.6598340587548377,1.6622284470871627,1.7003506298460302,1.7039931238338049,1.7075594086388168,1.70734295797056,1.7075594086388168,1.70734295797056
173,2.809638554216868e-07,1.111850991072067,1.1107243860613125,1.1690532913511145,1.1701246124540696,1.267802555996781,1.270584243406056,1.3706778227508212,1.374730103483393,1.500101882732131,1.5022417147807843,1.526806836493307,1.5314859814997672,1.5970646026638124,1.5975849588519153,1.6153998219444308,1.6177898372277209,1.7093388002205994,1.7091638904953124,1.74050083321298,1.7441520726249613,1.7053343049956644,1.7061585667646004,1.7053343049956644,1.7061585667646004
174,2.825301204819277e-07,1.1217646150976643,1.1204843395589532,1.1669987287763128,1.170465998837458,1.2565549321032445,1.2576003292316418,1.3663213246041015,1.3660199179213772,1.4816720296767463,1.4840579845134825,1.58712817208552,1.588987836412452,1.5917154906481397,1.5961219645906062,1.6261383375990826,1.625446195075016,1.6246363018690075,1.6310504889281268,1.7436798169222802,1.7441177157009584,1.6991068973240462,1.6998864947303192,1.6991068973240462,1.6998864947303192
175,2.8409638554216866e-07,1.1445384655183073,1.1477774160353411,1.1569445510615277,1.158605879730561,1.1811142458434205,1.1820397049419766,1.3444863592252934,1.3459006282964063,1.5126747625160546,1.5161651467534631,1.5553114851577694,1.555824657603275,1.5993190645662407,1.604474526658686,1.6118881960890425,1.6150753000137892,1.7026391355095143,1.704868921323429,1.7071274424413634,1.7063059914990153,1.6505098090138857,1.6544637043616952,1.6505098090138857,1.6544637043616952
176,2.8566265060240963e-07,1.1203934490965433,1.122677268331117,1.134178509763656,1.1353891340950513,1.254164605277328,1.2585576470371052,1.3658453199276517,1.369383178972274,1.4684685402641882,1.470637419717711,1.572602239592909,1.570088225784089,1.6298473609502997,1.6307369015735589,1.6770404816281848,1.679351475702027,1.6709420694080312,1.6757011740436893,1.7436548289808753,1.7463859187838413,1.6933405035153655,1.6962027755810951,1.6933405035153655,1.6962027755810951
177,2.872289156626506e-07,1.1486260393336856,1.1514823751980077,1.145688495558515,1.1458274861143942,1.2578970520115063,1.2589646252645315,1.2793812614667701,1.2825827316213516,1.5030206896311769,1.5046042464349871,1.5866974588759393,1.5888713357047486,1.6131925222295274,1.61370257132351,1.6933083290925293,1.6929360213725055,1.6375140220583535,1.637497468330991,1.7132945696785775,1.7152338807741836,1.7010262184060159,1.7029630306106367,1.7010262184060159,1.7029630306106367
178,2.8879518072289156e-07,1.1120493288206181,1.1131015973769744,1.1226376033336045,1.1249560921513444,1.2519413797721168,1.2523799030138596,1.3736959504371198,1.377952188296732,1.4763254173225187,1.4809798874454128,1.5969677782058587,1.5974031782092448,1.648465864577185,1.6490402553145986,1.6720177641103668,1.6719855932134406,1.6322414337219284,1.6334595546036705,1.7272673623288435,1.7306225049377575,1.715898225216993,1.72151813534957,1.715898225216993,1.72151813534957
179,2.9036144578313253e-07,1.1128020648882881,1.110878059466295,1.1442264392097632,1.1453948976268038,1.2538066658731937,1.2543723108226348,1.3711219683812939,1.3727095854353344,1.4775391648712384,1.4784721202756697,1.5714047405715426,1.575725008927019,1.5728105713115783,1.5743157314554246,1.6655692190562634,1.6647184081731339,1.6818895385576098,1.6824476875624645,1.7479491723870355,1.751193434575828,1.7161024943550338,1.7190309820004974,1.7161024943550338,1.7190309820004974
180,2.919277108433735e-07,1.15392986164363,1.1544161728214362,1.1418048782332708,1.1417411611696646,1.206680405918986,1.2090541787656848,1.3210109956726575,1.3242362039660003,1.4610942251409855,1.4621218193419327,1.566126210405041,1.5671156992302613,1.6207486190710738,1.6246347366226386,1.6609509784619816,1.6622490580434992,1.7039828197702673,1.7041221229880077,1.7014972239824655,1.7028652674461542,1.7325514996521878,1.7323259910836546,1.7325514996521878,1.7323259910836546
181,2.9349397590361447e-07,1.1317303993111145,1.1342650264148937,1.1553203937598928,1.1567840118620756,1.2426012078221966,1.2454031969547879,1.3122221001071455,1.3133793142234076,1.4508979315691168,1.451482629504867,1.5476270197519213,1.5509421818442448,1.5841116083622624,1.5862267653050737,1.6957383237972137,1.700983427448045,1.7244519321143916,1.7273198261962346,1.7141591230611128,1.7154409608305041,1.6817024502463578,1.6830786145498096,1.6817024502463578,1.6830786145498096
182,2.9506024096385543e-07,1.1461501326231924,1.147514739542631,1.1557139375774983,1.1591068709436976,1.258967748276649,1.261878431209844,1.392351621915882,1.3920180442030683,1.4681305899285788,1.4699490253627159,1.5544275659785385,1.5552611979134976,1.6169062288979916,1.6181234126134794,1.6131309946012014,1.6154394900612488,1.6739536384232399,1.6770735895084568,1.7115214221187172,1.7137059190495174,1.7139773421001276,1.7142812475374782,1.7139773421001276,1.7142812475374782
183,2.966265060240964e-07,1.1024645954280914,1.1027366422699572,1.1566874962259936,1.1625232293273853,1.2826970463105927,1.283714332997512,1.3884277174304112,1.3926002486502607,1.4822142508652114,1.4832702677676708,1.5268552505412072,1.5275483300057977,1.6440890635489271,1.6476000625372438,1.666084577052962,1.6667642261234419,1.6673636046340792,1.6670849988238774,1.679184998844274,1.6800236281878516,1.7126477170373116,1.7168527329331942,1.7126477170373116,1.7168527329331942
