,Tau
0,1e-07
1,1.0526315789473683e-07
2,1.1052631578947368e-07
3,1.1578947368421052e-07
4,1.2105263157894737e-07
5,1.263157894736842e-07
6,1.3157894736842104e-07
7,1.368421052631579e-07
8,1.4210526315789474e-07
9,1.4736842105263158e-07
10,1.526315789473684e-07
11,1.5789473684210525e-07
12,1.6315789473684208e-07
13,1.6842105263157895e-07
14,1.7368421052631578e-07
15,1.7894736842105265e-07
16,1.8421052631578948e-07
17,1.8947368421052632e-07
18,1.9473684210526315e-07
19,2e-07
