,Frequency
0,3.6
1,3.6006060606060606
2,3.601212121212121
3,3.601818181818182
4,3.6024242424242425
5,3.603030303030303
6,3.6036363636363635
7,3.6042424242424245
8,3.604848484848485
9,3.6054545454545455
10,3.606060606060606
11,3.606666666666667
12,3.6072727272727274
13,3.607878787878788
14,3.6084848484848484
15,3.6090909090909093
16,3.60969696969697
17,3.6103030303030303
18,3.610909090909091
19,3.611515151515152
20,3.6121212121212123
21,3.612727272727273
22,3.6133333333333333
23,3.6139393939393942
24,3.6145454545454547
25,3.6151515151515152
26,3.6157575757575757
27,3.6163636363636367
28,3.616969696969697
29,3.6175757575757577
30,3.618181818181818
31,3.618787878787879
32,3.6193939393939396
33,3.62
34,3.6206060606060606
35,3.621212121212121
36,3.621818181818182
37,3.6224242424242425
38,3.623030303030303
39,3.6236363636363635
40,3.6242424242424245
41,3.624848484848485
42,3.6254545454545455
43,3.626060606060606
44,3.626666666666667
45,3.6272727272727274
46,3.627878787878788
47,3.6284848484848484
48,3.6290909090909094
49,3.62969696969697
50,3.6303030303030304
51,3.630909090909091
52,3.631515151515152
53,3.6321212121212123
54,3.632727272727273
55,3.6333333333333333
56,3.6339393939393942
57,3.6345454545454547
58,3.6351515151515152
59,3.6357575757575757
60,3.6363636363636367
61,3.636969696969697
62,3.6375757575757577
63,3.638181818181818
64,3.638787878787879
65,3.6393939393939396
66,3.64
67,3.6406060606060606
68,3.641212121212121
69,3.641818181818182
70,3.6424242424242426
71,3.643030303030303
72,3.6436363636363636
73,3.6442424242424245
74,3.644848484848485
75,3.6454545454545455
76,3.646060606060606
77,3.646666666666667
78,3.6472727272727274
79,3.647878787878788
80,3.6484848484848484
81,3.6490909090909094
82,3.64969696969697
83,3.6503030303030304
84,3.650909090909091
85,3.651515151515152
86,3.6521212121212123
87,3.652727272727273
88,3.6533333333333333
89,3.6539393939393943
90,3.6545454545454548
91,3.6551515151515153
92,3.6557575757575758
93,3.6563636363636367
94,3.656969696969697
95,3.6575757575757577
96,3.658181818181818
97,3.658787878787879
98,3.6593939393939396
99,3.66
