,Frequency,Signal Run 0,Background Run 0,Signal Run 1,Background Run 1,Signal Run 2,Background Run 2,Signal Run 3,Background Run 3,Signal Run 4,Background Run 4,Signal Run 5,Background Run 5,Signal Run 6,Background Run 6
0,3.088,1.1276011550950462,1.1349853946097233,1.1286206107520547,1.1441661955096643,1.1666684455726253,1.1862637878600504,1.176894018171672,1.1155593379118451,1.1895811086555554,1.183666695425627,1.1206469873106513,1.139927488446007,1.1305873837017955,1.1862244213963244
1,3.08812,1.1845671594015976,1.1775442948474115,1.186433387442632,1.1778850593866834,1.1604969998587533,1.1171125968438729,1.1674477178712794,1.1518259170021452,1.1537293091436591,1.1388268140198967,1.1501233793978303,1.1565746799570364,1.1472308475861714,1.1433331984075248
2,3.08824,1.1114224519040559,1.116243681114237,1.1607396770313734,1.1611519707968871,1.1413842250015334,1.1979445051922608,1.137506267596596,1.1816015333502141,1.168236671412831,1.168484043320249,1.1344534958272108,1.150434468670443,1.1041503327902915,1.1027260861127937
3,3.08836,1.18836486912207,1.1888517850846523,1.1869387373557683,1.1337257433931152,1.2474497653565428,1.1601096964701278,1.1623591468321433,1.2001146368779723,1.1541075394106615,1.1222851920403436,1.1914566625793659,1.153221115498884,1.1398237840935457,1.1753979351614252
4,3.08848,1.1404006748033721,1.1555964535790308,1.1664782325880236,1.1298296518120705,1.1809281341757085,1.1506952775263297,1.170979944071682,1.1172559540586584,1.1376789921724144,1.1650792801714014,1.2027329385537284,1.1392022475193067,1.1204570754889678,1.1668189902123385
5,3.0886,1.1944151318559797,1.1825151207623013,1.1752611150684158,1.1660094141119925,1.1700544683834286,1.1983261929133313,1.1913367376194044,1.1654200399835317,1.1765060963028486,1.213110300976072,1.134070258506134,1.1552313343560285,1.1296969323274675,1.2006096802234882
6,3.08872,1.142418367914969,1.144062195136971,1.119238359797606,1.169811468891568,1.163577564939699,1.1684809222678418,1.166995460100563,1.1532223809189266,1.200413219626727,1.1640566960255834,1.140976300469843,1.1619712313044148,1.1524518555750696,1.1648728249164644
7,3.0888400000000003,1.1768581101471782,1.1762765283454182,1.1655562236546801,1.1315625010044472,1.1889873639239,1.1685890019601444,1.1760360185954506,1.2083846561666427,1.1195578713819385,1.1608689857017853,1.1515769924528898,1.1398234929001123,1.098973675034644,1.1607499924783702
8,3.08896,1.1737784591921727,1.1569457338627303,1.1562442314220898,1.1326778582771835,1.135714077872054,1.114967157164947,1.1552325810404,1.1902832317791585,1.171297904850387,1.1649356111856308,1.0982578097326374,1.126438317625928,1.1757489982354516,1.162775800568441
9,3.08908,1.1883295695860443,1.14743573029814,1.1235339140873803,1.1258461292212405,1.149469043896166,1.107009461972561,1.1555964476219118,1.1862347372097772,1.1716736238364103,1.1216130492426968,1.1784391383288224,1.162574335999728,1.1795641675370903,1.1815980955277592
