,Frequency,Signal Run 0,Background Run 0,Signal Run 1,Background Run 1,Signal Run 2,Background Run 2,Signal Run 3,Background Run 3,Signal Run 4,Background Run 4,Signal Run 5,Background Run 5,Signal Run 6,Background Run 6,Signal Run 7,Background Run 7,Signal Run 8,Background Run 8,Signal Run 9,Background Run 9,Signal Run 10,Background Run 10,Signal Run 11,Background Run 11,Signal Run 12,Background Run 12,Signal Run 13,Background Run 13,Signal Run 14,Background Run 14,Signal Run 15,Background Run 15,Signal Run 16,Background Run 16,Signal Run 17,Background Run 17,Signal Run 18,Background Run 18,Signal Run 19,Background Run 19,Signal Run 20,Background Run 20,Signal Run 21,Background Run 21,Signal Run 22,Background Run 22,Signal Run 23,Background Run 23,Signal Run 24,Background Run 24,Signal Run 25,Background Run 25,Signal Run 26,Background Run 26,Signal Run 27,Background Run 27,Signal Run 28,Background Run 28,Signal Run 29,Background Run 29,Signal Run 30,Background Run 30,Signal Run 31,Background Run 31,Signal Run 32,Background Run 32,Signal Run 33,Background Run 33,Signal Run 34,Background Run 34,Signal Run 35,Background Run 35,Signal Run 36,Background Run 36,Signal Run 37,Background Run 37,Signal Run 38,Background Run 38,Signal Run 39,Background Run 39,Signal Run 40,Background Run 40,Signal Run 41,Background Run 41,Signal Run 42,Background Run 42,Signal Run 43,Background Run 43
0,2.85,5.00582949885934,5.006458516714157,4.9431693864492114,4.943010031628113,4.974388717988566,4.974984690368289,4.9939004115462735,4.9937899374147205,4.987422939894823,4.986891621377234,5.00470038695352,5.003651773869178,4.953808314359261,4.9517328902542435,4.9675958620971485,4.967592082788321,4.957761886097895,4.957709849597304,5.034160404019348,5.033723536913806,5.098865557925197,5.098713198193789,5.17731602910387,5.175882740275099,5.163289604728821,5.163907535848689,5.167666332412203,5.167331099658602,5.206680590650823,5.208919275807124,5.232365799498272,5.231187877702511,5.176622445102384,5.177387299207754,5.253190711179667,5.253647162349494,5.196567687255199,5.194872096297341,5.230667402804499,5.23064597563738,5.254304337514974,5.253542013514037,5.188544350755362,5.188334959922874,5.124871060537214,5.124504219015504,5.179505790903239,5.179573162114275,5.10051654431048,5.101000606119273,5.0172514647318565,5.016840740292969,4.976605982101892,4.977179934681154,4.933458631043733,4.933972676753454,4.917930969877292,4.918044411100392,4.889398374080225,4.889720737921949,4.864528750229374,4.864165094847966,4.771230417261038,4.771023649447653,4.771745082268176,4.773449791406564,4.782684696539941,4.783454922750917,4.682898843595151,4.68274420554822,4.706373505167663,4.705338323586572,4.612401665037802,4.613318626053908,4.625829770407705,4.625225146891587,4.597996835300032,4.598485737916484,4.556972927951316,4.555838767048012,4.599077994772276,4.6000922491697995,4.5055026319676434,4.506422997845266,4.544694706153487,4.545186388465199,4.522838122293766,4.523185222702533
1,2.8555,5.100066718012225,5.100621274842241,4.998038337986188,4.999485337688731,4.959177422975705,4.960816542080662,4.979430408878277,4.979290294293397,4.994383623127062,4.994850193310314,5.016113530426491,5.016383297253865,5.031682090564467,5.030579974077435,4.967407689005418,4.967504920383313,5.049499831849027,5.050134253665104,5.022302417759541,5.023040722455519,5.090201801832035,5.090380146584627,5.152332754192735,5.152591526945561,5.156459700915426,5.156011120844003,5.179199738622355,5.180883585433231,5.176144847366815,5.1759760913,5.152276558352019,5.153228752255825,5.212410877473547,5.214203855404831,5.1902353836017925,5.190378090252253,5.189747779901957,5.190090914568505,5.2307411410338025,5.232430266780001,5.162892301616442,5.163111688330484,5.197935043418035,5.198704613350918,5.187872312318759,5.187375132279119,5.17609693311048,5.175337764064551,5.148981309890024,5.149483956321271,5.083937126129847,5.084014804555592,4.932808213088921,4.933242550242555,4.955753504401173,4.955288557883392,4.9562198367272625,4.956643491530453,4.928055274665913,4.928233057925308,4.892999319023133,4.89365697778527,4.7998872238524175,4.799807827485088,4.779746100351266,4.780638605579202,4.712826252658279,4.712570916804704,4.701584664796406,4.701951693209961,4.728961407734244,4.728695171037137,4.643487755429255,4.64414438336089,4.613142568741385,4.614650192425113,4.577980052351914,4.578158303755835,4.6050721983464316,4.604281921073433,4.555062784113965,4.555618620369476,4.538148640042391,4.539127287860299,4.557187711364571,4.557346753668776,4.577611426691461,4.577994852851156
2,2.861,5.1038485671030385,5.103971690882967,4.962944895720973,4.961819791248843,4.998835614640687,4.998013790582933,5.049230040206283,5.0487813362468135,5.0466129123345755,5.048491595700029,4.953573784262811,4.955305667131648,4.948283508350203,4.947608764520599,4.97874983577269,4.979413460563523,4.942803110523727,4.943763362319394,5.075938406174222,5.075425296651231,5.076271366065577,5.076967817883499,5.179759220817295,5.178498623060437,5.158538718218038,5.15951580579007,5.220644243994415,5.218462654376143,5.255932346584219,5.255967702954535,5.227672073314837,5.227313102969299,5.258652358309943,5.25918592644363,5.213243132351404,5.2140153884845875,5.256507338762979,5.255557861555266,5.227761306092907,5.227865596025445,5.1790654187326775,5.178586416434843,5.284436494214664,5.284358628510546,5.200208872490976,5.197364063937118,5.193151124647721,5.193828336307633,5.150662190582524,5.150096764818472,5.035364647373052,5.034690246956609,5.000784818096491,5.000348387923387,4.923770464569112,4.9232192500368495,4.910756524578498,4.910655233550338,4.851604598967888,4.852195104580704,4.8598832514090855,4.859592402136905,4.813684469952568,4.812389329334213,4.832758794593285,4.832407102339586,4.737713988298365,4.736794434182043,4.79756999349183,4.797431596319405,4.62474732513016,4.62453318617341,4.649708115872942,4.650107751892659,4.597571029877546,4.596992267841461,4.597354107541623,4.596650754074537,4.614929449387952,4.614551052322086,4.564368923317077,4.563691212828046,4.544276716942749,4.543986836543835,4.556563351782335,4.557060468504166,4.564809600858133,4.565589570875286
3,2.8665000000000003,5.126935401340808,5.126504312584051,4.987126268003833,4.988362751662679,5.006169535983856,5.005700186089576,5.03119511188532,5.0314830258299175,4.947046133217372,4.948029654657521,5.065471756855553,5.064402654349218,5.034042024450107,5.033282574344945,5.010433265149368,5.010384665567549,5.065371973075295,5.065426694970372,5.109790068069674,5.110411527273389,5.111040496296363,5.111930253808344,5.107909437286203,5.107669404958674,5.262943901509922,5.262989189960087,5.1668525018081155,5.166788941641378,5.301175668969938,5.301795911211576,5.248328727567106,5.247510900608345,5.235511969043374,5.237043582730503,5.272632632269275,5.272593652389768,5.252589871154772,5.2535878856176605,5.274061519525963,5.274327038363983,5.234462046138969,5.232973847717121,5.258567907094034,5.258987377657825,5.178943298557625,5.179617699843018,5.223472276365899,5.2240532258607875,5.141814877403716,5.143756715535403,5.025231280506885,5.024854256993893,5.003725645581493,5.003920794107437,4.973786249449474,4.974284959694173,4.908189138352556,4.908240861766745,4.9198554686549345,4.9197323141532925,4.897409415357108,4.8979738099008365,4.805936302694437,4.805763423806608,4.8555615132498495,4.8557681252753,4.784685317541079,4.783892728994001,4.766605424877085,4.766859136886492,4.706309959359207,4.705980442606939,4.677197054686477,4.6773583456155166,4.664783656332756,4.664802396518987,4.659757701069552,4.659301437714433,4.594585300851274,4.595529185668704,4.614745607750314,4.614916643904328,4.569846647629814,4.570173446553488,4.541028175999453,4.540655120063355,4.566545975957707,4.566080686539233
4,2.872,5.103218055742056,5.104520193734435,5.04146266943865,5.042569283892555,5.059215167558946,5.06099690088034,5.024679298768232,5.024038287335958,5.04446905166121,5.04455847392964,5.045644480963213,5.044672391056398,5.007894918325654,5.008424300240197,5.020656405429026,5.021774013012868,5.086163923103448,5.0881017003808715,5.055573507882382,5.055722337182526,5.1077411855625305,5.107871648999217,5.28955280953341,5.2894373679486835,5.16139977372857,5.162481432247831,5.20004384766151,5.201038239462013,5.289464439410976,5.291365206717583,5.263404920970113,5.2639852457686285,5.304711610365896,5.305355370963184,5.218009498671471,5.21735652434914,5.295134773482838,5.295506956071333,5.262317660083834,5.263276132231642,5.187017314340462,5.1878704035979615,5.2409794287575515,5.239589273290574,5.1732528248732885,5.172396736738995,5.191723649887143,5.191769282048323,5.148567000725396,5.1494676592327036,5.092618222415057,5.092940555447554,5.02331460978046,5.023618920928505,4.935634471258786,4.935164465402404,4.941806179739433,4.943054345094706,4.94658476568904,4.947259415862981,4.871926406474213,4.871752215536206,4.873806495573566,4.873255000459675,4.82283422995384,4.822735875423414,4.826544074782838,4.826200003059184,4.738157888467031,4.738356504187801,4.683695017119636,4.683884950212782,4.625463662104781,4.625532782617244,4.663861171627678,4.664503338117551,4.591959141932241,4.592035508310855,4.609143587201769,4.6083521544901025,4.596915094734966,4.597153658376904,4.577963150441686,4.577807387743389,4.587113546874498,4.587006101954338,4.588198777484209,4.5884383717717485
5,2.8775,5.078637017627996,5.078009436659996,5.004325102897294,5.0034171677850505,5.037489337514991,5.03739560499724,5.002330772036454,5.002557561100806,5.027604749887244,5.028617568973587,5.035328591040419,5.035142469181771,5.0781695379347465,5.077904894312768,5.0138849691710865,5.0138931523855295,5.112375977206064,5.110603770037384,5.100387134297533,5.100254702555514,5.199653331778153,5.200234342711759,5.231844597755235,5.232670169950889,5.222721126994359,5.223315006707875,5.288968495455555,5.2891537432977485,5.176694147602012,5.1759254519761155,5.232067087920879,5.23183658242392,5.2640427226970425,5.263975133369692,5.276794458165924,5.276975739429976,5.284518826291626,5.284681398206954,5.25667923495775,5.255903792920643,5.227714201425086,5.2280449983627,5.245964063488716,5.245921929459322,5.212669422699795,5.21259680340293,5.2093829733903565,5.209385097269413,5.1551424032556,5.154621548137301,5.008813170837617,5.008189775405545,4.963043543105687,4.963016619475445,4.969508687005419,4.969262408470844,4.9381246121270035,4.938627039528842,4.914963468338155,4.91446744406932,4.888331558663309,4.888187539610648,4.845852087973418,4.844996063405001,4.830561370802459,4.830325368145577,4.782003308857096,4.78135758168109,4.715503203387995,4.715467409555094,4.7574677199858115,4.756875745296438,4.648693490731343,4.648297821009754,4.669202804856963,4.669510895093366,4.638195033366183,4.639346060967467,4.576546386297778,4.574956680992849,4.6167258625429985,4.617311027531659,4.543939072900745,4.544213180560545,4.583176256480277,4.58301837015654,4.610818391954454,4.610314028670882
6,2.883,5.069688811380322,5.069667760060412,5.000928508772246,4.999115511073589,5.060262013441562,5.060403159181164,5.144234479091353,5.14306739538932,5.014075562059353,5.0140364888776405,5.061291744956914,5.0617217411038204,5.085800476658323,5.083445821845582,5.025800019598795,5.026872276956618,5.074979223910491,5.072780269477251,5.153618074309829,5.153669173192295,5.149676468639504,5.150173055345486,5.225188711403054,5.2273049905903095,5.169049432434877,5.170978277505941,5.239936815679389,5.240592257231458,5.289432946197769,5.289307417246556,5.230263000401197,5.230375972325091,5.300989523784371,5.302384177391442,5.2414364310422465,5.240493357133263,5.24926589995967,5.249107418582209,5.191486236586454,5.192591414331655,5.243412233696029,5.242790618739065,5.259355079103912,5.25958536557164,5.237370921509739,5.238225479136051,5.233037948309106,5.2336292991755355,5.152233883917508,5.152713104170749,5.051535198712386,5.05265087028207,4.955752260842062,4.954813965697067,4.986951613091152,4.986968354070892,4.962330492765775,4.9624571154183785,4.940445991706282,4.939561481945919,4.952071957274439,4.953000225044666,4.8613703966152215,4.860512747674197,4.850338639317075,4.851118641334315,4.765670762290461,4.766316615261025,4.707808978471592,4.707967989276379,4.727450297517751,4.727122405066698,4.652276867275184,4.652532703389969,4.6658355781798715,4.6653634479419,4.638998595807737,4.63984512500627,4.5805129843517,4.581479201441657,4.571012355757027,4.570611594797055,4.579123385333479,4.579267997427273,4.6141595641455835,4.614456503502464,4.565382291548558,4.5665741414086805
7,2.8885,5.096787433965074,5.094513455654746,5.022765965880336,5.021837697642738,4.990780888693463,4.991144481603187,5.035033119138421,5.0342909413621495,5.042551214708633,5.041779551181729,5.071093076101581,5.071549089887358,5.063198409851155,5.062290879294217,5.078722117564036,5.078370081492068,5.0973924248955,5.096774307950232,5.093960472655675,5.094618381396206,5.179327474192283,5.179191013538602,5.21671118002816,5.216700997843779,5.183535137575498,5.184580878881934,5.318072756998681,5.319305837624986,5.321506788927528,5.320156706720794,5.1784442766264505,5.178525953455308,5.220641218568545,5.220806445894546,5.271092836889276,5.270952816021514,5.213155025889013,5.212024017667019,5.249890245526113,5.24855765402988,5.242497480938329,5.243236910912104,5.223601731833603,5.223956204586948,5.1595009962219205,5.1591196937341675,5.2321591832050585,5.230221467981752,5.146620099883818,5.1461596509044805,5.082474892515975,5.082130477160651,4.998422884689076,4.99820821479716,4.996091749621235,4.997308588145212,4.9419113720401535,4.942166114473412,4.9230347157410215,4.9228496555681875,4.896895150991956,4.8958462889926,4.828974692858317,4.828925874817155,4.826726417281013,4.825484498238639,4.821589099320459,4.822367601357989,4.75337417881423,4.752070511698324,4.691331785084479,4.692057845352541,4.675805948620979,4.6762137052570525,4.648099034573483,4.648571351695901,4.602152033674483,4.6026597699371266,4.622130530441896,4.6223182143236246,4.6652177359470235,4.665513238683853,4.590267370027422,4.590941145073408,4.6177287379108956,4.61771490139106,4.6039673331074535,4.603788769910986
8,2.894,5.103136217867931,5.105145926530252,4.993751414846025,4.993493798514307,5.00125435871637,5.000536542513127,5.035585631550934,5.034959861624954,4.987917267312706,4.987873352699842,5.035620197181873,5.0369446049813345,5.081765540684032,5.081557367101251,4.971972972467402,4.971655917459256,5.058799087311726,5.058666811772985,5.160967413487897,5.161863231065678,5.20015504926406,5.200784036397054,5.179840374811857,5.181961214322411,5.176465229136354,5.1778996116635305,5.235624309990005,5.234934260469335,5.276961125078644,5.276066651045138,5.200436824389781,5.2002441740133,5.24433207834485,5.243678917030546,5.295040386759688,5.294827028418649,5.337653691636618,5.3387698959020815,5.292573407865864,5.292344370659103,5.28074239669804,5.281227520529943,5.231982805944362,5.231178003529899,5.2381307478600005,5.238448927289114,5.238156664087502,5.237313225343312,5.177375043534314,5.177842082876976,5.092302948229035,5.093167937419769,4.92375195953474,4.922491613256582,5.007549118266598,5.007316020466759,4.955622727543086,4.9561007604888365,4.976591959142827,4.976541641415693,4.8996873284149975,4.899328638677566,4.872644889090774,4.872320713332032,4.734008369349152,4.733560633154561,4.813098549822199,4.81289037626902,4.66556700473795,4.665339528759927,4.6658676066157625,4.666726004205937,4.678166713074141,4.679461790900221,4.753535340242296,4.753635662987691,4.600648320045143,4.600837159090839,4.630351564673199,4.629873000805496,4.607796010491367,4.608966683322846,4.592654692457828,4.593150185706191,4.632415860481893,4.632636527112035,4.574361397648263,4.575070841788866
9,2.8995,4.993900611364912,4.991930945058698,4.99138226271183,4.991322012519628,5.016976151825581,5.016280668355037,4.99696907379149,4.999568663540638,5.070157836961984,5.071452135305361,4.955948186085275,4.955874818106766,5.055527578261398,5.055060320148262,5.021711800542944,5.02086233441682,5.0998792839319025,5.099255856847645,5.0999013863139275,5.100957370555307,5.175061661030764,5.174258889074766,5.200017515618636,5.199030869679985,5.171763298589776,5.171727130148436,5.22148712257289,5.220120455632734,5.232108128035132,5.233266028955187,5.279717472789821,5.279592224262621,5.241561549756497,5.240401151333955,5.284014511041004,5.284707465435818,5.25787091517871,5.258307501559685,5.241249889569653,5.240712324162334,5.19534435153368,5.195913993295497,5.22971937582508,5.229473784228922,5.230252555151118,5.2305363467252945,5.24307846411949,5.242340720725349,5.116458601896084,5.117379062873228,5.098716479201122,5.098898322446953,4.996247491796095,4.9968647970954105,4.948744436204889,4.948734410471122,4.943845961878633,4.9440798719413275,4.942244610233279,4.942668578153327,4.819713450130074,4.819608723004855,4.826782198127581,4.825974492381312,4.819959123165672,4.8203119711919635,4.807101536303635,4.808489222578693,4.730493290759316,4.730599891740417,4.705917906452865,4.7067253621558285,4.671623547435757,4.67165559317653,4.585172649014833,4.58539265914815,4.610406610364373,4.610668037380798,4.60042594948051,4.600733102053994,4.563720833366277,4.563346871100613,4.550387630936658,4.55092575761344,4.61391316142995,4.614400658075788,4.565561211083859,4.565625396941237
