,Frequency,Signal Run 0,Background Run 0,Signal Run 1,Background Run 1
0,2.7,0.9354884512973658,0.9354826722450381,0.9205597536929372,0.9205510070194671
1,2.706,0.9352302682298285,0.9352427634781009,0.9204944660231222,0.9205005574564274
2,2.712,0.9349755213557276,0.9349798946926203,0.9204424545541107,0.9204422983635124
3,2.718,0.9347207744817865,0.9347235859126451,0.9203823211740315,0.9203831021270203
4,2.724,0.9344685266576687,0.9344649342737978,0.9203271858930868,0.9203179706478268
5,2.73,0.9342117493062144,0.9342136235934526,0.9202626791762921,0.9202614296515135
6,2.736,0.9339582519575919,0.9339576271951812,0.9202052010363972,0.9202097305637279
7,2.742,0.9337175622385593,0.9337202174788093,0.9201470981341227,0.9201500657554743
8,2.748,0.9334799963317363,0.9334807772847503,0.9201002409548742,0.9201011780984598
9,2.754,0.9332319656546697,0.9332397751848038,0.9200390142406636,0.9200407323372328
10,2.7600000000000002,0.9330058016621194,0.9330034588030812,0.9199873151529051,0.9199852846751405
11,2.766,0.9327824491005392,0.932780731003915,0.9199452998822003,0.919939364639498
12,2.7720000000000002,0.9325461327190951,0.9325447270036741,0.9325461327190951,0.9325447270036741
13,2.778,0.9323123153874213,0.9323077858599585,0.9323123153874213,0.9323077858599585
14,2.7840000000000003,0.932091930447675,0.9320786542464891,0.932091930447675,0.9320786542464891
15,2.79,0.9318659226463764,0.9318509283485735,0.9318659226463764,0.9318509283485735
16,2.7960000000000003,0.931648661518916,0.9316421015136287,0.931648661518916,0.9316421015136287
17,2.802,0.9314320251539853,0.9314320251539833,0.9314320251539853,0.9314320251539833
18,2.8080000000000003,0.93122116784144,0.9312214802226454,0.93122116784144,0.9312214802226454
19,2.814,0.931014059103448,0.9310079676699778,0.931014059103448,0.9310079676699778
20,2.8200000000000003,0.9308121046554131,0.9308086684621765,0.9308121046554131,0.9308086684621765
21,2.826,0.9306351407037435,0.930634984513141,0.9306351407037435,0.930634984513141
22,2.8320000000000003,0.930462706279606,0.9304623938984026,0.930462706279606,0.9304623938984026
23,2.838,0.930276839463814,0.9302701232679499,0.930276839463814,0.9302701232679499
24,2.8440000000000003,0.9300603592902321,0.9300661383424843,0.9300603592902321,0.9300661383424843
25,2.85,0.9298615286547144,0.9298604353205091,0.9298615286547144,0.9298604353205091
26,2.856,0.9296651970689193,0.9296592618260732,0.9296651970689193,0.9296592618260732
27,2.862,0.9294676159584088,0.9294623054779696,0.9294676159584088,0.9294623054779696
28,2.868,0.9292784691404565,0.9292736272318202,0.9292784691404565,0.9292736272318202
29,2.874,0.9290943204218254,0.9290933832782193,0.9290943204218254,0.9290933832782193
30,2.88,0.9289114212280836,0.9289134517058991,0.9289114212280836,0.9289134517058991
31,2.886,0.9287283658438307,0.9287210248855915,0.9287283658438307,0.9287210248855915
32,2.892,0.9285456228408633,0.9285454666502622,0.9285456228408633,0.9285454666502622
33,2.898,0.928358662691756,0.9283586626917599,0.928358662691756,0.9283586626917599
34,2.904,0.9281865406498052,0.9281868530310035,0.9281865406498052,0.9281868530310035
35,2.91,0.928017073848131,0.9280153557515229,0.928017073848131,0.9280153557515229
36,2.916,0.9278404222789076,0.9278449518063229,0.9278404222789076,0.9278449518063229
37,2.922,0.9276748602423969,0.9276701745243799,0.9276748602423969,0.9276701745243799
38,2.928,0.9274975839109263,0.9275085172529528,0.9274975839109263,0.9275085172529528
39,2.934,0.9273288980625491,0.9273354580677642,0.9273288980625491,0.9273354580677642
40,2.94,0.9271524026842337,0.927155526496237,0.9271524026842337,0.927155526496237
41,2.946,0.9269958997028147,0.9269848101702005,0.9269958997028147,0.9269848101702005
