,Frequency,Signal Run 0,Background Run 0,Signal Run 1,Background Run 1,Signal Run 2,Background Run 2,Signal Run 3,Background Run 3,Signal Run 4,Background Run 4,Signal Run 5,Background Run 5,Signal Run 6,Background Run 6,Signal Run 7,Background Run 7,Signal Run 8,Background Run 8,Signal Run 9,Background Run 9,Signal Run 10,Background Run 10,Signal Run 11,Background Run 11,Signal Run 12,Background Run 12,Signal Run 13,Background Run 13,Signal Run 14,Background Run 14,Signal Run 15,Background Run 15,Signal Run 16,Background Run 16,Signal Run 17,Background Run 17
0,3.4,1.817659739488539,1.8175351161192077,1.8373320815520724,1.8387244877322864,1.8535658897324108,1.855121336759353,1.8822170338365567,1.8818953250318153,1.8992323121128245,1.8990599013382918,1.9016838599273296,1.8994347084612595,1.9226958435860393,1.924767586747642,1.8978936301389417,1.8977224685888991,1.859432237706632,1.8614021584378353,1.8682389391815346,1.8669477307647455,1.8647904113123337,1.8646383021876136,1.9164331213492372,1.9159899127890998,1.8605113647406493,1.8601721648573735,1.8970475078925615,1.8987694317258301,1.8913373263864897,1.8913944843802206,1.8870904558082702,1.8858873268430711,1.903372675517193,1.902796722877681,1.8816467043670853,1.8830694077493713
1,3.4013,1.82794474065243,1.8301573482974354,1.864721380040293,1.8678022895165038,1.8525957635531454,1.85449540789657,1.824466224438841,1.8252423861892546,1.8904949476813258,1.892810314958925,1.8859704108502233,1.8889138912440098,1.8630185168091367,1.8628826488941006,1.907796328481763,1.91176584202274,1.8536961343619567,1.853332884294659,2.0104689627642705,2.010186296266342,1.9421735869260288,1.9382855939288146,1.9176715448439168,1.9187728511705913,1.906545725867949,1.9036378518971824,1.8875748932037342,1.8854334988534536,1.9020939600144802,1.9015126975610084,1.869310259246129,1.8712864266240548,1.9039458170669514,1.9080124677858594,1.9332900442149152,1.9358462246443915
2,3.4026,1.838393097385116,1.8386838847235722,1.804411585506015,1.8040642646242775,1.9048088090351523,1.9050614911166506,1.8318577216431262,1.832260638582323,1.8911652276086774,1.8923939684455047,1.8773223735537354,1.8808427436401107,1.8673465894175882,1.8665135817782523,1.9163156811797315,1.915762529361465,1.8696497732733288,1.8699605503781611,1.8996283587682619,1.899926330081157,1.9517726910500781,1.9511258374279483,1.8657308581467373,1.8673659515539553,1.8774507452850622,1.878680735462186,1.912568865992454,1.9166561308657764,1.8468293690130493,1.844189794529734,1.871327968044728,1.8719245350230667,1.9092974290781823,1.9073796690858775,1.947273450570518,1.9466728231453194
3,3.4038999999999997,1.7896720031085407,1.7898081830313572,1.8182356924355745,1.820271516424241,1.8272572854968256,1.8264658189138543,1.8649543831643791,1.8677504399059544,1.8598014205843734,1.860373937380941,1.881038580609175,1.883055039488727,1.9327312719594008,1.9319544853153516,1.9129333659172505,1.9178889328375015,1.8915381604623986,1.8914407104846578,1.909146571317212,1.9107610506555428,1.8913741830611617,1.8926007372129772,1.8780838548701835,1.8757575557275563,1.867320974341525,1.8659304422646474,1.8803326945185164,1.878849709978728,1.889061313071876,1.8895832311741494,1.953983114167184,1.9509078265999265,1.9151840776773488,1.9176855989758927,1.923488541384881,1.922423778391029
4,3.4052,1.8522206453650238,1.854486038285132,1.8541093578462298,1.8540497011012045,1.8490197992781232,1.8487240145847794,1.8480328095545475,1.8478741414057749,1.8750579185547138,1.8746609360530342,1.9067549916490438,1.905014952494794,1.863360519551663,1.8644786922559609,1.9120622517541843,1.915770025181207,1.8867137766531674,1.885476290434926,1.9388980862545595,1.9358362292006723,1.9060750299052835,1.906543225712698,1.8873193998177253,1.8868318387481358,1.8994134691838227,1.901089478993962,1.8936039681060133,1.8939809610267941,1.852477075461006,1.8542339808576447,1.9027726718962161,1.902500937086076,1.9103581310757782,1.9093055495151212,1.9017344579456414,1.9014571008945826
5,3.4065,1.812404336935613,1.8135809166977437,1.8207971818142115,1.8220787079809335,1.8666060311697747,1.8659513688513552,1.859544051450781,1.860333956123233,1.893987833158747,1.893530881405385,1.8663739634154226,1.8662127966070319,1.9125110823802047,1.9139259770876875,1.898636995168355,1.8999325762525376,1.8673640773990223,1.8666888009413012,1.8847435420653635,1.8838596232496596,1.9166745583099059,1.9152028181347651,1.8776953059894341,1.8820171371406809,1.878819101072706,1.8806915721667565,1.922020863528691,1.9244140032772543,1.9089373021815823,1.9064813824339717,1.8909534623071453,1.8902791231396732,1.9196567688340278,1.9195927395199694,1.8661506566740667,1.8661356640163336
6,3.4078,1.8017495160706194,1.8035492119262317,1.840338967989615,1.8380070470062857,1.8684435202329752,1.8660919218352088,1.836440361812834,1.836894189968975,1.8815455061585455,1.8847788370486749,1.8948224015409103,1.8972614549554652,1.9042775202384548,1.9014261797864194,1.8367264578509852,1.8387675917388724,1.9072188143004216,1.9059197975864746,1.913609891377035,1.9112283083132835,1.922523415734282,1.9238558527848502,1.874121837916963,1.8707276528063752,1.9059819530552622,1.9071707143952954,1.9154836109762254,1.915534834642322,1.915085066071044,1.9150035455958592,1.9382156260229317,1.939761703062954,1.8677135845040866,1.8678722524816203,1.863136573970752,1.8662187329364692
7,3.4091,1.8601209426038767,1.85879256576024,1.8233199412838539,1.8240014644446734,1.8532963396258864,1.8525604694850892,1.844188541705349,1.8424100848675273,1.848949521358424,1.8497987703168615,1.9020227482255136,1.9014015062852263,1.8933450391503475,1.8930327004017744,1.8611482247224844,1.8590477465605586,1.845628426934747,1.8458951641490366,1.880618484008584,1.8789943226256391,1.9794496559101984,1.9806746488147486,1.8744070035506561,1.8732135572532456,1.9003798449252067,1.899721434842526,1.9200128345371255,1.9232574097861213,1.9055759139549135,1.9042447261076272,1.8641104440464793,1.8635869642270402,1.92348042113489,1.9246351376349067,1.92348042113489,1.9246351376349067
8,3.4104,1.7741225339414954,1.7733510571456454,1.8389028328648487,1.8398211087012541,1.8768351245694213,1.8765805683153494,1.8291057086899076,1.8280019036171207,1.9153136981563408,1.9165568064136052,1.9457126954028308,1.9459200886367374,1.939301940703524,1.9380457141831544,1.7893815383815843,1.7880678412254882,1.9280855427812096,1.923986721077562,1.8804360780753464,1.8821027178646814,1.8873009727708427,1.8870226790407079,1.8805828780060443,1.8783943201591,1.9539147108175752,1.9521968473574123,1.9342148794461922,1.9343301325224178,1.8776675089999584,1.8778458545090517,1.884969363406153,1.8852370377324925,1.9198057549638228,1.9206165865870148,1.9198057549638228,1.9206165865870148
9,3.4116999999999997,1.7924827437243325,1.791834953201346,1.825146499267793,1.8215571027712498,1.851564109097216,1.849477061601549,1.8427283614669647,1.8414015463949749,1.8273097567238057,1.8251393148599995,1.8374560852195303,1.835782574443026,1.9258773081389609,1.9272775230293293,1.8764874920781525,1.874858020743467,1.8887920776869374,1.8880949374315075,1.949386113020137,1.948761122781731,1.9325248135426205,1.9349273233681947,1.8479603463972283,1.847047380266015,1.8679034905591023,1.8660388281574314,1.9161348373620657,1.9143885512578485,1.8908213433430432,1.8948317731010202,1.9123499160977502,1.9145650227283795,1.8793363342274447,1.8794612695594715,1.8793363342274447,1.8794612695594715
