,Duration,Signal Run 0,Background Run 0
0,1e-08,3.4971303818169646,3.4957108609725314
1,2.3355704697986577e-08,3.535114457194775,3.5351003395195666
2,3.671140939597315e-08,3.5230834552164643,3.5235682685378196
3,5.0067114093959735e-08,3.5453233690704407,3.5435762979628183
4,6.34228187919463e-08,3.5224830764162967,3.5245832783405815
5,7.677852348993289e-08,3.559734973691961,3.5615863351986636
6,9.013422818791946e-08,3.5647410531221526,3.5647294969868706
7,1.0348993288590603e-07,3.6205620653570367,3.619571167134841
8,1.1684563758389261e-07,0.0,0.0
9,1.302013422818792e-07,0.0,0.0
10,1.435570469798658e-07,0.0,0.0
11,1.5691275167785235e-07,0.0,0.0
12,1.7026845637583893e-07,0.0,0.0
13,1.8362416107382552e-07,0.0,0.0
14,1.9697986577181207e-07,0.0,0.0
15,2.1033557046979866e-07,0.0,0.0
16,2.2369127516778524e-07,0.0,0.0
17,2.3704697986577183e-07,0.0,0.0
18,2.504026845637584e-07,0.0,0.0
19,2.63758389261745e-07,0.0,0.0
20,2.771140939597316e-07,0.0,0.0
21,2.904697986577181e-07,0.0,0.0
22,3.038255033557047e-07,0.0,0.0
23,3.171812080536913e-07,0.0,0.0
24,3.3053691275167786e-07,0.0,0.0
25,3.4389261744966444e-07,0.0,0.0
26,3.57248322147651e-07,0.0,0.0
27,3.706040268456376e-07,0.0,0.0
28,3.8395973154362414e-07,0.0,0.0
29,3.973154362416107e-07,0.0,0.0
30,4.106711409395973e-07,0.0,0.0
31,4.240268456375839e-07,0.0,0.0
32,4.373825503355705e-07,0.0,0.0
33,4.5073825503355706e-07,0.0,0.0
34,4.6409395973154364e-07,0.0,0.0
35,4.774496644295302e-07,0.0,0.0
36,4.908053691275168e-07,0.0,0.0
37,5.041610738255034e-07,0.0,0.0
38,5.1751677852349e-07,0.0,0.0
39,5.308724832214766e-07,0.0,0.0
40,5.442281879194631e-07,0.0,0.0
41,5.575838926174496e-07,0.0,0.0
42,5.709395973154362e-07,0.0,0.0
43,5.842953020134228e-07,0.0,0.0
44,5.976510067114094e-07,0.0,0.0
45,6.11006711409396e-07,0.0,0.0
46,6.243624161073825e-07,0.0,0.0
47,6.377181208053691e-07,0.0,0.0
48,6.510738255033557e-07,0.0,0.0
49,6.644295302013423e-07,0.0,0.0
50,6.777852348993289e-07,0.0,0.0
51,6.911409395973155e-07,0.0,0.0
52,7.04496644295302e-07,0.0,0.0
53,7.178523489932886e-07,0.0,0.0
54,7.312080536912752e-07,0.0,0.0
55,7.445637583892618e-07,0.0,0.0
56,7.579194630872483e-07,0.0,0.0
57,7.712751677852349e-07,0.0,0.0
58,7.846308724832214e-07,0.0,0.0
59,7.97986577181208e-07,0.0,0.0
60,8.113422818791946e-07,0.0,0.0
61,8.246979865771812e-07,0.0,0.0
62,8.380536912751678e-07,0.0,0.0
63,8.514093959731544e-07,0.0,0.0
64,8.647651006711409e-07,0.0,0.0
65,8.781208053691275e-07,0.0,0.0
66,8.914765100671141e-07,0.0,0.0
67,9.048322147651007e-07,0.0,0.0
68,9.181879194630873e-07,0.0,0.0
69,9.315436241610739e-07,0.0,0.0
70,9.448993288590604e-07,0.0,0.0
71,9.58255033557047e-07,0.0,0.0
72,9.716107382550335e-07,0.0,0.0
73,9.8496644295302e-07,0.0,0.0
74,9.983221476510067e-07,0.0,0.0
75,1.0116778523489931e-06,0.0,0.0
76,1.0250335570469798e-06,0.0,0.0
77,1.0383892617449663e-06,0.0,0.0
78,1.051744966442953e-06,0.0,0.0
79,1.0651006711409395e-06,0.0,0.0
80,1.0784563758389262e-06,0.0,0.0
81,1.0918120805369126e-06,0.0,0.0
82,1.1051677852348991e-06,0.0,0.0
83,1.1185234899328858e-06,0.0,0.0
84,1.1318791946308723e-06,0.0,0.0
85,1.145234899328859e-06,0.0,0.0
86,1.1585906040268455e-06,0.0,0.0
87,1.1719463087248321e-06,0.0,0.0
88,1.1853020134228186e-06,0.0,0.0
89,1.1986577181208053e-06,0.0,0.0
90,1.2120134228187918e-06,0.0,0.0
91,1.2253691275167785e-06,0.0,0.0
92,1.238724832214765e-06,0.0,0.0
93,1.2520805369127517e-06,0.0,0.0
94,1.2654362416107381e-06,0.0,0.0
95,1.2787919463087248e-06,0.0,0.0
96,1.2921476510067113e-06,0.0,0.0
97,1.3055033557046978e-06,0.0,0.0
98,1.3188590604026845e-06,0.0,0.0
99,1.332214765100671e-06,0.0,0.0
100,1.3455704697986576e-06,0.0,0.0
101,1.3589261744966441e-06,0.0,0.0
102,1.3722818791946308e-06,0.0,0.0
103,1.3856375838926173e-06,0.0,0.0
104,1.398993288590604e-06,0.0,0.0
105,1.4123489932885904e-06,0.0,0.0
106,1.4257046979865771e-06,0.0,0.0
107,1.4390604026845636e-06,0.0,0.0
108,1.4524161073825503e-06,0.0,0.0
109,1.4657718120805368e-06,0.0,0.0
110,1.4791275167785235e-06,0.0,0.0
111,1.49248322147651e-06,0.0,0.0
112,1.5058389261744964e-06,0.0,0.0
113,1.5191946308724831e-06,0.0,0.0
114,1.5325503355704696e-06,0.0,0.0
115,1.5459060402684563e-06,0.0,0.0
116,1.5592617449664428e-06,0.0,0.0
117,1.5726174496644294e-06,0.0,0.0
118,1.585973154362416e-06,0.0,0.0
119,1.5993288590604026e-06,0.0,0.0
120,1.612684563758389e-06,0.0,0.0
121,1.6260402684563758e-06,0.0,0.0
122,1.6393959731543623e-06,0.0,0.0
123,1.652751677852349e-06,0.0,0.0
124,1.6661073825503354e-06,0.0,0.0
125,1.6794630872483221e-06,0.0,0.0
126,1.6928187919463086e-06,0.0,0.0
127,1.7061744966442953e-06,0.0,0.0
128,1.7195302013422818e-06,0.0,0.0
129,1.7328859060402682e-06,0.0,0.0
130,1.746241610738255e-06,0.0,0.0
131,1.7595973154362414e-06,0.0,0.0
132,1.772953020134228e-06,0.0,0.0
133,1.7863087248322146e-06,0.0,0.0
134,1.7996644295302013e-06,0.0,0.0
135,1.8130201342281877e-06,0.0,0.0
136,1.8263758389261744e-06,0.0,0.0
137,1.839731543624161e-06,0.0,0.0
138,1.8530872483221476e-06,0.0,0.0
139,1.866442953020134e-06,0.0,0.0
140,1.8797986577181208e-06,0.0,0.0
141,1.8931543624161072e-06,0.0,0.0
142,1.906510067114094e-06,0.0,0.0
143,1.9198657718120806e-06,0.0,0.0
144,1.933221476510067e-06,0.0,0.0
145,1.9465771812080536e-06,0.0,0.0
146,1.95993288590604e-06,0.0,0.0
147,1.9732885906040265e-06,0.0,0.0
148,1.9866442953020134e-06,0.0,0.0
149,2e-06,0.0,0.0
