,Duration,Signal Run 0,Background Run 0,Signal Run 1,Background Run 1,Signal Run 2,Background Run 2,Signal Run 3,Background Run 3,Signal Run 4,Background Run 4,Signal Run 5,Background Run 5,Signal Run 6,Background Run 6,Signal Run 7,Background Run 7,Signal Run 8,Background Run 8
0,1e-08,2.677030853327017,2.676409564085675,2.1964340060187624,2.1963002781816248,2.0463416968994497,2.0466711362616117,2.494874878999629,2.4952731112627378,3.659166863185369,3.6598385028431077,4.184288211946427,4.1849737360715045,4.354463716779993,4.3553268684525195,3.534172008773219,3.532786283256361,3.593405537066447,3.5936067620948378
1,2.3355704697986577e-08,2.6516148542426397,2.652820483070103,2.197197970802154,2.1970974757344672,2.0510726146306193,2.052074769358956,2.520387510216196,2.519988106701397,3.6899640453952074,3.6889750847778386,4.180314749604853,4.180551378739252,4.330256072418342,4.331643626810494,3.5252715436570523,3.5256251432914323,3.5901818758883186,3.5919410349815712
2,3.671140939597315e-08,2.6413002163935335,2.641730713198823,2.196365837921917,2.1964019442572202,2.0463430240949334,2.0463847838100797,2.530831877631492,2.5311933475861723,3.6405593939484824,3.6405088417293765,4.217666323869046,4.218147218266732,4.315494461894938,4.314716641635319,3.517200892702744,3.51646280305802,3.5617655755732063,3.562246781601444
3,5.0067114093959735e-08,2.635077563363375,2.6359765375560613,2.18666737320498,2.186347569386305,2.046892943796553,2.0467880916352885,2.5525915677718203,2.552798305083574,3.65488984186417,3.6553230567648645,4.231004983662039,4.230640936004655,4.383947562442179,4.38397019076896,3.5173963596687403,3.517796186009628,3.5683442710138595,3.569542030789001
4,6.34228187919463e-08,2.62523688309778,2.6255342923326483,2.1755006651340567,2.1759739678851577,2.0455796211813246,2.045989097369098,2.556470460319722,2.55556200673401,3.649145074278705,3.650442954388228,4.2180426000651545,4.2187247977063285,4.353075064307348,4.3538506199181155,3.5287346115464593,3.527686587317982,3.5703465056335366,3.5691982205427784
5,7.677852348993289e-08,2.6240039400828796,2.6236275560220403,2.1775957088501547,2.1776075308141882,2.0462101243061395,2.046388157458202,2.578868965193894,2.579842635353611,3.661046902561979,3.662577272633332,4.240918787858132,4.241085499399278,4.283455623210744,4.283435070401193,3.505894958167206,3.505600234640253,3.543419752806183,3.543106038970039
6,9.013422818791946e-08,2.6261763362466803,2.6264956248272773,2.175973373866592,2.176064045835229,2.0451799370422186,2.045245715639796,2.5825179140760373,2.583986626062292,3.682181118726684,3.6823543735167856,4.254826456908152,4.254996853969872,4.330978599462657,4.332304420606727,3.476831904464797,3.4776790002598843,3.5566700945895064,3.556724863256035
7,1.0348993288590603e-07,2.589077017409007,2.5887604929794086,2.1742360666316025,2.1746886144465383,2.040835944591835,2.0415432983278237,2.623583142495078,2.623380278302723,3.6645984994018996,3.664361402183013,4.216779763037597,4.217608947677068,4.320295329295955,4.319557519348398,3.5351458029896348,3.53389054168792,3.5667704918661767,3.565153244236952
8,1.1684563758389261e-07,2.581498358576064,2.5819005731510623,2.1831421592324647,2.1836059825000755,2.043064684323904,2.0430805824065623,2.637888958247055,2.6376466300454187,3.703849308924521,3.703937451459766,4.216001008503391,4.217891196795222,4.260015255132457,4.259882713888203,3.5110849207122157,3.5124644152265994,3.5469698936402922,3.547951311500743
9,1.302013422818792e-07,2.5776772505437786,2.577775387493834,2.1745206384285525,2.1745158127067485,2.046095120627619,2.0472416071072024,2.6888481736529966,2.6896576786138113,3.679755683481874,3.6806182563822585,4.216577870907958,4.21507376689838,4.240754151657589,4.242478471634876,3.5203708342358397,3.521283037367335,3.567521627414241,3.5688932507611413
